FREQ,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
6000000.0,24.820325,1.48521809,36.86359568967925,43.10317,0.6985236,30.10351,0.67,0.053,0.484,0.053
6100000.0,24.832606,1.73723264,43.140013679459834,47.62586,0.7715357,36.74029,0.52,0.044,0.566,0.058
6200000.0,24.737972,1.91142006,47.28465592451832,50.72895,0.8220507,41.70247,0.48,0.041,0.553,0.044
6300000.0,24.679964,1.95737077,48.307840138252274,51.81503,0.8397285,43.52185,0.45,0.025,0.388,0.036
6400000.0,24.633851,1.92785682,47.49053765321382,51.53163,0.8345077,43.00213,0.52,0.023,0.338,0.033
6500000.0,24.666222,1.81530776,44.77678420648272,50.03318,0.8105429,40.55058,0.44,0.025,0.406,0.033
6600000.0,24.687695,1.66410993,41.08303839831135,47.80804,0.7748196,37.05531,0.44,0.022,0.322,0.038
6700000.0,24.705789,1.53776282,37.991643762964976,45.91072,0.7436025,34.12497,0.5,0.023,0.359,0.031
6780000.0,24.732684,1.45238246,35.92131643032263,44.54187,0.7216293,32.15038,0.58,0.023,0.378,0.038
6800000.0,24.739861,1.43154651,35.41626167243511,44.19451,0.7163072,31.65464,0.59,0.025,0.369,0.036
6900000.0,24.780255,1.33845187,33.16717864382685,42.70547,0.6919794,29.55247,0.53,0.022,0.306,0.033
7000000.0,24.802584,1.25490959,31.12500051838056,41.25003,0.6685244,27.58215,0.41,0.019,0.441,0.031
7100000.0,24.834403,1.18243347,29.365029314668412,39.97338,0.6468978,25.85721,0.45,0.02,0.344,0.033
7200000.0,24.858059,1.11332149,27.67501128438791,38.62702,0.6259288,24.17964,0.55,0.019,0.35,0.033
7300000.0,24.877845,1.02406663,25.476570890812354,36.81553,0.5964574,21.96056,0.56,0.02,0.375,0.03
7400000.0,24.884361,0.870048415,21.65059884633781,33.46445,0.5423263,18.15232,0.52,0.019,0.309,0.03
7500000.0,24.880684,0.701065794,17.442996483723096,29.2816,0.4744772,13.89348,0.48,0.019,0.3,0.033
