fstest	eff	iin	iout	mrfreq	pinavg	poutavg	vds1max	vds2max	vin	vmrpp	vout	vsecpp
6.000000000000000e+06	9.518745e-01	2.784128e+00	1.036369e+00	1.199411e+07	-6.960321e+01	6.625352e+01	6.336172e+01	6.341673e+01	2.500000e+01	8.495865e+01	6.392841e+01	1.297446e+02
6.100000000000000e+06	9.771003e-01	2.873935e+00	1.066812e+00	1.220476e+07	-7.184837e+01	7.020306e+01	6.724799e+01	6.735273e+01	2.500000e+01	1.011149e+02	6.580630e+01	1.335072e+02
6.200000000000000e+06	9.830677e-01	2.770108e+00	1.050558e+00	1.240377e+07	-6.925271e+01	6.808010e+01	6.843836e+01	6.845586e+01	2.500000e+01	1.132883e+02	6.480367e+01	1.314909e+02
6.300000000000000e+06	9.816571e-01	2.489222e+00	9.951571e-01	1.259721e+07	-6.223055e+01	6.108906e+01	6.671748e+01	6.696277e+01	2.500000e+01	1.220172e+02	6.138626e+01	1.246216e+02
6.400000000000000e+06	9.798365e-01	2.209686e+00	9.367463e-01	1.280200e+07	-5.524215e+01	5.412827e+01	6.484006e+01	6.491356e+01	2.500000e+01	1.272608e+02	5.778320e+01	1.173849e+02
6.500000000000000e+06	9.779535e-01	1.968952e+00	8.833983e-01	1.300884e+07	-4.922379e+01	4.813858e+01	6.316372e+01	6.335098e+01	2.500000e+01	1.317184e+02	5.449242e+01	1.107766e+02
6.600000000000000e+06	9.769587e-01	1.769253e+00	8.369760e-01	1.318764e+07	-4.423133e+01	4.321218e+01	6.167526e+01	6.138130e+01	2.500000e+01	1.345957e+02	5.162886e+01	1.050244e+02
6.700000000000000e+06	9.759898e-01	1.605826e+00	7.969881e-01	1.340297e+07	-4.014566e+01	3.918175e+01	5.954013e+01	5.940181e+01	2.500000e+01	1.370417e+02	4.916221e+01	1.000702e+02
6.780000000000000e+06	9.744901e-01	1.495282e+00	7.684757e-01	1.355440e+07	-3.738205e+01	3.642844e+01	5.834434e+01	5.841466e+01	2.500000e+01	1.406436e+02	4.740342e+01	9.657438e+01
6.800000000000000e+06	9.747308e-01	1.468647e+00	7.616946e-01	1.360370e+07	-3.671616e+01	3.578837e+01	5.859980e+01	5.866207e+01	2.500000e+01	1.418972e+02	4.698513e+01	9.572762e+01
6.900000000000000e+06	9.754910e-01	1.343164e+00	7.287123e-01	1.380278e+07	-3.357911e+01	3.275612e+01	5.940609e+01	5.931604e+01	2.500000e+01	1.465401e+02	4.495062e+01	9.160733e+01
7.000000000000000e+06	9.753585e-01	1.221589e+00	6.949038e-01	1.399832e+07	-3.053973e+01	2.978719e+01	6.088457e+01	6.100718e+01	2.500000e+01	1.536633e+02	4.286514e+01	8.741444e+01
7.100000000000000e+06	9.750560e-01	1.092483e+00	6.570555e-01	1.420080e+07	-2.731208e+01	2.663081e+01	6.271675e+01	6.264672e+01	2.500000e+01	1.621498e+02	4.053047e+01	8.272538e+01
7.200000000000000e+06	9.744509e-01	9.495758e-01	6.123852e-01	1.440170e+07	-2.373940e+01	2.313288e+01	6.476251e+01	6.483021e+01	2.500000e+01	1.718143e+02	3.777498e+01	7.719018e+01
7.300000000000000e+06	9.632697e-01	8.038690e-01	5.602043e-01	1.460352e+07	-2.009672e+01	1.935856e+01	6.697852e+01	6.700137e+01	2.500000e+01	1.815826e+02	3.455621e+01	7.072456e+01
7.400000000000000e+06	9.042733e-01	6.858502e-01	5.013539e-01	1.479893e+07	-1.714626e+01	1.550490e+01	6.927331e+01	6.931041e+01	2.500000e+01	1.911714e+02	3.092601e+01	6.342900e+01
7.500000000000000e+06	7.467794e-01	6.240035e-01	4.345796e-01	1.500506e+07	-1.560009e+01	1.164983e+01	7.180140e+01	7.171934e+01	2.500000e+01	2.015768e+02	2.680704e+01	5.523486e+01
