Time (s),VDS_A,VDS_B,V_MR
0.0,-0.7812485120000012,47.656254464,50.31249510400001
5e-10,-1.5624985600000016,47.656254464,50.31249510400001
1e-09,-1.5624985600000016,48.437504512000004,45.624994816
1.5000000000000002e-09,-0.7812485120000012,49.218754559999994,44.062494720000004
2e-09,1.5359999991915174e-06,48.437504512000004,39.37499443200001
2.5e-09,1.5359999991915174e-06,48.437504512000004,37.812494336
3.0000000000000004e-09,-0.7812485120000012,50.000004608,36.24999424000001
3.5000000000000003e-09,-0.7812485120000012,49.218754559999994,33.124994048000005
4e-09,-1.5624985600000016,50.000004608,28.43749376000001
4.500000000000001e-09,-0.7812485120000012,50.781254656,29.999993856000003
5e-09,-1.5624985600000016,50.781254656,25.312493568000008
5.5000000000000004e-09,-0.7812485120000012,51.56250470399999,22.187493376000006
6.000000000000001e-09,-0.7812485120000012,51.56250470399999,19.062493184000004
6.5e-09,-1.5624985600000016,51.56250470399999,17.499993087999997
7.000000000000001e-09,-1.5624985600000016,51.56250470399999,14.374992896000009
7.500000000000001e-09,-1.5624985600000016,51.56250470399999,11.249992704000007
8e-09,-0.7812485120000012,52.343754751999995,8.124992512000006
8.5e-09,-0.7812485120000012,51.56250470399999,8.124992512000006
9.000000000000001e-09,-0.7812485120000012,52.343754751999995,3.4374922240000103
9.5e-09,-0.7812485120000012,53.1250048,1.8749921280000024
1e-08,-0.7812485120000012,53.1250048,-1.250008063999985
1.0500000000000001e-08,-0.7812485120000012,53.1250048,-2.812508159999993
1.1000000000000001e-08,-2.343748608000002,53.1250048,-5.937508352000009
1.15e-08,-1.5624985600000016,52.343754751999995,-9.062508543999996
1.2000000000000002e-08,-1.5624985600000016,52.343754751999995,-12.187508735999984
1.2500000000000001e-08,-0.7812485120000012,52.343754751999995,-10.625008640000004
1.3e-08,-1.5624985600000016,53.1250048,-13.750008831999992
1.35e-08,-1.5624985600000016,52.343754751999995,-16.875009024000008
1.4000000000000001e-08,-1.5624985600000016,51.56250470399999,-18.437509119999987
1.45e-08,-1.5624985600000016,51.56250470399999,-18.437509119999987
1.5000000000000002e-08,-0.7812485120000012,51.56250470399999,-21.562509312000003
1.55e-08,-2.343748608000002,50.781254656,-23.125009407999983
1.6e-08,-1.5624985600000016,50.781254656,-26.2500096
1.6500000000000002e-08,-1.5624985600000016,50.000004608,-24.68750950399999
1.7e-08,1.5359999991915174e-06,49.218754559999994,-27.812509696000006
1.75e-08,2.3437516800000004,49.218754559999994,-29.375009791999986
1.8000000000000002e-08,3.9062517759999977,48.437504512000004,-30.937509887999994
1.85e-08,6.250001919999999,47.656254464,-30.937509887999994
1.9e-08,8.593752064,47.656254464,-32.500009984
1.9500000000000003e-08,12.500002303999999,46.09375436799999,-34.06251007999998
2e-08,14.0625024,44.531254272,-35.62501017599999
2.05e-08,13.281252351999996,45.31250432,-32.500009984
2.1000000000000003e-08,12.500002303999999,44.531254272,-35.62501017599999
2.15e-08,14.0625024,42.187504128,-37.187510272
2.2000000000000002e-08,17.968752639999998,41.40625408,-37.187510272
2.2500000000000003e-08,23.437502975999998,40.62500403199999,-35.62501017599999
2.3e-08,26.562503168,39.843753984,-35.62501017599999
2.3500000000000002e-08,25.781253119999995,39.062503936,-37.187510272
2.4000000000000003e-08,23.437502975999998,37.50000384,-38.750010368000005
2.45e-08,21.093752832,35.937503744,-34.06251007999998
2.5000000000000002e-08,24.218753024,35.156253696,-37.187510272
2.55e-08,30.468753407999998,34.375003647999996,-35.62501017599999
2.6e-08,37.50000384,32.812503551999995,-35.62501017599999
2.6500000000000002e-08,39.062503936,31.250003456,-35.62501017599999
2.7e-08,34.375003647999996,31.250003456,-35.62501017599999
2.75e-08,31.250003456,28.906253311999997,-34.06251007999998
2.8000000000000003e-08,30.468753407999998,27.343753215999996,-34.06251007999998
2.85e-08,36.718753792,26.562503168,-30.937509887999994
2.9e-08,42.187504128,25.000003072,-29.375009791999986
2.9500000000000003e-08,44.531254272,24.218753024,-30.937509887999994
3.0000000000000004e-08,42.187504128,21.875002879999997,-27.812509696000006
3.05e-08,39.843753984,21.875002879999997,-26.2500096
3.1e-08,40.62500403199999,19.531252736,-26.2500096
3.1500000000000004e-08,44.531254272,17.968752639999998,-24.68750950399999
3.2e-08,46.09375436799999,16.406252543999997,-24.68750950399999
3.25e-08,45.31250432,15.625002496,-20.000009215999995
3.3000000000000004e-08,42.968754176000004,14.843752447999996,-18.437509119999987
3.35e-08,42.968754176000004,14.0625024,-16.875009024000008
3.4e-08,48.437504512000004,12.500002303999999,-15.312508928
3.4500000000000005e-08,51.56250470399999,10.937502207999998,-13.750008831999992
3.5e-08,50.000004608,10.156252160000001,-12.187508735999984
3.55e-08,47.656254464,7.812502015999996,-10.625008640000004
3.6000000000000005e-08,43.750004223999994,7.812502015999996,-10.625008640000004
3.65e-08,45.31250432,8.593752064,-4.375008256000001
3.7e-08,48.437504512000004,7.031251967999999,-2.812508159999993
3.7500000000000005e-08,52.343754751999995,5.468751871999999,-1.250008063999985
3.8e-08,50.781254656,3.9062517759999977,0.3124920319999944
3.85e-08,48.437504512000004,3.125001728000001,4.999992320000004
3.9000000000000005e-08,48.437504512000004,2.3437516800000004,4.999992320000004
3.95e-08,50.000004608,2.3437516800000004,8.124992512000006
4e-08,50.781254656,3.125001728000001,9.687492608
4.0500000000000005e-08,50.000004608,1.562501632,15.937492992000003
4.1e-08,47.656254464,-0.7812485120000012,15.937492992000003
4.15e-08,46.875004415999996,-1.5624985600000016,19.062493184000004
4.2000000000000006e-08,49.218754559999994,-1.5624985600000016,19.062493184000004
4.2500000000000003e-08,52.343754751999995,-0.7812485120000012,23.749993472
4.3e-08,51.56250470399999,-0.7812485120000012,25.312493568000008
4.3500000000000006e-08,50.000004608,-2.343748608000002,29.999993856000003
4.4000000000000004e-08,46.875004415999996,-3.1249986560000025,29.999993856000003
4.45e-08,46.09375436799999,-3.1249986560000025,33.124994048000005
4.5000000000000006e-08,46.875004415999996,-2.343748608000002,34.687494144
4.5500000000000004e-08,50.000004608,-2.343748608000002,36.24999424000001
4.6e-08,50.000004608,-3.1249986560000025,39.37499443200001
4.6500000000000006e-08,48.437504512000004,-1.5624985600000016,45.624994816
4.7000000000000004e-08,46.875004415999996,-2.343748608000002,45.624994816
4.75e-08,46.09375436799999,-2.343748608000002,48.749995008
4.8000000000000006e-08,47.656254464,-0.7812485120000012,48.749995008
4.8500000000000004e-08,46.875004415999996,1.5359999991915174e-06,51.8749952
4.9e-08,46.09375436799999,1.5359999991915174e-06,53.43749529600001
4.95e-08,45.31250432,1.5359999991915174e-06,56.562495487999996
5.0000000000000004e-08,46.875004415999996,1.5359999991915174e-06,58.124995584000004
5.05e-08,47.656254464,1.562501632,59.68749568
5.1e-08,47.656254464,1.562501632,61.249995776000006
5.1500000000000005e-08,47.656254464,0.7812515839999996,61.249995776000006
5.2e-08,45.31250432,0.7812515839999996,64.37499596800001
5.25e-08,44.531254272,1.562501632,69.062496256
5.3000000000000005e-08,44.531254272,0.7812515839999996,69.062496256
5.35e-08,45.31250432,0.7812515839999996,70.62499635200001
5.4e-08,46.09375436799999,0.7812515839999996,72.187496448
5.4500000000000005e-08,46.09375436799999,-0.7812485120000012,73.749996544
5.5e-08,46.09375436799999,-0.7812485120000012,73.749996544
5.55e-08,45.31250432,1.5359999991915174e-06,73.749996544
5.6000000000000005e-08,45.31250432,1.5359999991915174e-06,75.31249664
5.65e-08,44.531254272,1.5359999991915174e-06,78.437496832
5.7e-08,43.750004223999994,-1.5624985600000016,78.437496832
5.7500000000000005e-08,44.531254272,-1.5624985600000016,79.999996928
5.8e-08,46.09375436799999,-1.5624985600000016,78.437496832
5.85e-08,47.656254464,-1.5624985600000016,79.999996928
5.9000000000000006e-08,46.09375436799999,-0.7812485120000012,79.999996928
5.9500000000000003e-08,46.875004415999996,-1.5624985600000016,79.999996928
6.000000000000001e-08,45.31250432,-0.7812485120000012,79.999996928
6.05e-08,45.31250432,1.5359999991915174e-06,83.12499712
6.1e-08,46.09375436799999,-0.7812485120000012,81.56249702400001
6.15e-08,47.656254464,-1.5624985600000016,79.999996928
6.2e-08,47.656254464,-1.5624985600000016,79.999996928
6.250000000000001e-08,46.875004415999996,-0.7812485120000012,81.56249702400001
6.300000000000001e-08,46.875004415999996,-0.7812485120000012,81.56249702400001
6.35e-08,46.875004415999996,-0.7812485120000012,78.437496832
6.4e-08,48.437504512000004,-0.7812485120000012,76.874996736
6.45e-08,47.656254464,-1.5624985600000016,79.999996928
6.5e-08,47.656254464,-1.5624985600000016,76.874996736
6.55e-08,47.656254464,-1.5624985600000016,75.31249664
6.600000000000001e-08,48.437504512000004,-0.7812485120000012,76.874996736
6.65e-08,50.000004608,1.5359999991915174e-06,75.31249664
6.7e-08,50.000004608,1.5359999991915174e-06,73.749996544
6.75e-08,50.781254656,-0.7812485120000012,70.62499635200001
6.8e-08,50.000004608,-0.7812485120000012,69.062496256
6.85e-08,50.000004608,-0.7812485120000012,70.62499635200001
6.900000000000001e-08,49.218754559999994,-0.7812485120000012,69.062496256
6.950000000000001e-08,50.000004608,-1.5624985600000016,65.937496064
7e-08,50.781254656,-0.7812485120000012,64.37499596800001
7.05e-08,51.56250470399999,-0.7812485120000012,62.812495872
7.1e-08,52.343754751999995,-0.7812485120000012,59.68749568
7.15e-08,51.56250470399999,-0.7812485120000012,58.124995584000004
7.200000000000001e-08,52.343754751999995,-1.5624985600000016,56.562495487999996
7.250000000000001e-08,51.56250470399999,-1.5624985600000016,56.562495487999996
7.3e-08,50.781254656,-1.5624985600000016,50.31249510400001
7.35e-08,51.56250470399999,-1.5624985600000016,51.8749952
