FREQ,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_GS_A_pp,V_GS_A_amp,V_GS_A_max,V_GS_A_top,V_GS_A_min,V_GS_A_bot,V_GS_B_pp,V_GS_B_amp,V_GS_B_max,V_GS_B_top,V_GS_B_min,V_GS_B_bot,V_DS_A_pp,V_DS_A_amp,V_DS_A_max,V_DS_A_top,V_DS_A_min,V_DS_A_bot,V_DS_B_pp
6700000.0,25.005219,1.69573134,42.40213352186346,48.96118,0.7932522,38.848,7.9,5.1,5.59,4.89,-2.3,-0.19,8.6,5.0,5.75,4.97,-2.84,-0.11,58.1,56.3,55.0,55.0,-3.8,-1.9,54.4
6710000.0,25.005552,1.68310608,42.08699660495616,48.77052,0.7902876,38.54288,7.9,4.9,5.67,4.81,-2.22,-0.11,8.6,5.0,5.75,4.89,-2.84,-0.11,58.8,56.9,55.0,55.0,-3.8,-1.9,55.0
6720000.0,25.005745,1.67084064,41.7806149794768,48.58823,0.787046,38.23814,8.0,5.1,5.75,4.89,-2.3,-0.19,8.5,5.0,5.67,4.97,-2.77,-0.11,58.8,56.9,55.0,55.0,-3.8,-1.9,55.0
6730000.0,25.006843,1.65779319,41.45617402879917,48.37667,0.7837756,37.92001,8.0,5.1,5.67,4.89,-2.3,-0.19,8.4,5.2,5.67,4.97,-2.84,-0.11,58.8,56.9,55.0,55.0,-3.8,-1.9,55.6
6740000.0,25.007571,1.64565908,41.15393628489468,48.19755,0.7806351,37.62384,7.9,5.1,5.67,4.81,-2.3,-0.19,8.5,5.0,5.75,4.89,-2.77,-0.11,58.8,56.9,55.0,55.0,-3.8,-1.9,55.6
6750000.0,25.007879,1.63257149,40.82715028076971,47.97787,0.7773381,37.29029,8.0,5.0,5.67,4.81,-2.3,-0.19,8.4,5.0,5.67,4.89,-2.84,-0.19,58.8,56.9,54.4,55.0,-3.8,-1.9,55.0
6760000.0,25.007985,1.61978494,40.5075574827459,47.77379,0.7741823,36.99044,8.0,5.0,5.67,4.81,-2.3,-0.19,8.5,5.1,5.75,4.97,-2.84,-0.19,58.8,56.9,55.0,55.0,-3.8,-1.9,55.6
6770000.0,25.007393,1.60744713,40.19806210663209,47.58459,0.770871,36.66336,8.0,5.1,5.67,4.81,-2.3,-0.19,8.5,5.0,5.75,4.89,-2.77,-0.11,58.8,56.9,55.6,55.6,-3.8,-1.9,55.6
6780000.0,25.007499,1.59517974,39.89145575287026,47.38138,0.7677475,36.38394,8.0,5.1,5.67,4.89,-2.3,-0.19,8.4,5.0,5.75,4.89,-2.69,-0.11,59.4,57.5,55.6,55.6,-3.8,-1.9,56.3
6790000.0,25.007857,1.58345625,39.59884746575625,47.2061,0.7646721,36.09319,8.0,5.0,5.67,4.89,-2.3,-0.19,8.6,4.9,5.75,4.81,-2.69,-0.11,59.4,57.5,55.6,55.6,-3.8,-1.9,56.3
6800000.0,25.008984,1.5696283,39.2548090406472,46.96691,0.7610866,35.73855,8.0,5.0,5.67,4.81,-2.3,-0.19,8.4,5.0,5.75,4.89,-2.84,-0.11,60.0,57.5,55.6,55.0,-4.4,-1.9,56.3
6810000.0,25.009249,1.55754716,38.95308475368284,46.78005,0.7578404,35.44855,8.0,5.0,5.75,4.89,-2.45,-0.19,8.4,5.2,5.75,4.97,-2.84,-0.11,60.0,57.5,55.6,55.6,-4.4,-1.9,56.3
6820000.0,25.009563,1.54466768,38.63146365702384,46.56668,0.7545733,35.13073,8.0,5.0,5.75,4.81,-2.3,-0.19,8.5,5.0,5.83,4.97,-2.77,-0.19,60.6,58.1,56.3,56.3,-4.4,-1.9,56.9
6830000.0,25.009531,1.53150174,38.30214024308394,46.3509,0.751087,34.82309,8.0,5.0,5.75,4.81,-2.38,-0.19,8.5,5.1,5.75,4.97,-2.77,-0.11,61.3,58.1,56.3,56.3,-5.0,-1.9,56.3
6840000.0,25.010611,1.51902132,37.99165133522652,46.14197,0.7478571,34.50284,8.0,5.0,5.67,4.81,-2.3,-0.19,8.6,5.0,5.83,4.97,-2.84,-0.11,60.0,58.1,56.3,56.3,-4.4,-1.9,56.3
6850000.0,25.013269,1.50758516,37.70963314748804,45.96482,0.7445783,34.22398,8.0,5.1,5.67,4.89,-2.3,-0.19,8.5,5.0,5.67,4.97,-2.77,-0.19,61.3,58.8,56.9,56.9,-4.4,-1.9,56.3
6860000.0,25.024841,1.49751235,37.475008454286346,45.82295,0.7418303,33.98861,8.0,5.0,5.75,4.89,-2.3,-0.19,8.6,5.1,5.75,4.97,-2.84,-0.11,61.9,59.4,57.5,57.5,-4.4,-1.9,56.3
6870000.0,25.027851,1.48534758,37.17505791545058,45.60506,0.7388077,33.68886,8.0,5.0,5.67,4.81,-2.3,-0.19,8.4,5.0,5.67,4.89,-2.77,-0.11,60.6,58.8,56.9,56.9,-4.4,-1.9,56.3
6880000.0,25.030722,1.47513086,36.92359047028092,45.43293,0.7363222,33.45186,8.0,5.1,5.75,4.89,-2.3,-0.19,8.6,5.0,5.75,4.97,-2.84,-0.11,60.6,58.8,56.9,56.9,-3.8,-1.9,56.9
6890000.0,25.034784,1.46480811,36.671154635298244,45.25562,0.7333285,33.1944,8.0,5.0,5.67,4.81,-2.38,-0.19,8.5,5.0,5.75,4.89,-2.77,-0.11,60.6,58.8,56.9,56.9,-4.4,-1.9,57.5
6900000.0,25.037013,1.45577551,36.44827036895163,45.1138,0.7308899,32.97961,8.0,5.0,5.59,4.89,-2.3,-0.19,8.5,5.1,5.75,4.89,-2.84,-0.11,61.3,58.8,56.9,56.9,-3.8,-1.9,57.5
