DUTY,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
0.3,24.737222,1.43060657,35.38923231674854,44.19601,0.7162191,31.65787,0.58,0.022,0.378,0.036
0.31,24.736496,1.4357646,35.5157852848416,44.29839,0.7177375,31.79442,0.41,0.022,0.322,0.036
0.32,24.735282,1.44040127,35.62873160660814,44.38413,0.7189772,31.89849,0.45,0.025,0.313,0.038
0.33,24.734743,1.44644164,35.77736222989852,44.47136,0.7203653,32.01327,0.47,0.023,0.338,0.039
0.34,24.732714,1.45166673,35.90365805640522,44.54522,0.7217425,32.1567,0.58,0.027,0.353,0.036
0.35,24.729699,1.45378296,35.95161501212904,44.58274,0.7220315,32.19133,0.56,0.022,0.378,0.034
0.35000000000000003,24.72996,1.45385572,35.9537938013712,44.58227,0.7223631,32.1941,0.58,0.023,0.369,0.036
0.36000000000000004,24.7318,1.44581213,35.757536436734,44.44087,0.7214889,32.06689,0.52,0.023,0.378,0.034
0.37000000000000005,24.736992,1.44735864,35.80329909881088,44.48626,0.7208793,32.06937,0.48,0.023,0.363,0.033
0.38000000000000006,24.734369,1.44293555,35.69010033691795,44.44035,0.7199858,31.98665,0.45,0.02,0.378,0.038
0.39000000000000007,24.73193,1.43869468,35.581696117132395,44.37355,0.7191367,31.90687,0.48,0.023,0.344,0.036
0.4000000000000001,24.731455,1.43710668,35.5417391866194,44.37047,0.7187726,31.88665,0.47,0.023,0.341,0.034
