Time (s),V_PRI,V_SEC,V_IN
0.0,-108.25004287999997,-223.34998016,27.21750005504
5e-10,-108.25004287999997,-229.59997952,27.230000053759998
1e-09,-102.00004351999996,-229.59997952,27.23625005312
1.5000000000000002e-09,-95.75004415999996,-229.59997952,27.230000053759998
2e-09,-89.50004479999996,-229.59997952,27.20500005632
2.5e-09,-89.50004479999996,-229.59997952,27.198750056959998
3.0000000000000004e-09,-89.50004479999996,-229.59997952,27.20500005632
3.5000000000000003e-09,-83.25004543999995,-235.84997888,27.20500005632
4e-09,-77.00004607999995,-235.84997888,27.198750056959998
4.500000000000001e-09,-83.25004543999995,-242.09997824,27.20500005632
5e-09,-70.75004672,-242.09997824,27.21750005504
5.5000000000000004e-09,-70.75004672,-242.09997824,27.211250055679997
6.000000000000001e-09,-58.25004799999999,-242.09997824,27.21750005504
6.5e-09,-58.25004799999999,-242.09997824,27.2237500544
7.000000000000001e-09,-58.25004799999999,-242.09997824,27.230000053759998
7.500000000000001e-09,-58.25004799999999,-248.34997760000002,27.2237500544
8e-09,-39.50004991999998,-242.09997824,27.24250005248
8.5e-09,-39.50004991999998,-248.34997760000002,27.261250050559998
9.000000000000001e-09,-45.750049279999985,-242.09997824,27.27375004928
9.5e-09,-33.25005055999998,-242.09997824,27.286250048
1e-08,-27.000051199999973,-242.09997824,27.280000048639998
1.0500000000000001e-08,-27.000051199999973,-242.09997824,27.27375004928
1.1000000000000001e-08,-20.75005183999997,-235.84997888,27.27375004928
1.15e-08,-20.75005183999997,-242.09997824,27.2550000512
1.2000000000000002e-08,-14.500052480000022,-242.09997824,27.24250005248
1.2500000000000001e-08,-14.500052480000022,-248.34997760000002,27.2237500544
1.3e-08,-2.0000537600000143,-248.34997760000002,27.2237500544
1.35e-08,-8.250053119999961,-248.34997760000002,27.21750005504
1.4000000000000001e-08,-2.0000537600000143,-248.34997760000002,27.2237500544
1.45e-08,-2.0000537600000143,-235.84997888,27.230000053759998
1.5000000000000002e-08,10.499944959999993,-242.09997824,27.23625005312
1.55e-08,4.249945600000046,-235.84997888,27.23625005312
1.6e-08,16.749944320000054,-229.59997952,27.24250005248
1.6500000000000002e-08,16.749944320000054,-242.09997824,27.24250005248
1.7e-08,10.499944959999993,-235.84997888,27.24250005248
1.75e-08,22.99994368,-229.59997952,27.24250005248
1.8000000000000002e-08,29.249943040000062,-223.34998016,27.24250005248
1.85e-08,29.249943040000062,-223.34998016,27.24875005184
1.9e-08,35.49994240000001,-223.34998016,27.2550000512
1.9500000000000003e-08,35.49994240000001,-229.59997952,27.261250050559998
2e-08,41.74994176000007,-223.34998016,27.2550000512
2.05e-08,35.49994240000001,-229.59997952,27.24250005248
2.1000000000000003e-08,47.99994112000002,-223.34998016,27.23625005312
2.15e-08,47.99994112000002,-223.34998016,27.23625005312
2.2000000000000002e-08,54.24994048000008,-223.34998016,27.23625005312
2.2500000000000003e-08,54.24994048000008,-217.0999808,27.24875005184
2.3e-08,54.24994048000008,-210.84998144,27.261250050559998
2.3500000000000002e-08,60.499939840000025,-210.84998144,27.261250050559998
2.4000000000000003e-08,60.499939840000025,-204.59998208,27.280000048639998
2.45e-08,66.74993920000009,-204.59998208,27.286250048
2.5000000000000002e-08,66.74993920000009,-204.59998208,27.280000048639998
2.55e-08,72.99993856000003,-198.34998272,27.27375004928
2.6e-08,85.49993728000004,-198.34998272,27.2550000512
2.6500000000000002e-08,79.24993791999998,-185.849984,27.24875005184
