ROUT,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_DS_A,V_DS_B,MR_FREQ,V_MR_PP,V_SEC_PP
65.5,25.058645,1.43382714,35.9297652926253,46.08883,0.7036015,32.43029,55.0,56.0,13400000.0,95.0,106.0
66.0,25.0581,1.4436336,36.17471511216,46.44096,0.7033545,32.66388,55.0,56.0,13600000.0,94.0,106.0
66.5,25.057644,1.45253346,36.39706633876824,46.76193,0.7031152,32.8709,55.0,56.0,13600000.0,97.0,108.0
67.0,25.057414,1.46034269,36.59241136520367,47.03075,0.7027785,33.0477,55.0,56.0,13300000.0,97.0,106.0
67.5,25.057126,1.4701135,36.836819203801,47.38236,0.7024564,33.28225,55.0,56.0,13600000.0,95.0,109.0
68.0,25.057181,1.47997389,37.083973637004085,47.73191,0.7023785,33.5288,55.0,55.0,13500000.0,95.0,108.0
68.5,25.057077,1.48974393,37.328628364292605,48.08179,0.7020484,33.75267,55.0,56.0,13600000.0,95.0,111.0
69.0,25.056528,1.49957298,37.57409236141344,48.43563,0.7016155,33.98374,55.0,56.0,13500000.0,95.0,111.0
69.5,25.056009,1.50920634,37.81468763789706,48.78267,0.7013475,34.21844,55.0,56.0,13500000.0,95.0,111.0
70.0,25.055417,1.51582875,37.97972143183875,49.01423,0.7011203,34.36309,55.0,56.0,13600000.0,95.0,111.0
70.5,25.055088,1.52676002,38.25310665598176,49.40407,0.7005761,34.61575,56.0,56.0,13400000.0,97.0,113.0
71.0,25.053966,1.53549212,38.47016736774792,49.71807,0.7003415,34.8171,55.0,56.0,13400000.0,95.0,114.0
71.5,25.052655,1.54497323,38.70568131542566,50.06329,0.6998528,35.04033,55.0,56.0,13500000.0,95.0,114.0
72.0,25.051878,1.5539902,38.9303729035956,50.39757,0.699667,35.27197,55.0,56.0,13500000.0,95.0,113.0
72.5,25.050465,1.56304178,39.1549234034277,50.71412,0.6993434,35.45626,56.0,57.0,13500000.0,95.0,116.0
73.0,25.049225,1.57173596,39.370767702631,51.02691,0.6986562,35.64744,56.0,56.0,13400000.0,95.0,116.0
73.5,25.047888,1.58028067,39.58269323072496,51.34165,0.6982644,35.85743,55.0,57.0,13400000.0,95.0,116.0
74.0,25.046776,1.58879934,39.79430117792784,51.63972,0.6981118,36.05156,55.0,56.0,13400000.0,95.0,117.0
74.5,25.044765,1.59846395,40.03315398872175,51.99256,0.6976103,36.26726,55.0,56.0,13500000.0,95.0,116.0
