ROUT,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_GS_A_pp,V_GS_A_amp,V_GS_A_max,V_GS_A_top,V_GS_A_min,V_GS_A_bot,V_GS_B_pp,V_GS_B_amp,V_GS_B_max,V_GS_B_top,V_GS_B_min,V_GS_B_bot,V_DS_A_pp,V_DS_A_amp,V_DS_A_max,V_DS_A_top,V_DS_A_min,V_DS_A_bot,V_DS_B_pp
61.68502750680849,25.018272,1.38480023,34.64530881980256,43.8733,0.7119093,31.23348,7.75,5.0,5.56,4.94,-2.19,-0.06,8.38,5.06,5.63,4.88,-2.81,-0.13,61.3,58.1,56.3,56.3,-5.0,-1.9,55.6
62.0,25.019132,1.39231076,34.834406689460316,44.14608,0.7118063,31.41975,7.81,5.0,5.56,4.94,-2.19,-0.06,8.44,5.0,5.63,4.88,-2.81,-0.13,60.6,57.5,55.6,55.6,-5.0,-1.9,55.6
62.5,25.021764,1.40227495,35.087392862011804,44.4903,0.7116853,31.65817,7.75,5.0,5.56,4.94,-2.19,-0.06,8.5,5.0,5.69,4.88,-2.81,-0.13,60.6,57.5,55.6,55.6,-5.0,-1.3,56.3
63.0,25.02332,1.40956714,35.2720496057048,44.80095,0.7110513,31.85342,7.75,5.0,5.63,4.94,-2.19,-0.06,8.5,5.06,5.69,4.94,-2.81,-0.13,61.9,58.1,56.3,56.3,-5.6,-1.9,56.3
63.5,25.020491,1.42146406,35.56572872005346,45.15342,0.711173,32.11072,7.75,5.0,5.56,4.94,-2.19,-0.06,8.44,5.0,5.63,4.94,-2.75,-0.13,60.6,57.5,55.6,55.6,-5.0,-1.9,56.3
64.0,25.016505,1.43185872,35.820100828173594,45.51152,0.7110484,32.36924,7.81,5.0,5.63,4.94,-2.19,-0.06,8.44,5.0,5.63,4.88,-2.81,-0.13,60.6,58.1,56.3,56.3,-4.4,-1.9,55.6
64.5,25.021261,1.44204545,36.081795578312445,45.86445,0.7113987,32.6242,7.75,5.06,5.56,4.94,-2.19,-0.06,8.5,5.0,5.63,4.88,-2.81,-0.13,60.6,57.5,55.6,55.6,-5.0,-1.9,55.6
65.0,25.029365,1.45234011,36.35115071733015,46.22372,0.7109572,32.86848,7.88,5.0,5.56,4.94,-2.19,-0.06,8.5,5.06,5.69,4.94,-2.81,-0.13,60.6,58.1,56.3,56.3,-4.4,-1.9,56.3
65.5,25.027473,1.46254409,36.60378272378457,46.6247,0.7118205,33.19381,7.81,5.0,5.56,4.94,-2.19,-0.06,8.5,5.0,5.69,4.88,-2.81,-0.13,60.6,57.5,55.6,55.6,-5.0,-1.9,55.6
66.0,25.038071,1.4714109,36.841290584373894,46.9329,0.7114139,33.39198,7.75,4.94,5.63,4.88,-2.13,-0.06,8.44,5.0,5.63,4.88,-2.81,-0.13,61.3,58.1,56.3,56.3,-5.0,-1.9,55.6
66.5,25.024458,1.4814816,37.0732740769728,47.28989,0.7108712,33.62123,7.75,5.0,5.56,4.94,-2.19,-0.06,8.44,5.0,5.63,4.88,-2.81,-0.13,60.6,58.1,56.3,56.3,-4.4,-1.9,56.3
67.0,25.023001,1.49098215,37.30884783043215,47.60619,0.7102062,33.81397,7.75,5.06,5.56,4.94,-2.19,-0.13,8.5,5.0,5.69,4.88,-2.81,-0.13,60.6,57.5,55.6,55.6,-5.0,-1.9,56.3
67.5,25.025073,1.50249882,37.60014265291386,47.96759,0.7102985,34.07366,7.75,5.0,5.56,4.94,-2.19,-0.06,8.5,5.06,5.69,4.94,-2.81,-0.13,60.6,57.5,55.6,55.6,-5.0,-1.9,56.3
