ROUT,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
50.0,25.017002,1.31688276,32.94445864068552,38.17043,0.7631278,29.12208,0.88,0.027,0.28,0.02
50.5,25.017106,1.32897777,33.247177743733616,38.55468,0.7631369,29.42979,0.84,0.028,0.28,0.022
51.0,25.017357,1.34082907,33.54399952016799,38.93437,0.7632723,29.71577,0.89,0.027,0.28,0.025
51.5,25.017519,1.35274241,33.84225894428079,39.31685,0.7631979,30.01114,0.88,0.027,0.25,0.02
52.0,25.017659,1.36456121,34.13812703640739,39.69857,0.7629643,30.29087,0.88,0.025,0.27,0.022
52.5,25.017998,1.37561247,34.41507002323506,40.0494,0.7631894,30.57149,0.89,0.025,0.27,0.023
53.0,25.01836,1.38842791,34.7361892864276,40.45342,0.7630321,30.87714,0.91,0.023,0.28,0.027
53.5,25.018632,1.40035871,35.035059233484716,40.84146,0.7628878,31.16277,0.88,0.027,0.28,0.023
54.0,25.019053,1.41121879,35.307357701605866,41.19624,0.7629399,31.42657,0.88,0.027,0.31,0.025
54.5,25.019318,1.42308303,35.60456686797354,41.60709,0.762976,31.74074,0.86,0.027,0.3,0.025
55.0,25.019561,1.43484733,35.89925029862213,41.95725,0.7625757,31.99399,0.88,0.03,0.3,0.025
55.5,25.020031,1.44668345,36.19606476618695,42.33913,0.7625718,32.29003,0.86,0.027,0.31,0.023
56.0,25.0204,1.45856195,36.49380341378,42.72371,0.762426,32.5673,0.88,0.028,0.31,0.027
56.5,25.020711,1.47005267,36.78176301084837,43.0966,0.762413,32.85653,0.86,0.028,0.31,0.025
57.0,25.020813,1.48186044,37.077352961337716,43.44689,0.7620773,33.10617,0.89,0.027,0.33,0.025
57.5,25.021123,1.49289376,37.35387839489248,43.8255,0.7620034,33.39842,0.84,0.028,0.34,0.025
58.0,25.021667,1.50453271,37.645916460227575,44.21394,0.7620308,33.68946,0.84,0.028,0.34,0.027
58.5,25.02164,1.51627239,37.9396218845196,44.58781,0.7619408,33.97501,0.83,0.028,0.36,0.027
59.0,25.021547,1.52809863,38.23539169118061,44.96699,0.7619391,34.25919,0.83,0.027,0.34,0.027
59.5,25.021633,1.53985365,38.529652904010455,45.35195,0.7617841,34.54316,0.83,0.03,0.33,0.03
60.0,25.021561,1.5506054,38.7985676030294,45.69786,0.761702,34.79799,0.81,0.031,0.31,0.027
60.5,25.021681,1.56246003,39.09537644591043,46.07951,0.7613761,35.08893,0.81,0.033,0.33,0.027
61.0,25.021768,1.57416941,39.38850176971688,46.46259,0.761286,35.37302,0.84,0.03,0.31,0.028
61.5,25.021636,1.58379474,39.62913548299464,46.77253,0.7613224,35.60877,0.84,0.031,0.33,0.025
61.68502750680849,25.021704,1.58940435,39.7696051820124,46.97149,0.7610723,35.75172,0.86,0.028,0.31,0.027
62.0,25.021663,1.59647912,39.94656252717656,47.18924,0.7609456,35.91186,0.84,0.031,0.31,0.03
62.5,25.021653,1.60709304,40.212124385595125,47.53098,0.7608843,36.17095,0.84,0.03,0.31,0.03
63.0,25.021366,1.61872653,40.502748961039984,47.9134,0.760485,36.43639,0.81,0.031,0.31,0.028
63.5,25.021231,1.6302513,40.790894365350304,48.29091,0.760204,36.70928,0.86,0.03,0.3,0.027
64.0,25.02103,1.64193967,41.0830217412601,48.67374,0.7602192,37.00603,0.91,0.03,0.3,0.028
64.5,25.020866,1.65339699,41.369424531593346,49.05222,0.7600328,37.28509,0.91,0.03,0.31,0.03
65.0,25.020666,1.66493467,41.65777428989022,49.43232,0.7599673,37.56115,0.89,0.031,0.3,0.03
65.5,25.020474,1.67520216,41.91435208902384,49.7734,0.7597725,37.81527,0.91,0.028,0.28,0.028
66.0,25.020278,1.68647196,42.19599727840488,50.15284,0.7595301,38.08681,0.94,0.031,0.28,0.028
66.5,25.020258,1.69457308,42.39865566145464,50.42421,0.7590947,38.27961,0.94,0.031,0.3,0.027
67.0,25.020171,1.70594065,42.682926778851154,50.80364,0.7587643,38.55272,0.95,0.03,0.33,0.028
67.5,25.020012,1.71715276,42.96318266103312,51.18371,0.7584735,38.81914,0.91,0.03,0.3,0.027
68.0,25.019909,1.72832248,43.24247117225432,51.56211,0.7581078,39.09769,0.94,0.03,0.3,0.028
68.5,25.01983,1.73937504,43.5188678070432,51.93831,0.7576535,39.35776,0.94,0.03,0.3,0.027
69.0,25.019733,1.74706936,43.71120891968088,52.20361,0.7575809,39.54219,0.98,0.03,0.31,0.027
69.5,25.019827,1.75793088,43.983126495557755,52.57798,0.7571046,39.80265,0.97,0.033,0.31,0.028
70.0,25.019669,1.76878547,44.25442699140943,52.95616,0.756696,40.06939,0.94,0.031,0.33,0.023
70.5,25.019641,1.77956108,44.52397935917228,53.3331,0.7563168,40.33554,0.95,0.033,0.33,0.028
71.0,25.019592,1.78947181,44.77185458170152,53.68261,0.7557929,40.56999,0.97,0.03,0.34,0.023
71.5,25.019369,1.79859413,44.99969021970397,54.00896,0.7551292,40.79121,0.95,0.031,0.34,0.027
72.0,25.019263,1.80655959,45.198789507382166,54.3042,0.7545688,40.98339,0.95,0.03,0.36,0.027
72.5,25.019085,1.81665032,45.4509287713572,54.67115,0.7542027,41.23807,0.97,0.033,0.36,0.027
73.0,25.018588,1.82571282,45.67675684989816,55.04246,0.7536196,41.45457,0.94,0.033,0.36,0.027
73.5,25.018214,1.83404148,45.88444223151672,55.34438,0.7526375,41.65036,0.95,0.03,0.38,0.027
74.0,25.017993,1.84151073,46.07090255256489,55.63607,0.7517956,41.82265,0.94,0.03,0.36,0.025
74.5,25.017826,1.84880625,46.2531130702125,55.9409,0.7507959,42.00721,0.91,0.031,0.39,0.025
75.0,25.017463,1.85575547,46.42629380777261,56.22039,0.7497461,42.14874,0.91,0.031,0.42,0.028
