FREQ,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_DS_A_pp,V_DS_B_pp,V_DS_A_max,V_DS_B_max,MR_FREQ,V_MR_PP,V_RECT_PP,V_RECT_RMS
6700000.0,24.655839,1.74456144,43.01362599024816,0.003338729,0.001533286,4.490895e-08,59.0,59.0,59.0,59.0,13400000.0,127.0,127.0,43.81
6710000.0,24.652035,1.72418446,42.5046556543761,0.003316056,0.001499973,-1.134543e-07,59.0,59.0,59.0,59.0,13400000.0,127.0,125.0,43.63
6720000.0,24.651563,1.70445211,42.01740857014793,0.003352334,0.001414289,-2.262332e-08,59.0,59.0,59.0,59.0,13500000.0,128.0,125.0,43.21
6730000.0,24.662045,1.68586173,41.57679784903785,0.003363004,0.001470924,1.637659e-07,59.0,59.0,59.0,59.0,13500000.0,131.0,123.0,43.28
6740000.0,24.657822,1.66670642,41.09735023061724,0.003341757,0.001469129,-1.080518e-08,59.0,59.0,59.0,59.0,13600000.0,128.0,123.0,42.76
6750000.0,24.65443,1.64789884,40.6280065978612,0.003386356,0.00146913,7.124658e-08,60.0,59.0,60.0,59.0,13500000.0,131.0,122.0,42.51
6760000.0,24.650989,1.62941481,40.16668655774709,0.003332919,0.00145725,2.134022e-07,59.0,59.0,59.0,59.0,13500000.0,131.0,122.0,42.24
6770000.0,24.646031,1.61064837,39.69608965711947,0.003309316,0.001517367,3.386743e-07,59.0,59.0,59.0,59.0,13600000.0,130.0,122.0,42.05
6780000.0,24.64205,1.59377435,39.2738672214175,0.00337214,0.001516253,-2.036104e-07,60.0,59.0,59.0,59.0,13500000.0,130.0,122.0,41.79
6790000.0,24.635144,1.57558708,38.814814600339524,0.003293229,0.001468071,6.651939e-08,60.0,59.0,59.0,59.0,13600000.0,131.0,119.0,41.41
6800000.0,24.654126,1.56102994,38.48582883053244,0.003406952,0.001477256,1.901032e-07,59.0,59.0,59.0,59.0,13600000.0,131.0,119.0,41.25
6810000.0,24.654552,1.54458692,38.08109853765984,0.003532902,0.001572269,5.250643e-07,60.0,60.0,60.0,59.0,13600000.0,133.0,119.0,41.1
6820000.0,24.651543,1.5285385,37.680832559905504,0.003513884,0.001503576,3.143628e-07,60.0,59.0,60.0,59.0,13700000.0,131.0,119.0,40.91
6830000.0,24.648805,1.51287574,37.290579104490696,0.003467889,0.001514468,1.570127e-07,61.0,59.0,60.0,59.0,13700000.0,134.0,116.0,40.71
6840000.0,24.617794,1.49657144,36.84228741620336,0.003449976,0.001450411,4.710377e-07,59.0,59.0,60.0,59.0,13800000.0,134.0,116.0,40.33
6850000.0,24.621792,1.48102205,36.4654168625136,0.003440189,0.001558877,3.349602e-07,60.0,59.0,59.0,59.0,13600000.0,134.0,117.0,40.23
6860000.0,24.620567,1.46666741,36.110183234621466,0.00359264,0.001540107,2.907264e-07,59.0,59.0,60.0,59.0,13700000.0,134.0,116.0,39.99
6870000.0,24.615066,1.45236706,35.75011103812596,0.003392078,0.001508919,2.910641e-07,61.0,59.0,61.0,60.0,13800000.0,134.0,114.0,39.8
6880000.0,24.635094,1.43976309,35.46869905988046,0.003348184,0.001504296,1.063633e-07,61.0,59.0,61.0,59.0,13700000.0,138.0,114.0,39.61
6890000.0,24.632077,1.4258509,35.121669159319296,0.003328616,0.001483833,-1.384413e-07,60.0,60.0,60.0,60.0,13900000.0,136.0,113.0,39.29
6900000.0,24.624669,1.41185559,34.76647657954971,0.003374638,0.001540151,1.921294e-07,60.0,60.0,60.0,59.0,13900000.0,138.0,113.0,39.16
