ROUT,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_GS_A_pp,V_GS_A_amp,V_GS_A_max,V_GS_A_top,V_GS_A_min,V_GS_A_bot,V_GS_B_pp,V_GS_B_amp,V_GS_B_max,V_GS_B_top,V_GS_B_min,V_GS_B_bot,V_DS_A_pp,V_DS_A_amp,V_DS_A_max,V_DS_A_top,V_DS_A_min,V_DS_A_bot,V_DS_B_pp
61.68502750680849,25.131914,1.6930871,42.5505193917094,49.01387,0.7952946,38.9764,7.31,5.0,5.44,4.88,-2.0,-0.06,8.38,5.0,5.63,4.88,-2.75,-0.13,56.3,55.0,53.1,53.1,-3.1,-1.9,55.0
62.0,25.135491,1.69995272,42.729146293985515,49.25063,0.7946203,39.13857,7.44,5.0,5.44,4.94,-2.0,-0.06,8.44,5.0,5.69,4.88,-2.75,-0.13,56.9,48.8,53.1,46.9,-3.1,-1.9,55.0
62.5,25.130249,1.71143986,43.00890983032514,49.65015,0.793919,39.4192,7.38,5.06,5.44,4.88,-1.94,-0.06,8.44,5.0,5.69,4.88,-2.69,-0.13,56.9,55.0,53.1,53.1,-3.1,-1.9,55.0
63.0,25.133617,1.7212006,43.2599966605702,49.98067,0.7933514,39.66946,7.38,5.0,5.44,4.94,-1.94,-0.06,8.44,5.0,5.63,4.88,-2.69,-0.13,56.3,55.0,53.1,53.1,-3.1,-1.9,54.4
63.5,25.130726,1.7300562,43.4775683268012,50.29875,0.7928526,39.8731,7.44,4.94,5.44,4.94,-2.0,-0.06,8.44,5.0,5.69,4.88,-2.75,-0.13,56.3,55.6,53.1,46.9,-3.1,-1.9,55.6
64.0,25.130538,1.74142733,43.763005690803546,50.69756,0.7921541,40.15258,7.44,5.06,5.5,4.94,-2.0,-0.13,8.38,5.0,5.69,4.88,-2.75,-0.13,56.3,48.8,53.1,53.1,-3.1,-1.9,54.4
64.5,25.133577,1.75157785,44.02341676446945,51.0522,0.7911164,40.39149,7.5,5.13,5.5,4.94,-2.0,-0.13,8.44,5.0,5.69,4.88,-2.69,-0.13,56.3,55.0,53.8,53.8,-3.1,-1.9,55.0
65.0,25.130368,1.75974801,44.22311507856768,51.34019,0.7906857,40.59127,7.5,5.06,5.5,4.94,-1.94,-0.06,8.31,5.0,5.63,4.88,-2.69,-0.13,56.9,55.0,52.5,53.1,-3.8,-1.9,55.6
65.5,25.135992,1.77082149,44.511354806068084,51.73147,0.7899602,40.86754,7.44,4.94,5.5,4.88,-2.0,-0.13,8.31,5.0,5.63,4.88,-2.75,-0.13,56.3,55.0,53.1,53.1,-3.8,-1.9,55.0
66.0,25.131827,1.78027352,44.741526117321044,52.05754,0.7886872,41.05102,7.5,5.0,5.5,4.94,-2.0,-0.06,8.44,5.0,5.69,4.88,-2.69,-0.13,57.5,48.8,53.1,53.1,-3.8,-1.9,55.0
66.5,25.120472,1.78973524,44.95899398383328,52.41038,0.7878961,41.29565,7.5,5.0,5.5,4.94,-2.0,-0.06,8.38,5.0,5.63,4.88,-2.75,-0.13,57.5,55.6,52.5,53.8,-3.1,-1.9,54.4
67.0,25.123662,1.7996427,45.2136149155674,52.76805,0.7870473,41.52572,7.5,5.06,5.56,5.0,-1.94,-0.06,8.38,5.0,5.69,4.88,-2.75,-0.13,56.3,55.0,53.1,53.1,-3.1,-1.9,55.0
67.5,25.137074,1.81028448,45.50525493481152,53.14968,0.7870343,41.82134,7.5,4.94,5.5,5.0,-2.0,-0.06,8.38,5.0,5.63,4.88,-2.75,-0.13,56.3,55.0,53.8,52.5,-3.1,-1.9,55.0
68.0,25.143522,1.81849033,45.72325161914226,53.44213,0.7858939,42.02776,7.56,5.0,5.56,5.0,-2.0,-0.06,8.38,5.0,5.69,4.88,-2.69,-0.13,56.3,55.0,53.1,46.9,-3.8,-1.9,55.0
68.5,25.122965,1.82809959,45.927282016084355,53.78921,0.7847789,42.21018,7.56,5.0,5.56,4.94,-2.0,-0.13,8.31,5.0,5.63,4.88,-2.69,-0.13,56.3,54.4,53.1,53.1,-3.8,-1.9,55.0
69.0,25.147204,1.83825248,46.226910118065916,54.14639,0.7843703,42.47382,7.5,5.0,5.56,4.94,-1.94,-0.13,8.31,5.0,5.63,4.88,-2.75,-0.13,56.9,55.6,53.8,53.8,-3.8,-1.9,55.6
69.5,25.123951,1.84630182,46.38639645689083,54.45455,0.782806,42.63162,7.56,5.06,5.56,5.0,-2.0,-0.06,8.38,5.0,5.69,4.88,-2.69,-0.13,56.9,56.3,53.8,53.1,-3.8,-1.9,55.0
70.0,25.124991,1.85471785,46.599769288789346,54.7641,0.7819399,42.81725,7.5,5.0,5.63,5.0,-2.0,-0.06,8.38,5.0,5.69,4.88,-2.75,-0.13,58.1,56.3,54.4,53.1,-3.8,-1.9,55.6
70.5,25.14495,1.86444472,46.88136926216401,55.12011,0.7818328,43.11487,7.63,4.94,5.63,4.94,-1.94,-0.06,8.31,5.0,5.63,4.88,-2.69,-0.06,56.9,55.0,53.1,53.8,-3.8,-1.9,55.6
71.0,25.144551,1.87381215,47.11616517009465,55.47085,0.7806566,43.30044,7.56,5.0,5.56,4.94,-2.0,-0.06,8.38,5.0,5.63,4.88,-2.69,-0.13,57.5,55.6,53.1,53.8,-3.8,-1.9,55.6
71.5,25.143082,1.87952204,47.256976772527274,55.69258,0.7798936,43.43024,7.63,4.94,5.63,4.88,-2.0,-0.06,8.44,5.0,5.69,4.88,-2.69,-0.13,58.1,55.6,53.1,53.1,-3.8,-1.9,54.4
72.0,25.14296,1.88956106,47.5091581491376,56.08245,0.778316,43.65748,7.63,4.94,5.69,4.94,-2.0,-0.13,8.38,5.0,5.69,4.88,-2.69,-0.13,58.1,56.3,54.4,54.4,-3.8,-1.9,55.6
72.5,25.14439,1.89683006,47.6946347923634,56.36332,0.7772916,43.80286,7.56,4.94,5.63,4.94,-1.94,-0.06,8.38,5.0,5.69,4.88,-2.69,-0.13,56.9,55.0,53.1,53.1,-3.8,-1.9,55.6
73.0,25.14405,1.90292649,47.847278810884504,56.60663,0.7752075,43.89418,7.63,5.0,5.63,4.88,-2.0,-0.13,8.38,5.0,5.69,4.81,-2.69,-0.13,56.3,55.6,53.8,53.8,-4.4,-1.9,55.0
73.5,25.154778,1.909103,48.023062144134,56.84412,0.7732088,43.95325,7.69,4.94,5.69,4.88,-2.0,-0.06,8.44,5.0,5.69,4.88,-2.75,-0.13,57.5,55.0,53.1,53.1,-4.4,-1.9,55.6
74.0,25.15502,1.91501436,48.1722245260872,57.07855,0.7709304,44.00327,7.63,4.94,5.69,4.94,-1.94,-0.06,8.38,4.94,5.69,4.88,-2.75,-0.13,57.5,55.0,53.8,53.1,-3.8,-1.9,55.0
74.5,25.153802,1.92004325,48.2963877419365,57.28683,0.7685959,44.03862,7.69,5.0,5.75,4.94,-2.0,-0.06,8.44,5.0,5.69,4.88,-2.75,-0.13,56.3,54.4,52.5,52.5,-3.8,-1.9,55.0
