DUTY,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
0.3,25.021115,1.40900354,35.2548396097471,44.40482,0.719691,31.95923,0.47,0.031,0.463,0.039
0.31,25.021209,1.41528644,35.41217781010596,44.54413,0.7215942,32.14031,0.53,0.017,0.4,0.03
0.32,25.019109,1.41872284,35.49518137474956,44.58232,0.7226105,32.21366,0.55,0.019,0.394,0.034
0.33,25.018771,1.42489941,35.64923203682511,44.69335,0.7242219,32.36161,0.58,0.019,0.425,0.033
0.34,25.020305,1.43064449,35.79516148636945,44.76193,0.725495,32.46743,0.53,0.016,0.425,0.03
0.35000000000000003,25.02145,1.43546116,35.917319641882,44.83632,0.7265679,32.57391,0.52,0.017,0.4,0.033
0.36000000000000004,25.022047,1.43573501,35.92502889976547,44.86457,0.7267294,32.60989,0.52,0.019,0.394,0.03
0.37000000000000005,25.020931,1.43122267,35.810523671705766,44.79354,0.7259541,32.5209,0.5,0.02,0.375,0.03
0.38000000000000006,25.020094,1.42584312,35.67472889165328,44.72493,0.7250267,32.42215,0.47,0.017,0.425,0.031
0.39000000000000007,25.019547,1.42208892,35.58002057211924,44.68676,0.7240417,32.35555,0.55,0.02,0.525,0.031
0.4000000000000001,25.021224,1.41828305,35.4871778894532,44.65541,0.723612,32.3154,0.5,0.019,0.475,0.034
