ROUT,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
50.0,24.929085,1.40270702,34.9682025316767,39.49331,0.7893358,31.1738,0.56,0.038,0.39,0.025
50.5,24.927747,1.41531779,35.28068379371913,39.88825,0.7893052,31.48578,0.56,0.036,0.41,0.023
51.0,24.926622,1.42687742,35.56723408867524,40.25294,0.7889756,31.75893,0.61,0.041,0.41,0.027
51.5,24.926184,1.43904973,35.87001835513032,40.64606,0.7889019,32.06475,0.64,0.041,0.42,0.028
52.0,24.92561,1.45123144,36.1728288931784,41.02451,0.788607,32.36199,0.61,0.036,0.41,0.027
52.5,24.92495,1.4630564,36.466607617179996,41.40843,0.7884611,32.64604,0.63,0.052,0.42,0.023
53.0,24.926396,1.47535505,36.7752842168998,41.80047,0.788312,32.94622,0.61,0.041,0.42,0.025
53.5,24.921236,1.48606907,37.03467800577052,42.13554,0.787937,33.20158,0.64,0.041,0.42,0.025
54.0,24.919945,1.49851341,37.342871758962445,42.53093,0.7874981,33.4971,0.63,0.044,0.44,0.027
54.5,24.921983,1.51094925,37.65585152236275,42.92433,0.7874391,33.80115,0.63,0.042,0.45,0.03
55.0,24.920484,1.52330674,37.961541241262154,43.31564,0.786989,34.09448,0.63,0.041,0.47,0.025
55.5,24.919104,1.53479004,38.245592624924164,43.68152,0.7867658,34.36764,0.67,0.042,0.45,0.025
56.0,24.917248,1.54713567,38.55036317903616,44.07207,0.786419,34.66229,0.66,0.045,0.47,0.025
56.5,24.915891,1.55858824,38.833614701721835,44.42904,0.7863161,34.93354,0.67,0.044,0.47,0.025
57.0,24.914084,1.57098578,39.13967168572552,44.81752,0.7859698,35.2284,0.67,0.042,0.47,0.025
57.5,24.911585,1.58097017,39.38447277241945,45.14614,0.785972,35.48869,0.67,0.042,0.47,0.025
58.0,24.906733,1.59332716,39.68457415576828,45.5407,0.7853866,35.76528,0.67,0.044,0.5,0.027
58.5,24.906002,1.60549284,39.98640788402568,45.93187,0.7849007,36.05251,0.69,0.05,0.47,0.027
59.0,24.905174,1.61762726,40.28728837744323,46.32465,0.7846985,36.35309,0.69,0.042,0.5,0.028
59.5,24.904066,1.62883983,40.56473462974878,46.68544,0.7842947,36.61938,0.64,0.045,0.48,0.022
60.0,24.903246,1.63853467,40.80483196653882,47.00612,0.7836804,36.8371,0.63,0.045,0.48,0.023
60.5,24.902799,1.65044627,41.100731722109735,47.40246,0.783286,37.12476,0.63,0.045,0.45,0.027
61.0,24.902206,1.6619926,41.3872820956756,47.79311,0.7830867,37.42324,0.61,0.044,0.44,0.023
61.5,24.901109,1.67215438,41.63849848120742,48.12129,0.7822596,37.63597,0.59,0.047,0.47,0.022
61.68502750680849,24.900962,1.67596999,41.73326503413038,48.26854,0.7819541,37.75001,0.59,0.039,0.45,0.022
62.0,24.899737,1.68257787,41.89574644502019,48.495,0.7817689,37.90987,0.59,0.041,0.47,0.025
62.5,24.898033,1.69163153,42.118297657780495,48.82462,0.7811188,38.13818,0.61,0.039,0.44,0.027
63.0,24.896612,1.70184121,42.370080290980525,49.18436,0.7806095,38.40445,0.61,0.042,0.45,0.023
63.5,24.895063,1.71072927,42.588712952594015,49.5291,0.7797488,38.61487,0.63,0.052,0.48,0.023
64.0,24.871485,1.71983172,42.7747688265042,49.85104,0.7783659,38.79195,0.58,0.042,0.45,0.022
64.5,24.881806,1.72977911,43.04002823787266,50.16708,0.7777315,39.01616,0.58,0.044,0.47,0.025
65.0,24.879975,1.73979589,43.28607824830275,50.51752,0.7769864,39.25624,0.61,0.044,0.47,0.027
65.5,24.878915,1.74972194,43.5311834188951,50.86568,0.7763101,39.48091,0.59,0.042,0.47,0.027
66.0,24.8776,1.75855436,43.748611946336,51.20326,0.7755421,39.70049,0.59,0.039,0.47,0.027
66.5,24.876544,1.76726704,43.963496280309755,51.49356,0.7747626,39.9008,0.61,0.042,0.5,0.025
67.0,24.87504,1.77806492,44.229436007596796,51.88195,0.7738447,40.14124,0.56,0.044,0.5,0.027
67.5,24.876462,1.78665311,44.44560819809682,52.2122,0.7731647,40.37493,0.63,0.041,0.5,0.022
68.0,24.874922,1.79522161,44.65599752146442,52.49984,0.7724319,40.55093,0.61,0.038,0.5,0.022
