Time (s),V_PRI
0.0,-1.7485002752
5e-10,-1.7485002752
1e-09,-1.8110002688
1.5000000000000002e-09,-1.8735002624
2e-09,-1.9360002559999998
2.5e-09,-1.8110002688
3.0000000000000004e-09,-1.8735002624
3.5000000000000003e-09,-1.9360002559999998
4e-09,-1.9360002559999998
4.500000000000001e-09,-1.9985002496000002
5e-09,-1.9985002496000002
5.5000000000000004e-09,-1.9985002496000002
6.000000000000001e-09,-2.0610002432
6.5e-09,-2.1235002368
7.000000000000001e-09,-2.248500224
7.500000000000001e-09,-2.248500224
8e-09,-2.248500224
8.5e-09,-2.248500224
9.000000000000001e-09,-2.3110002176
9.5e-09,-2.3110002176
1e-08,-2.3735002112
1.0500000000000001e-08,-2.3735002112
1.1000000000000001e-08,-2.4985001984
1.15e-08,-2.4985001984
1.2000000000000002e-08,-2.4985001984
1.2500000000000001e-08,-2.561000192
1.3e-08,-2.561000192
1.35e-08,-2.6860001792
1.4000000000000001e-08,-2.6860001792
1.45e-08,-2.6860001792
1.5000000000000002e-08,-2.7485001728
1.55e-08,-2.7485001728
1.6e-08,-2.7485001728
1.6500000000000002e-08,-2.8110001664
1.7e-08,-2.8110001664
1.75e-08,-2.8110001664
1.8000000000000002e-08,-2.87350016
1.85e-08,-2.7485001728
1.9e-08,-2.7485001728
1.9500000000000003e-08,-2.8110001664
2e-08,-2.6860001792
2.05e-08,-2.8110001664
2.1000000000000003e-08,-2.7485001728
2.15e-08,-2.7485001728
2.2000000000000002e-08,-2.6860001792
2.2500000000000003e-08,-2.6860001792
2.3e-08,-2.6235001856
2.3500000000000002e-08,-2.6235001856
2.4000000000000003e-08,-2.4985001984
2.45e-08,-2.4360002048
2.5000000000000002e-08,-2.4360002048
2.55e-08,-2.3735002112
2.6e-08,-2.248500224
2.6500000000000002e-08,-2.1860002304
2.7e-08,-2.1860002304
2.75e-08,-2.0610002432
2.8000000000000003e-08,-1.9985002496000002
2.85e-08,-1.9985002496000002
2.9e-08,-1.8735002624
2.9500000000000003e-08,-1.7485002752
3.0000000000000004e-08,-1.6860002816000002
3.05e-08,-1.6235002880000002
3.1e-08,-1.4985003008
3.1500000000000004e-08,-1.4360003072
3.2e-08,-1.3735003136000001
3.25e-08,-1.2485003263999999
3.3000000000000004e-08,-1.1860003328
3.35e-08,-1.0610003456000001
3.4e-08,-0.9985003520000002
3.4500000000000005e-08,-0.8110003712
3.5e-08,-0.8110003712
3.55e-08,-0.6860003840000002
3.6000000000000005e-08,-0.5610003967999999
3.65e-08,-0.4360004096000001
3.7e-08,-0.3735004159999997
3.7500000000000005e-08,-0.31100042240000025
3.8e-08,-0.18600043520000042
3.85e-08,0.0014995455999997631
3.9000000000000005e-08,0.06399953920000012
3.95e-08,0.1264995327999996
4e-08,0.2514995200000003
4.0500000000000005e-08,0.37649950720000014
4.1e-08,0.4389995007999996
4.15e-08,0.5014994944
4.2000000000000006e-08,0.5639994880000003
4.2500000000000003e-08,0.6889994752000002
4.3e-08,0.7514994687999996
4.3500000000000006e-08,0.8139994624
4.4000000000000004e-08,0.8764994559999995
4.45e-08,0.9389994495999998
4.5000000000000006e-08,1.0014994432000002
4.5500000000000004e-08,1.0014994432000002
4.6e-08,1.1264994304
4.6500000000000006e-08,1.1264994304
4.7000000000000004e-08,1.2514994175999998
4.75e-08,1.2514994175999998
4.8000000000000006e-08,1.3764994047999997
4.8500000000000004e-08,1.3764994047999997
4.9e-08,1.4389993984
4.95e-08,1.5014993919999995
5.0000000000000004e-08,1.5014993919999995
5.05e-08,1.5639993855999998
5.1e-08,1.5639993855999998
5.1500000000000005e-08,1.5639993855999998
5.2e-08,1.6264993792000002
5.25e-08,1.6264993792000002
5.3000000000000005e-08,1.6264993792000002
5.35e-08,1.6889993727999997
5.4e-08,1.6889993727999997
5.4500000000000005e-08,1.6889993727999997
5.5e-08,1.6889993727999997
5.55e-08,1.7514993664
5.6000000000000005e-08,1.7514993664
5.65e-08,1.7514993664
5.7e-08,1.7514993664
5.7500000000000005e-08,1.7514993664
5.8e-08,1.7514993664
5.85e-08,1.7514993664
5.9000000000000006e-08,1.7514993664
5.9500000000000003e-08,1.7514993664
6.000000000000001e-08,1.7514993664
6.05e-08,1.6889993727999997
6.1e-08,1.6889993727999997
6.15e-08,1.6264993792000002
6.2e-08,1.7514993664
6.250000000000001e-08,1.6264993792000002
6.300000000000001e-08,1.6264993792000002
6.35e-08,1.6889993727999997
6.4e-08,1.6889993727999997
6.45e-08,1.6264993792000002
6.5e-08,1.6264993792000002
6.55e-08,1.6264993792000002
6.600000000000001e-08,1.6264993792000002
6.65e-08,1.6264993792000002
6.7e-08,1.5639993855999998
6.75e-08,1.6264993792000002
6.8e-08,1.6264993792000002
6.85e-08,1.5639993855999998
6.900000000000001e-08,1.5639993855999998
6.950000000000001e-08,1.5014993919999995
7e-08,1.5014993919999995
7.05e-08,1.5014993919999995
7.1e-08,1.4389993984
7.15e-08,1.5014993919999995
7.200000000000001e-08,1.5014993919999995
7.250000000000001e-08,1.5639993855999998
7.3e-08,1.5014993919999995
7.35e-08,1.4389993984
7.4e-08,1.5014993919999995
7.45e-08,1.5014993919999995
7.500000000000001e-08,1.3764994047999997
7.550000000000001e-08,1.3764994047999997
7.6e-08,1.3764994047999997
7.65e-08,1.3139994112000002
7.7e-08,1.3764994047999997
7.75e-08,1.2514994175999998
7.800000000000001e-08,1.3139994112000002
7.850000000000001e-08,1.3139994112000002
7.9e-08,1.3139994112000002
7.95e-08,1.2514994175999998
8e-08,1.3139994112000002
8.05e-08,1.3139994112000002
8.100000000000001e-08,1.2514994175999998
8.150000000000001e-08,1.2514994175999998
8.2e-08,1.2514994175999998
8.25e-08,1.2514994175999998
8.3e-08,1.1889994239999995
8.35e-08,1.1889994239999995
8.400000000000001e-08,1.2514994175999998
8.450000000000001e-08,1.1889994239999995
8.500000000000001e-08,1.1889994239999995
8.55e-08,1.1889994239999995
8.6e-08,1.1889994239999995
8.65e-08,1.1889994239999995
8.700000000000001e-08,1.1889994239999995
8.750000000000001e-08,1.1889994239999995
8.800000000000001e-08,1.2514994175999998
8.85e-08,1.2514994175999998
8.9e-08,1.2514994175999998
8.95e-08,1.1889994239999995
9.000000000000001e-08,1.1889994239999995
9.050000000000001e-08,1.2514994175999998
9.100000000000001e-08,1.1264994304
9.15e-08,1.1889994239999995
9.2e-08,1.2514994175999998
9.25e-08,1.1264994304
9.300000000000001e-08,1.1889994239999995
9.350000000000001e-08,1.1264994304
9.400000000000001e-08,1.1889994239999995
9.45e-08,1.1889994239999995
9.5e-08,1.1264994304
9.55e-08,1.0014994432000002
9.600000000000001e-08,1.0639994367999996
9.650000000000001e-08,1.0639994367999996
9.700000000000001e-08,1.0014994432000002
9.75e-08,1.0014994432000002
9.8e-08,1.0014994432000002
9.85e-08,0.9389994495999998
9.9e-08,0.8139994624
9.950000000000001e-08,0.8139994624
1.0000000000000001e-07,0.8139994624
1.005e-07,0.7514994687999996
1.01e-07,0.6889994752000002
1.015e-07,0.6264994815999998
1.02e-07,0.6264994815999998
1.0250000000000001e-07,0.5014994944
1.0300000000000001e-07,0.5014994944
1.0350000000000001e-07,0.37649950720000014
1.04e-07,0.37649950720000014
1.045e-07,0.3139995135999998
1.05e-07,0.2514995200000003
1.0550000000000001e-07,0.18899952639999995
1.0600000000000001e-07,0.06399953920000012
1.0650000000000001e-07,0.06399953920000012
1.07e-07,0.0014995455999997631
1.075e-07,-0.06100044799999971
1.08e-07,-0.06100044799999971
1.0850000000000001e-07,-0.18600043520000042
1.0900000000000001e-07,-0.2485004287999999
1.0950000000000001e-07,-0.31100042240000025
1.1e-07,-0.3735004159999997
1.105e-07,-0.3735004159999997
1.11e-07,-0.4360004096000001
1.1150000000000001e-07,-0.5610003967999999
1.1200000000000001e-07,-0.5610003967999999
1.1250000000000001e-07,-0.6235003904000003
1.13e-07,-0.7485003776000001
1.135e-07,-0.8110003712
1.14e-07,-0.8110003712
1.1450000000000001e-07,-0.8110003712
1.1500000000000001e-07,-0.9985003520000002
1.1550000000000001e-07,-0.9985003520000002
1.16e-07,-0.9985003520000002
1.165e-07,-1.1235003392
1.17e-07,-1.1235003392
1.1750000000000001e-07,-1.1860003328
1.1800000000000001e-07,-1.1860003328
1.1850000000000001e-07,-1.1860003328
1.1900000000000001e-07,-1.2485003263999999
1.195e-07,-1.3110003200000002
1.2000000000000002e-07,-1.2485003263999999
1.205e-07,-1.3110003200000002
1.21e-07,-1.3735003136000001
1.215e-07,-1.4360003072
1.22e-07,-1.4985003008
1.2250000000000002e-07,-1.3735003136000001
1.23e-07,-1.4985003008
1.2350000000000001e-07,-1.4985003008
1.24e-07,-1.4985003008
1.245e-07,-1.6235002880000002
1.2500000000000002e-07,-1.5610002943999999
1.255e-07,-1.5610002943999999
1.2600000000000002e-07,-1.5610002943999999
1.265e-07,-1.5610002943999999
1.27e-07,-1.5610002943999999
1.275e-07,-1.6235002880000002
1.28e-07,-1.6235002880000002
1.2850000000000002e-07,-1.5610002943999999
1.29e-07,-1.6235002880000002
1.2950000000000001e-07,-1.6235002880000002
1.3e-07,-1.6235002880000002
1.305e-07,-1.6860002816000002
1.31e-07,-1.7485002752
1.315e-07,-1.6860002816000002
1.3200000000000002e-07,-1.6860002816000002
1.325e-07,-1.8110002688
1.33e-07,-1.8110002688
1.335e-07,-1.8735002624
1.34e-07,-1.8110002688
1.3450000000000002e-07,-1.8110002688
1.35e-07,-1.8110002688
1.3550000000000002e-07,-1.8735002624
1.36e-07,-1.8735002624
1.365e-07,-1.9360002559999998
1.37e-07,-1.9360002559999998
1.375e-07,-1.9985002496000002
1.3800000000000002e-07,-2.0610002432
1.385e-07,-1.9985002496000002
1.3900000000000001e-07,-2.1235002368
1.395e-07,-2.1235002368
1.4e-07,-2.0610002432
1.4050000000000002e-07,-2.1860002304
1.41e-07,-2.248500224
1.4150000000000002e-07,-2.1860002304
1.42e-07,-2.248500224
1.425e-07,-2.248500224
1.43e-07,-2.248500224
1.435e-07,-2.3110002176
1.4400000000000002e-07,-2.3110002176
1.445e-07,-2.3735002112
1.4500000000000001e-07,-2.4360002048
1.455e-07,-2.4985001984
1.46e-07,-2.4985001984
1.4650000000000002e-07,-2.4985001984
1.47e-07,-2.6235001856
1.4750000000000002e-07,-2.6860001792
1.48e-07,-2.6235001856
1.485e-07,-2.7485001728
1.49e-07,-2.7485001728
1.495e-07,-2.8110001664
1.5000000000000002e-07,-2.7485001728
1.505e-07,-2.7485001728
1.5100000000000002e-07,-2.8110001664
1.515e-07,-2.8110001664
1.52e-07,-2.7485001728
1.5250000000000002e-07,-2.7485001728
1.53e-07,-2.8110001664
1.5350000000000002e-07,-2.8110001664
1.54e-07,-2.8110001664
1.5450000000000001e-07,-2.7485001728
1.55e-07,-2.7485001728
1.555e-07,-2.6860001792
1.5600000000000002e-07,-2.6235001856
1.565e-07,-2.6235001856
1.5700000000000002e-07,-2.561000192
1.575e-07,-2.561000192
1.58e-07,-2.4360002048
1.5850000000000002e-07,-2.3735002112
1.59e-07,-2.3735002112
1.5950000000000002e-07,-2.3110002176
1.6e-07,-2.1860002304
1.6050000000000001e-07,-2.1235002368
1.61e-07,-2.0610002432
1.615e-07,-1.9985002496000002
1.6200000000000002e-07,-1.9360002559999998
1.625e-07,-1.8110002688
1.6300000000000002e-07,-1.7485002752
1.635e-07,-1.6860002816000002
1.64e-07,-1.5610002943999999
1.645e-07,-1.5610002943999999
1.65e-07,-1.4360003072
1.6550000000000002e-07,-1.3735003136000001
1.66e-07,-1.1860003328
1.6650000000000002e-07,-1.1235003392
1.67e-07,-1.0610003456000001
1.675e-07,-0.9360003584000003
1.6800000000000002e-07,-0.8110003712
1.685e-07,-0.6860003840000002
1.6900000000000002e-07,-0.6860003840000002
1.695e-07,-0.6235003904000003
1.7000000000000001e-07,-0.4985004032
1.705e-07,-0.31100042240000025
1.71e-07,-0.31100042240000025
1.7150000000000002e-07,-0.18600043520000042
1.72e-07,-0.06100044799999971
1.7250000000000002e-07,0.0014995455999997631
1.73e-07,0.1264995327999996
1.735e-07,0.18899952639999995
1.7400000000000002e-07,0.3139995135999998
1.745e-07,0.37649950720000014
1.7500000000000002e-07,0.4389995007999996
1.755e-07,0.5639994880000003
1.7600000000000001e-07,0.6889994752000002
1.765e-07,0.7514994687999996
1.77e-07,0.7514994687999996
1.7750000000000002e-07,0.8764994559999995
1.78e-07,0.8764994559999995
1.7850000000000002e-07,1.0014994432000002
1.79e-07,1.0639994367999996
1.795e-07,1.0639994367999996
1.8000000000000002e-07,1.1889994239999995
1.805e-07,1.1889994239999995
1.8100000000000002e-07,1.2514994175999998
1.815e-07,1.3139994112000002
1.8200000000000002e-07,1.3764994047999997
1.825e-07,1.3764994047999997
1.83e-07,1.4389993984
1.8350000000000002e-07,1.4389993984
1.84e-07,1.5639993855999998
1.8450000000000002e-07,1.5639993855999998
1.85e-07,1.5014993919999995
1.8550000000000001e-07,1.5639993855999998
1.8600000000000002e-07,1.6264993792000002
1.865e-07,1.6889993727999997
1.8700000000000002e-07,1.6264993792000002
1.875e-07,1.6264993792000002
1.8800000000000002e-07,1.6889993727999997
1.885e-07,1.6889993727999997
