DUTY,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
0.3,24.956666,1.67576233,41.821440765191774,48.58785,0.7875965,38.2619,0.44,0.039,0.44,0.019
0.31,24.944549,1.68256943,41.97093559253707,48.72979,0.7894115,38.46609,0.42,0.038,0.44,0.02
0.32,24.942005,1.68273757,41.970848884627856,48.7305,0.7897905,38.48715,0.48,0.042,0.45,0.017
0.33,24.943559,1.69070823,42.17228048679057,48.84435,0.7915237,38.67973,0.44,0.038,0.47,0.017
0.34,24.942619,1.69194119,42.20144447257661,48.87193,0.792222,38.72429,0.52,0.044,0.45,0.022
0.35000000000000003,24.94345,1.69243772,42.215235646934,48.87171,0.7925491,38.72783,0.45,0.038,0.44,0.017
0.36000000000000004,24.944257,1.69166477,42.19732078072589,48.87238,0.7921999,38.71241,0.45,0.039,0.44,0.017
0.37000000000000005,24.946264,1.69049647,42.17157123168808,48.8717,0.7916977,38.69309,0.48,0.036,0.44,0.017
0.38000000000000006,24.946678,1.68858215,42.1245151725977,48.83596,0.7912243,38.65343,0.45,0.047,0.44,0.017
0.39000000000000007,24.946433,1.68908919,42.13675030935927,48.83963,0.791426,38.65781,0.45,0.038,0.45,0.017
0.4000000000000001,24.941649,1.69055345,42.16519076563905,48.87226,0.7917084,38.70104,0.38,0.036,0.44,0.017
