DUTY,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
0.3,24.997107,1.67328544,41.82729518522208,48.58846,0.7873852,38.26125,0.45,0.02,0.3,0.025
0.31,24.997627,1.67952511,41.98414223691397,48.73045,0.7893785,38.47153,0.34,0.017,0.28,0.025
0.32,24.999477,1.67876707,41.968298754822385,48.73038,0.7898273,38.48503,0.34,0.023,0.31,0.02
0.33,24.996708,1.68519805,42.1244035780194,48.80423,0.7908605,38.58788,0.34,0.02,0.3,0.022
0.34,24.99457,1.68825673,42.1972510159561,48.87167,0.7920182,38.70738,0.36,0.02,0.28,0.023
0.35000000000000003,24.995439,1.68996615,42.241445814389856,48.87229,0.7920213,38.71588,0.36,0.022,0.28,0.022
0.36000000000000004,24.996783,1.6882967,42.201986249516104,48.87233,0.7919834,38.70653,0.38,0.019,0.28,0.025
0.37000000000000005,25.000972,1.68713249,42.17995214278028,48.83649,0.79155,38.66436,0.36,0.019,0.33,0.022
0.38000000000000006,25.003775,1.68487893,42.12833366796075,48.83085,0.7911044,38.63575,0.36,0.017,0.3,0.022
0.39000000000000007,25.011096,1.68458968,42.13343420708928,48.83615,0.7913947,38.65292,0.34,0.022,0.27,0.023
0.4000000000000001,25.021263,1.68836043,42.24491035782309,48.90357,0.7923267,38.75573,0.34,0.023,0.27,0.023
