Time (s),V_TANK_IN,I_PRI,V_TANK_OUT,I_SEC
0.0,-12.500029439999992,-0.43750016000000014,-53.12498432000001,1.3750004736
5e-10,-12.500029439999992,-0.3750001664,-56.24998400000001,1.3750004736
1e-09,-9.375029759999961,-0.3125001728000001,-53.12498432000001,1.3750004736
1.5000000000000002e-09,-6.250030079999988,-0.3750001664,-56.24998400000001,1.3750004736
2e-09,-3.1250303999999574,-0.3125001728000001,-56.24998400000001,1.4375004672000005
2.5e-09,3.1249689599999897,-0.3125001728000001,-56.24998400000001,1.4375004672000005
3.0000000000000004e-09,6.24996864000002,-0.25000017920000017,-56.24998400000001,1.3125004799999997
3.5000000000000003e-09,9.374968319999994,-0.18750018560000004,-56.24998400000001,1.3750004736
4e-09,12.499968000000024,-0.18750018560000004,-59.374983680000014,1.3750004736
4.500000000000001e-09,12.499968000000024,-0.18750018560000004,-62.499983360000016,1.3750004736
5e-09,12.499968000000024,-0.18750018560000004,-56.24998400000001,1.3750004736
5.5000000000000004e-09,18.749967360000028,-0.12500019200000012,-62.499983360000016,1.3750004736
6.000000000000001e-09,18.749967360000028,-0.12500019200000012,-59.374983680000014,1.3750004736
6.5e-09,28.124966400000005,-2.04800000069838e-07,-65.62498304000002,1.4375004672000005
7.000000000000001e-09,24.99996672000003,-2.04800000069838e-07,-59.374983680000014,1.3750004736
7.500000000000001e-09,31.249966080000036,0.062499788799999845,-59.374983680000014,1.3750004736
8e-09,31.249966080000036,-2.04800000069838e-07,-59.374983680000014,1.3125004799999997
8.5e-09,34.37496576000001,0.12499978239999976,-59.374983680000014,1.3750004736
9.000000000000001e-09,34.37496576000001,0.062499788799999845,-59.374983680000014,1.3125004799999997
9.5e-09,34.37496576000001,0.12499978239999976,-59.374983680000014,1.2500004864000003
1e-08,37.49996544000004,0.12499978239999976,-59.374983680000014,1.3125004799999997
1.0500000000000001e-08,37.49996544000004,0.12499978239999976,-53.12498432000001,1.3125004799999997
1.1000000000000001e-08,37.49996544000004,0.18749977600000012,-53.12498432000001,1.3125004799999997
1.15e-08,34.37496576000001,0.18749977600000012,-53.12498432000001,1.2500004864000003
1.2000000000000002e-08,40.62496512000001,0.24999976960000003,-53.12498432000001,1.3125004799999997
1.2500000000000001e-08,40.62496512000001,0.24999976960000003,-56.24998400000001,1.2500004864000003
1.3e-08,37.49996544000004,0.31249976319999995,-53.12498432000001,1.2500004864000003
1.35e-08,37.49996544000004,0.24999976960000003,-53.12498432000001,1.2500004864000003
1.4000000000000001e-08,37.49996544000004,0.24999976960000003,-49.99998464000001,1.2500004864000003
1.45e-08,43.74996480000004,0.37499975679999986,-49.99998464000001,1.1875004928
1.5000000000000002e-08,37.49996544000004,0.37499975679999986,-49.99998464000001,1.1875004928
1.55e-08,43.74996480000004,0.4374997503999998,-49.99998464000001,1.1875004928
1.6e-08,40.62496512000001,0.4374997503999998,-49.99998464000001,1.1875004928
1.6500000000000002e-08,40.62496512000001,0.49999974400000013,-53.12498432000001,1.1250004992000004
1.7e-08,43.74996480000004,0.49999974400000013,-49.99998464000001,1.1875004928
1.75e-08,43.74996480000004,0.5624997376,-53.12498432000001,1.1250004992000004
1.8000000000000002e-08,43.74996480000004,0.5624997376,-53.12498432000001,1.1250004992000004
1.85e-08,40.62496512000001,0.6249997312,-49.99998464000001,1.1875004928
1.9e-08,46.87496448000002,0.6874997247999999,-53.12498432000001,1.0625005056
1.9500000000000003e-08,46.87496448000002,0.6249997312,-53.12498432000001,1.0625005056
2e-08,46.87496448000002,0.6249997312,-53.12498432000001,1.0625005056
2.05e-08,46.87496448000002,0.6874997247999999,-56.24998400000001,0.9375005184000003
2.1000000000000003e-08,43.74996480000004,0.6874997247999999,-53.12498432000001,1.0000005119999997
2.15e-08,46.87496448000002,0.6874997247999999,-56.24998400000001,1.0000005119999997
2.2000000000000002e-08,46.87496448000002,0.6874997247999999,-49.99998464000001,1.0625005056
