FET,LOAD,V_IN,I_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,V_IN_AVG,I_PRI_AVG,I_PRI_PP,I_PRI_RMS,V_OUT_PP,V_OUT_AVG,I_SEC_PP,I_SEC_AVG,I_SEC_RMS,V_PRI_PP,V_SEC_PP,V_TANK_IN_PP,V_TANK_OUT_PP
IGB110S101,RB058LAM100TF,17.772074,0.933872308,29.72695,0.4818521,14.32718,0.213,17.9347,-0.036,1.75,0.59,0.103,29.8443,1.94,-0.038,0.623,313.0,356.0,81.0,80.0
IGB110S101,RB058LAM100TF,18.257812,0.963883566,30.6495,0.4964826,15.22196,0.238,18.4212,-0.037,1.78,0.607,0.109,30.7697,1.94,-0.038,0.635,331.0,369.0,83.0,81.0
IGB110S101,RB058LAM100TF,18.742928,0.992137585,31.49922,0.510889,16.09547,0.225,18.9095,-0.072,1.94,0.637,0.116,31.6221,2.0,-0.036,0.661,338.0,381.0,88.0,84.0
IGB110S101,RB058LAM100TF,19.224495,1.02077898,32.35148,0.5251095,16.98942,0.238,19.3831,-0.069,2.0,0.65,0.119,32.4756,2.06,-0.029,0.672,344.0,440.0,91.0,86.0
IGB110S101,RB058LAM100TF,19.713646,1.05155897,33.285,0.5393882,17.96029,0.238,19.8974,-0.072,2.0,0.666,0.125,33.4407,2.06,-0.038,0.689,350.0,440.0,94.0,88.0
IGB110S101,RB058LAM100TF,20.195542,1.08102352,34.15815,0.5533379,18.90242,0.25,20.3674,-0.072,2.06,0.685,0.128,34.29,2.13,-0.03,0.709,369.0,450.0,94.0,91.0
IGB110S101,RB058LAM100TF,20.676468,1.10999601,35.01482,0.5675484,19.87089,0.244,20.8492,-0.072,2.13,0.701,0.128,35.1777,2.19,-0.038,0.731,375.0,440.0,97.0,94.0
IGB110S101,RB058LAM100TF,21.156098,1.13896034,35.89766,0.5816144,20.87797,0.244,21.3418,-0.071,2.13,0.715,0.138,36.0285,2.25,-0.036,0.748,410.0,470.0,97.0,100.0
IGB110S101,RB058LAM100TF,21.624312,1.16815421,36.78223,0.5959687,21.91019,0.256,21.8071,-0.065,2.25,0.735,0.15,36.8855,2.38,-0.033,0.767,420.0,470.0,100.0,100.0
IGB110S101,RB058LAM100TF,22.102984,1.19727192,37.63333,0.6096461,22.94422,0.269,22.2895,-0.074,2.25,0.749,0.166,37.7796,2.38,-0.027,0.784,440.0,480.0,103.0,106.0
IGB110S101,RB058LAM100TF,22.578487,1.22608408,38.45491,0.6232075,23.96278,0.275,22.7577,-0.073,2.31,0.768,0.184,38.5951,2.38,-0.036,0.804,440.0,480.0,106.0,106.0
IGB110S101,RB058LAM100TF,23.045138,1.25390227,39.29904,0.6375364,25.05245,0.294,23.2482,-0.072,2.38,0.788,0.197,39.4507,2.44,-0.032,0.822,440.0,480.0,109.0,106.0
IGB110S101,RB058LAM100TF,23.526707,1.28356835,40.1891,0.6514092,26.1746,0.306,23.7288,-0.069,2.38,0.802,0.197,40.3411,2.5,-0.032,0.841,440.0,500.0,106.0,109.0
IGB110S101,RB058LAM100TF,24.006319,1.31156961,41.03694,0.6651648,27.28902,0.34,24.2209,-0.073,2.5,0.824,0.2,41.1968,2.56,-0.034,0.858,480.0,520.0,113.0,113.0
IGB110S101,RB058LAM100TF,24.484088,1.34084389,41.92331,0.6792079,28.47369,0.34,24.6765,-0.072,2.5,0.844,0.197,42.0804,2.63,-0.028,0.875,470.0,520.0,113.0,113.0
IGB110S101,RB058LAM100TF,24.949055,1.36918462,42.77372,0.6928842,29.63347,0.34,25.1409,-0.064,2.56,0.854,0.2,42.9357,2.63,-0.033,0.889,480.0,530.0,119.0,116.0
IGB110S101,RB058LAM100TF,25.414839,1.39676248,43.58943,0.7065108,30.79431,0.34,25.5925,-0.069,2.63,0.878,0.225,43.7532,2.69,-0.03,0.907,480.0,530.0,119.0,119.0
IGB110S101,RB058LAM100TF,25.90183,1.42683294,44.48744,0.7207376,32.05737,0.34,26.1295,-0.068,2.63,0.893,0.2,44.6462,2.81,-0.027,0.927,500.0,560.0,119.0,119.0
IGB110S101,RB058LAM100TF,26.375534,1.45498731,45.3261,0.7343781,33.30097,0.34,26.5899,-0.072,2.69,0.916,0.2,45.5092,2.81,-0.027,0.947,500.0,550.0,125.0,119.0
IGB110S101,RB058LAM100TF,26.83499,1.48303869,46.17237,0.7479926,34.54202,0.36,27.0239,-0.07,2.75,0.93,0.2,46.3389,2.88,-0.025,0.963,520.0,560.0,125.0,122.0
IGB110S101,RB058LAM100TF,27.297619,1.50915868,46.96803,0.7610221,35.73926,0.36,27.537,-0.068,2.81,0.944,0.203,47.1715,2.94,-0.036,0.982,520.0,560.0,125.0,125.0
