VIN,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_DS_A,V_DS_B,MR_FREQ,V_MR_PP,V_SEC_PP
18.0,17.996772,1.02769443,18.49518234237996,31.88431,0.5164924,16.47462,44.0,41.0,13600000.0,84.0,7.7
18.5,18.502558,1.05735047,19.56368839750226,32.77572,0.5318477,17.43206,44.0,43.0,13500000.0,84.0,7.7
19.0,19.001692,1.08875244,20.688138529128477,33.73296,0.5465392,18.43354,45.0,44.0,13500000.0,86.0,8.0
19.5,19.50143,1.11879316,21.8180664942188,34.65374,0.5613428,19.44946,47.0,45.0,13600000.0,91.0,8.1
20.0,20.001279,1.14845768,22.970622477372718,35.54162,0.5762037,20.48017,48.0,47.0,13600000.0,91.0,8.1
20.5,20.496545,1.1799418,24.184730201081,36.49831,0.5911736,21.57483,48.0,48.0,13500000.0,92.0,8.4
21.0,20.995544,1.20949025,25.393905761446,37.38975,0.6058142,22.65447,50.0,49.0,13400000.0,97.0,8.6
21.5,21.495489,1.23991883,26.652661571157868,38.30653,0.6206242,23.776,52.0,50.0,13400000.0,98.0,8.8
22.0,21.994305,1.26849173,27.899593999597652,39.15766,0.6353894,24.88186,53.0,52.0,13500000.0,102.0,9.1
22.5,22.493828,1.30003554,29.242775830647123,40.11424,0.6500202,26.0697,54.0,53.0,13500000.0,102.0,9.4
23.0,22.992407,1.33039576,30.589000784994322,41.03046,0.6647208,27.28461,55.0,53.0,13500000.0,106.0,9.5
23.5,23.492351,1.35964331,31.94121787332181,41.92366,0.6794117,28.48333,56.0,54.0,13500000.0,108.0,9.7
24.0,23.990998,1.38965107,33.33911604106786,42.84528,0.6940801,29.74217,56.0,56.0,13400000.0,109.0,9.8
24.5,24.490666,1.41857988,34.74196603540008,43.73041,0.708569,30.98413,58.0,57.0,13500000.0,113.0,10.2
25.0,24.990744,1.44848541,36.19872806904504,44.6496,0.7231859,32.2675,59.0,59.0,13500000.0,113.0,10.5
25.5,25.490181,1.47746058,37.66073760456498,45.53878,0.7376771,33.59298,61.0,59.0,13400000.0,116.0,10.3
26.0,25.990257,1.50531813,39.12360506545941,46.38931,0.7522632,34.89889,63.0,61.0,13500000.0,119.0,10.6
26.5,26.490486,1.53544431,40.67466599783466,47.31566,0.766832,36.28475,63.0,62.0,13400000.0,120.0,10.8
27.0,26.98912,1.56423589,42.217350143516796,48.19772,0.7809358,37.63816,63.0,63.0,13500000.0,122.0,11.3
27.5,27.483949,1.59461848,43.82641297877752,49.11706,0.7956528,39.0789,65.0,64.0,13500000.0,123.0,11.3
28.0,27.989288,1.62357947,45.44283337671735,50.00595,0.8106176,40.53481,66.0,65.0,13500000.0,127.0,11.3
