FREQ,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_GS_A_pp,V_GS_A_amp,V_GS_A_max,V_GS_A_top,V_GS_A_min,V_GS_A_bot,V_GS_B_pp,V_GS_B_amp,V_GS_B_max,V_GS_B_top,V_GS_B_min,V_GS_B_bot,V_DS_A_pp,V_DS_A_amp,V_DS_A_max,V_DS_A_top,V_DS_A_min,V_DS_A_bot,V_DS_B_pp
6700000.0,24.955469,1.68493934,42.04845146625046,48.75431,0.7898943,38.52857,8.0,5.0,5.67,4.89,-2.38,-0.19,8.5,5.1,5.67,4.97,-2.84,-0.11,58.1,56.3,54.4,54.4,-3.8,-1.9,54.4
6710000.0,24.958545,1.67317341,41.75997384628845,48.5881,0.787061,38.24393,8.0,5.0,5.67,4.81,-2.3,-0.19,8.6,5.0,5.75,4.81,-2.84,-0.19,58.8,56.9,55.0,55.0,-3.8,-1.9,55.0
6720000.0,24.962646,1.66067688,41.45488907582448,48.39755,0.7840549,37.9509,8.0,5.0,5.67,4.81,-2.38,-0.19,8.7,4.8,5.67,4.73,-3.0,-0.11,58.8,56.9,55.0,55.0,-3.8,-1.9,54.4
6730000.0,24.964461,1.64799316,41.14126097108676,48.19829,0.7807443,37.62843,8.0,5.0,5.59,4.81,-2.38,-0.19,8.7,5.0,5.75,4.89,-2.92,-0.11,58.8,56.9,55.0,55.0,-3.8,-1.9,54.4
6740000.0,24.966319,1.63488293,40.81700875803467,47.98458,0.7774457,37.30655,8.1,5.1,5.75,4.89,-2.38,-0.19,8.7,4.9,5.75,4.81,-2.92,-0.11,58.8,56.9,55.0,55.0,-3.8,-1.9,55.0
6750000.0,24.967342,1.62176732,40.49121932286344,47.77386,0.7742658,36.98953,8.1,5.1,5.67,4.81,-2.38,-0.19,8.7,5.0,5.75,4.89,-2.92,-0.11,58.1,56.3,54.4,54.4,-3.8,-1.9,55.0
6760000.0,24.967896,1.60963417,40.18917855460632,47.59588,0.7710066,36.69351,8.0,5.0,5.67,4.81,-2.3,-0.19,8.5,5.0,5.75,4.89,-2.84,-0.11,59.4,56.9,55.0,54.4,-3.8,-1.9,55.0
6770000.0,24.967922,1.59663179,39.864577995440385,47.3847,0.7677466,36.38018,7.9,5.1,5.67,4.81,-2.38,-0.19,8.6,5.0,5.75,4.89,-2.77,-0.11,58.8,56.9,55.0,55.0,-3.8,-1.9,55.0
6780000.0,24.967469,1.58483217,39.56924807467774,47.20596,0.7645108,36.08533,8.0,5.0,5.75,4.89,-2.38,-0.19,8.7,5.1,5.83,4.97,-2.84,-0.11,59.4,57.5,55.6,55.6,-3.8,-1.9,56.3
6790000.0,24.967775,1.57094709,39.22305348002475,46.95877,0.7611615,35.73766,8.1,5.1,5.67,4.89,-2.3,-0.19,8.6,4.9,5.75,4.97,-2.84,-0.11,59.4,56.9,55.0,55.0,-4.4,-1.9,56.3
6800000.0,24.968794,1.55923204,38.932143604959755,46.78007,0.7576433,35.44672,8.0,5.1,5.67,4.89,-2.3,-0.19,8.6,5.1,5.75,4.97,-2.84,-0.19,60.0,57.5,55.6,55.0,-3.8,-1.3,56.9
6810000.0,24.969859,1.54630041,38.61090320934219,46.5638,0.7543878,35.12511,8.0,5.0,5.67,4.89,-2.3,-0.19,8.6,5.0,5.91,4.89,-2.84,-0.11,59.4,56.9,55.0,55.0,-4.4,-1.9,55.6
6820000.0,24.969576,1.53460468,38.31842818721568,46.38982,0.7510784,34.84243,8.0,5.1,5.67,4.81,-2.38,-0.19,8.6,5.1,5.75,4.97,-2.84,-0.11,60.0,57.5,55.6,55.6,-4.4,-1.9,56.9
6830000.0,24.970537,1.52155083,37.99394129789571,46.16279,0.747824,34.5237,8.0,5.0,5.67,4.81,-2.3,-0.19,8.7,5.1,5.75,4.97,-2.84,-0.11,59.4,56.9,55.0,55.6,-4.4,-1.9,56.9
6840000.0,24.971503,1.50930716,37.68966827386148,45.96326,0.7446712,34.2269,8.0,5.1,5.75,4.89,-2.38,-0.19,8.6,5.1,5.75,4.97,-2.84,-0.11,60.0,57.5,55.6,55.6,-4.4,-1.9,56.3
6850000.0,24.973173,1.49809043,37.412071478034385,45.78617,0.7417133,33.95516,8.0,5.0,5.67,4.81,-2.38,-0.19,8.7,5.1,5.75,4.97,-2.84,-0.11,60.0,57.5,55.6,56.3,-4.4,-1.9,56.3
6860000.0,24.974781,1.48644944,37.12374923157264,45.57933,0.7387119,33.67227,8.1,5.1,5.75,4.89,-2.38,-0.19,8.6,5.0,5.75,4.97,-2.77,-0.11,60.0,57.5,55.6,55.6,-4.4,-1.9,56.9
6870000.0,24.976273,1.47513256,36.843313529748876,45.39758,0.73584,33.40106,8.0,5.1,5.67,4.89,-2.38,-0.19,8.4,5.1,5.67,4.89,-2.77,-0.19,60.6,57.5,55.6,56.3,-4.4,-1.9,56.9
6880000.0,24.977616,1.46450071,36.57973636610736,45.22607,0.7328308,33.13292,8.0,5.1,5.67,4.81,-2.38,-0.19,8.6,5.0,5.75,4.81,-2.84,-0.11,60.6,58.1,56.3,56.3,-4.4,-1.9,56.9
6890000.0,24.978899,1.45414437,36.32292534964863,45.04424,0.7299692,32.87883,8.0,5.1,5.67,4.89,-2.38,-0.19,8.6,4.9,5.75,4.81,-2.84,-0.11,60.6,58.1,56.3,56.3,-4.4,-1.9,56.3
