Time (s),VDS_A,VDS_B,V_MR
0.0,10.156252160000001,28.906253311999997,12.812492800000001
5e-10,14.0625024,28.906253311999997,12.812492800000001
1e-09,13.281252351999996,28.125003264,11.249992704000007
1.5000000000000002e-09,10.156252160000001,28.906253311999997,14.374992896000009
2e-09,7.031251967999999,28.125003264,12.812492800000001
2.5e-09,6.250001919999999,28.906253311999997,15.937492992000003
3.0000000000000004e-09,9.375002111999997,27.343753215999996,14.374992896000009
3.5000000000000003e-09,12.500002303999999,28.125003264,14.374992896000009
4e-09,18.750002687999995,27.343753215999996,15.937492992000003
4.500000000000001e-09,21.875002879999997,26.562503168,17.499993087999997
5e-09,23.437502975999998,25.781253119999995,17.499993087999997
5.5000000000000004e-09,20.312502783999996,25.781253119999995,19.062493184000004
6.000000000000001e-09,15.625002496,25.781253119999995,19.062493184000004
6.5e-09,14.0625024,25.000003072,19.062493184000004
7.000000000000001e-09,16.406252543999997,25.000003072,20.624993279999998
7.500000000000001e-09,22.656252928,25.000003072,20.624993279999998
8e-09,28.125003264,25.781253119999995,20.624993279999998
8.5e-09,29.68750336,25.000003072,20.624993279999998
9.000000000000001e-09,26.562503168,24.218753024,20.624993279999998
9.5e-09,23.437502975999998,24.218753024,25.312493568000008
1e-08,24.218753024,24.218753024,23.749993472
1.0500000000000001e-08,25.781253119999995,25.000003072,25.312493568000008
1.1000000000000001e-08,29.68750336,25.000003072,25.312493568000008
1.15e-08,30.468753407999998,25.000003072,25.312493568000008
1.2000000000000002e-08,30.468753407999998,24.218753024,25.312493568000008
1.2500000000000001e-08,30.468753407999998,23.437502975999998,25.312493568000008
1.3e-08,32.031253504,23.437502975999998,25.312493568000008
1.35e-08,35.156253696,25.000003072,29.999993856000003
1.4000000000000001e-08,37.50000384,25.000003072,29.999993856000003
1.45e-08,37.50000384,25.000003072,31.562493951999997
1.5000000000000002e-08,33.5937536,24.218753024,31.562493951999997
1.55e-08,30.468753407999998,24.218753024,31.562493951999997
1.6e-08,30.468753407999998,23.437502975999998,31.562493951999997
1.6500000000000002e-08,36.718753792,25.000003072,33.124994048000005
1.7e-08,42.187504128,25.781253119999995,31.562493951999997
1.75e-08,44.531254272,25.781253119999995,36.24999424000001
1.8000000000000002e-08,42.187504128,25.781253119999995,33.124994048000005
1.85e-08,38.281253887999995,25.781253119999995,34.687494144
1.9e-08,36.718753792,25.000003072,33.124994048000005
1.9500000000000003e-08,37.50000384,25.781253119999995,36.24999424000001
2e-08,42.187504128,26.562503168,37.812494336
2.05e-08,43.750004223999994,26.562503168,37.812494336
2.1000000000000003e-08,44.531254272,26.562503168,36.24999424000001
2.15e-08,43.750004223999994,27.343753215999996,40.937494528
2.2000000000000002e-08,42.968754176000004,27.343753215999996,40.937494528
2.2500000000000003e-08,43.750004223999994,27.343753215999996,40.937494528
2.3e-08,44.531254272,28.125003264,40.937494528
2.3500000000000002e-08,43.750004223999994,30.468753407999998,44.062494720000004
2.4000000000000003e-08,42.187504128,30.468753407999998,42.49999462400001
2.45e-08,44.531254272,28.906253311999997,42.49999462400001
2.5000000000000002e-08,46.875004415999996,27.343753215999996,40.937494528
2.55e-08,50.000004608,22.656252928,45.624994816
2.6e-08,50.000004608,13.281252351999996,42.49999462400001
2.6500000000000002e-08,47.656254464,3.9062517759999977,44.062494720000004
2.7e-08,45.31250432,-3.1249986560000025,44.062494720000004
2.75e-08,42.187504128,-4.687498752,45.624994816
2.8000000000000003e-08,45.31250432,-6.249998848000001,48.749995008
2.85e-08,47.656254464,-9.37499904,47.187494912000005
2.9e-08,50.781254656,-10.937499136,45.624994816
2.9500000000000003e-08,50.781254656,-9.37499904,48.749995008
3.0000000000000004e-08,50.000004608,-4.687498752,47.187494912000005
3.05e-08,49.218754559999994,1.562501632,44.062494720000004
3.1e-08,47.656254464,6.250001919999999,45.624994816
3.1500000000000004e-08,47.656254464,9.375002111999997,47.187494912000005
3.2e-08,49.218754559999994,8.593752064,45.624994816
3.25e-08,50.781254656,4.687501823999998,45.624994816
3.3000000000000004e-08,50.781254656,0.7812515839999996,44.062494720000004
3.35e-08,52.343754751999995,-3.9062487039999993,48.749995008
3.4e-08,52.343754751999995,-7.031248896000001,48.749995008
3.4500000000000005e-08,50.781254656,-7.812498944000001,48.749995008
3.5e-08,49.218754559999994,-9.37499904,45.624994816
3.55e-08,46.875004415999996,-7.812498944000001,47.187494912000005
3.6000000000000005e-08,48.437504512000004,-3.9062487039999993,45.624994816
3.65e-08,50.781254656,0.7812515839999996,44.062494720000004
3.7e-08,53.1250048,4.687501823999998,44.062494720000004
3.7500000000000005e-08,53.906254848,7.031251967999999,45.624994816
3.8e-08,53.906254848,7.031251967999999,44.062494720000004
3.85e-08,53.1250048,3.9062517759999977,42.49999462400001
3.9000000000000005e-08,50.781254656,0.7812515839999996,44.062494720000004
3.95e-08,50.781254656,-2.343748608000002,44.062494720000004
4e-08,50.000004608,-4.687498752,44.062494720000004
4.0500000000000005e-08,52.343754751999995,-7.031248896000001,40.937494528
4.1e-08,53.1250048,-7.812498944000001,39.37499443200001
4.15e-08,53.1250048,-6.249998848000001,40.937494528
4.2000000000000006e-08,52.343754751999995,-3.9062487039999993,39.37499443200001
4.2500000000000003e-08,51.56250470399999,0.7812515839999996,39.37499443200001
4.3e-08,52.343754751999995,4.687501823999998,36.24999424000001
4.3500000000000006e-08,50.781254656,5.468751871999999,34.687494144
4.4000000000000004e-08,52.343754751999995,4.687501823999998,34.687494144
4.45e-08,53.1250048,2.3437516800000004,33.124994048000005
4.5000000000000006e-08,53.906254848,1.5359999991915174e-06,33.124994048000005
4.5500000000000004e-08,53.906254848,-1.5624985600000016,36.24999424000001
4.6e-08,53.906254848,-4.687498752,34.687494144
4.6500000000000006e-08,52.343754751999995,-7.031248896000001,31.562493951999997
4.7000000000000004e-08,50.781254656,-8.593748992000002,31.562493951999997
4.75e-08,50.781254656,-7.812498944000001,29.999993856000003
4.8000000000000006e-08,50.781254656,-3.1249986560000025,29.999993856000003
4.8500000000000004e-08,53.1250048,1.5359999991915174e-06,28.43749376000001
4.9e-08,53.906254848,3.9062517759999977,26.874993664
4.95e-08,54.68750489599999,4.687501823999998,28.43749376000001
5.0000000000000004e-08,53.906254848,3.9062517759999977,25.312493568000008
5.05e-08,52.343754751999995,3.125001728000001,23.749993472
5.1e-08,52.343754751999995,0.7812515839999996,23.749993472
5.1500000000000005e-08,50.781254656,-1.5624985600000016,23.749993472
5.2e-08,52.343754751999995,-3.1249986560000025,22.187493376000006
5.25e-08,51.56250470399999,-6.249998848000001,22.187493376000006
5.3000000000000005e-08,52.343754751999995,-7.031248896000001,19.062493184000004
5.35e-08,53.1250048,-6.249998848000001,20.624993279999998
5.4e-08,53.1250048,-3.1249986560000025,20.624993279999998
5.4500000000000005e-08,52.343754751999995,1.5359999991915174e-06,15.937492992000003
5.5e-08,50.000004608,3.125001728000001,15.937492992000003
5.55e-08,50.000004608,3.9062517759999977,15.937492992000003
5.6000000000000005e-08,50.000004608,3.9062517759999977,14.374992896000009
5.65e-08,52.343754751999995,3.125001728000001,14.374992896000009
5.7e-08,53.1250048,1.562501632,12.812492800000001
5.7500000000000005e-08,51.56250470399999,-0.7812485120000012,14.374992896000009
5.8e-08,50.781254656,-4.687498752,11.249992704000007
5.85e-08,49.218754559999994,-5.4687488,11.249992704000007
5.9000000000000006e-08,49.218754559999994,-6.249998848000001,11.249992704000007
5.9500000000000003e-08,48.437504512000004,-5.4687488,8.124992512000006
6.000000000000001e-08,49.218754559999994,-2.343748608000002,9.687492608
6.05e-08,49.218754559999994,-0.7812485120000012,8.124992512000006
6.1e-08,49.218754559999994,0.7812515839999996,6.562492415999998
6.15e-08,49.218754559999994,2.3437516800000004,9.687492608
6.2e-08,49.218754559999994,3.125001728000001,8.124992512000006
6.250000000000001e-08,49.218754559999994,3.125001728000001,6.562492415999998
6.300000000000001e-08,46.875004415999996,0.7812515839999996,6.562492415999998
6.35e-08,46.09375436799999,-0.7812485120000012,6.562492415999998
6.4e-08,46.09375436799999,-3.9062487039999993,6.562492415999998
6.45e-08,46.875004415999996,-4.687498752,4.999992320000004
6.5e-08,46.875004415999996,-5.4687488,4.999992320000004
6.55e-08,46.875004415999996,-4.687498752,6.562492415999998
6.600000000000001e-08,45.31250432,-3.1249986560000025,4.999992320000004
6.65e-08,43.750004223999994,-1.5624985600000016,3.4374922240000103
