DUTY,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_GS_A_pp,V_GS_A_amp,V_GS_A_max,V_GS_A_top,V_GS_A_min,V_GS_A_bot,V_GS_B_pp,V_GS_B_amp,V_GS_B_max,V_GS_B_top,V_GS_B_min,V_GS_B_bot,V_DS_A_pp,V_DS_A_amp,V_DS_A_max,V_DS_A_top,V_DS_A_min,V_DS_A_bot,V_DS_B_pp
0.3,24.978384,1.61550832,40.352787172154876,0.00381022,0.001520528,8.161289e-07,7.9,5.1,5.59,4.89,-2.38,-0.19,8.6,5.0,5.83,4.89,-2.77,-0.11,60.6,57.5,55.6,55.6,-5.0,-1.9,56.3
0.31,24.977168,1.62163063,40.50374067945584,0.004085948,0.001495864,6.841026e-07,7.9,5.1,5.59,4.89,-2.38,-0.19,8.5,5.1,5.75,4.97,-2.77,-0.11,60.0,57.5,55.6,55.6,-4.4,-1.9,56.3
0.32,24.97916,1.62784784,40.6622716510144,0.003927431,0.001452834,2.836355e-07,8.0,5.0,5.67,4.81,-2.38,-0.19,8.7,5.1,5.67,4.89,-2.77,-0.11,60.0,57.5,55.6,55.6,-4.4,-1.9,55.0
0.33,24.979331,1.63425834,40.82268001437053,0.003719212,0.001442369,8.745436e-08,8.1,5.0,5.75,4.81,-2.38,-0.19,8.7,5.0,5.83,4.89,-2.84,-0.11,60.0,57.5,55.6,55.6,-4.4,-1.9,55.6
0.34,24.9761,1.63860473,40.925955596952996,0.003569809,0.001468716,-9.049333e-08,8.0,5.0,5.75,4.81,-2.3,-0.19,8.7,5.0,5.83,4.89,-2.84,-0.11,60.0,57.5,55.6,55.6,-3.8,-1.9,56.3
0.35000000000000003,24.975782,1.63793494,40.90870599162308,0.003806348,0.001460587,5.652452e-07,8.0,5.0,5.75,4.89,-2.3,-0.19,8.6,5.1,5.75,4.97,-2.77,-0.11,60.6,57.5,55.6,55.6,-5.0,-1.9,56.3
0.36000000000000004,24.977321,1.63427836,40.81989520107356,0.003741017,0.001441102,-1.428308e-07,7.9,5.0,5.59,4.81,-2.38,-0.19,8.7,4.9,5.91,4.81,-2.77,-0.11,59.4,56.9,55.0,55.0,-3.8,-1.9,56.9
0.37000000000000005,24.975355,1.62880595,40.68000682736225,0.003834588,0.001453719,1.310128e-07,8.0,5.0,5.67,4.81,-2.38,-0.19,8.5,5.0,5.67,4.89,-2.84,-0.11,59.4,58.1,55.0,55.6,-3.8,-1.9,56.3
0.38000000000000006,24.974656,1.62553379,40.59714722162624,0.003900734,0.00144279,3.63999e-07,8.0,5.1,5.67,4.89,-2.3,-0.19,8.7,5.0,5.75,4.89,-2.77,-0.11,58.1,56.9,55.0,55.0,-3.1,-1.9,56.3
0.39000000000000007,24.974756,1.62284241,40.53009321620196,0.003593578,0.001405173,-2.127271e-08,8.1,5.0,5.75,4.81,-2.3,-0.19,8.8,5.0,5.75,4.97,-2.84,-0.11,58.8,58.1,56.3,56.3,-3.1,-1.9,55.6
0.4000000000000001,24.973059,1.62326866,40.53798401903094,0.003392079,0.001416057,1.114283e-07,8.0,5.1,5.83,4.81,-2.38,-0.19,8.7,5.0,5.75,4.89,-2.77,-0.11,59.4,57.5,55.6,55.6,-3.8,-1.9,56.3
