FET,LOAD,V_IN,I_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,V_IN_AVG,I_PRI_AVG,I_PRI_PP,I_PRI_RMS,V_OUT_PP,V_OUT_AVG,I_SEC_PP,I_SEC_AVG,I_SEC_RMS,V_PRI_PP,V_SEC_PP,V_TANK_IN_PP,V_TANK_OUT_PP
IGB110S101,STPS360AF,25.06175,1.26775626,42.41621,0.6572096,27.87625,0.294,25.177,-0.07,2.38,0.804,0.125,42.5779,2.56,-0.041,0.849,244.0,520.0,275.0,109.0
IGB110S101,STPS360AF,25.060684,1.27586263,42.71206,0.6569664,28.06105,0.294,25.1894,-0.064,2.38,0.808,0.122,42.8786,2.56,-0.043,0.848,250.0,500.0,288.0,113.0
IGB110S101,STPS360AF,25.061756,1.28466979,43.03763,0.6567035,28.26258,0.3,25.1816,-0.063,2.44,0.815,0.131,43.2006,2.56,-0.042,0.845,256.0,520.0,281.0,113.0
IGB110S101,STPS360AF,25.060646,1.29277338,43.33007,0.6563331,28.43608,0.281,25.1783,-0.061,2.44,0.821,0.125,43.4991,2.56,-0.045,0.851,250.0,500.0,288.0,113.0
IGB110S101,STPS360AF,25.06034,1.30172669,43.6589,0.6562478,28.64478,0.319,25.1854,-0.065,2.44,0.825,0.125,43.8294,2.56,-0.041,0.847,256.0,500.0,288.0,113.0
IGB110S101,STPS360AF,25.059324,1.3096094,43.95368,0.6558258,28.82007,0.319,25.1796,-0.06,2.5,0.83,0.125,44.1323,2.56,-0.035,0.844,256.0,500.0,288.0,116.0
IGB110S101,STPS360AF,25.057597,1.31773295,44.26408,0.6553453,28.98514,0.313,25.1839,-0.068,2.5,0.833,0.128,44.4083,2.5,-0.045,0.847,256.0,480.0,288.0,116.0
IGB110S101,STPS360AF,25.055926,1.32527495,44.52785,0.6546479,29.15456,0.3,25.1467,-0.07,2.5,0.84,0.122,44.699,2.56,-0.041,0.847,256.0,500.0,310.0,116.0
IGB110S101,STPS360AF,25.053764,1.33406945,44.85338,0.6547303,29.36067,0.306,25.1693,-0.07,2.5,0.848,0.125,45.0265,2.5,-0.038,0.843,263.0,500.0,288.0,116.0
IGB110S101,STPS360AF,25.051835,1.34271745,45.1647,0.6542562,29.54913,0.34,25.1861,-0.066,2.56,0.849,0.125,45.3566,2.5,-0.04,0.848,263.0,480.0,310.0,116.0
IGB110S101,STPS360AF,25.049836,1.3506542,45.46888,0.6539481,29.73355,0.306,25.1691,-0.062,2.5,0.857,0.128,45.6427,2.56,-0.036,0.841,263.0,480.0,330.0,119.0
IGB110S101,STPS360AF,25.048959,1.35845997,45.75929,0.6535489,29.89871,0.34,25.1871,-0.069,2.63,0.86,0.128,45.9301,2.56,-0.041,0.847,263.0,500.0,330.0,119.0
IGB110S101,STPS360AF,25.048829,1.36702587,46.07051,0.6532541,30.09254,0.33,25.1869,-0.066,2.56,0.864,0.128,46.219,2.5,-0.042,0.845,269.0,500.0,300.0,119.0
IGB110S101,STPS360AF,25.049049,1.37391812,46.33155,0.6528834,30.24706,0.36,25.1884,-0.068,2.56,0.871,0.134,46.5104,2.5,-0.039,0.846,269.0,520.0,330.0,116.0
IGB110S101,STPS360AF,25.048083,1.38255782,46.65415,0.6522739,30.42741,0.34,25.1807,-0.068,2.63,0.876,0.125,46.8356,2.5,-0.038,0.842,269.0,500.0,330.0,119.0
IGB110S101,STPS360AF,25.046452,1.39120838,46.9799,0.6522183,30.64348,0.33,25.1822,-0.063,2.63,0.876,0.125,47.1594,2.5,-0.044,0.84,275.0,520.0,330.0,122.0
IGB110S101,STPS360AF,25.047271,1.39879262,47.26884,0.651968,30.81166,0.31,25.1855,-0.065,2.63,0.884,0.125,47.438,2.56,-0.041,0.85,275.0,520.0,330.0,122.0
IGB110S101,STPS360AF,25.045181,1.40738802,47.58339,0.6514708,30.98996,0.34,25.1847,-0.073,2.63,0.892,0.128,47.7672,2.56,-0.048,0.845,275.0,500.0,330.0,122.0
IGB110S101,STPS360AF,25.045289,1.41509488,47.87581,0.6512017,31.17669,0.34,25.1714,-0.067,2.69,0.894,0.125,48.0601,2.5,-0.045,0.839,275.0,500.0,330.0,122.0
IGB110S101,STPS360AF,25.043379,1.42272346,48.16523,0.6508203,31.34118,0.34,25.1817,-0.071,2.63,0.9,0.131,48.3774,2.5,-0.043,0.843,275.0,520.0,330.0,125.0
IGB110S101,STPS360AF,25.044984,1.43129762,48.48323,0.6504503,31.53893,0.36,25.1702,-0.066,2.69,0.901,0.131,48.6675,2.56,-0.045,0.843,281.0,500.0,340.0,128.0
IGB110S101,STPS360AF,25.044108,1.4387359,48.76403,0.6500689,31.6991,0.34,25.1743,-0.063,2.75,0.906,0.128,48.9527,2.44,-0.042,0.84,275.0,500.0,330.0,128.0
