VIN,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
18.0,18.03339,1.24154279,22.3892253337581,0.003579477,0.001452183,3.339472e-07,0.28,0.023,95.0,1.88
18.5,18.537444,1.27774103,23.686052790127324,0.003364883,0.001471293,3.82233e-07,0.27,0.027,98.0,1.88
19.0,19.04308,1.31336065,25.010431926802,0.003710588,0.001422111,2.691162e-07,0.3,0.023,98.0,1.94
19.5,19.547947,1.35001552,26.39003183413744,0.003497896,0.001453672,3.427264e-07,0.3,0.025,103.0,1.97
20.0,20.053663,1.38694811,27.81338999642693,0.003293998,0.00145139,2.127264e-08,0.31,0.027,106.0,2.03
20.5,20.561389,1.42440651,29.28777634624239,0.003499703,0.001474231,2.019216e-07,0.33,0.027,108.0,2.09
21.0,21.067946,1.461418,30.789075507428002,0.003459856,0.001456785,4.386225e-07,0.34,0.03,111.0,2.13
21.5,21.576504,1.49851142,32.33263764767568,0.003590761,0.001477026,4.116098e-07,0.34,0.03,114.0,2.19
22.0,22.084299,1.5351426,33.9025481860374,0.003684028,0.001445132,2.711421e-07,0.31,0.03,116.0,2.22
22.5,22.593603,1.57165366,35.50931884753698,0.003697392,0.001446863,5.797658e-07,0.36,0.03,117.0,2.28
23.0,23.102129,1.60781949,37.144053266694215,0.003569925,0.001479086,8.238942e-08,0.33,0.027,120.0,2.34
23.5,23.611876,1.64414462,38.82133889350712,0.003552058,0.001507932,5.183107e-07,0.33,0.03,122.0,2.38
24.0,24.120921,1.68153503,40.56017361736263,0.00371116,0.001523151,6.49999e-07,0.33,0.03,127.0,2.44
24.5,24.631454,1.7207979,42.3857543171466,0.00356603,0.001426384,5.402585e-07,0.36,0.03,127.0,2.5
25.0,25.142677,1.75880144,44.22097651305488,0.003467886,0.001472486,6.793757e-07,0.39,0.036,131.0,2.53
25.5,25.653838,1.79608435,46.0764569492353,0.00348123,0.001446676,4.119467e-08,0.39,0.033,133.0,2.59
26.0,26.164232,1.83377639,47.97935090408247,0.003632187,0.001424059,1.070387e-07,0.41,0.036,134.0,2.63
26.5,26.673019,1.87070895,49.897455366820054,0.003989188,0.001474461,8.455051e-07,0.42,0.036,138.0,2.69
27.0,27.180546,1.90733828,51.84249585710088,0.003681515,0.001499432,3.329345e-07,0.42,0.034,141.0,2.75
27.5,27.685211,1.94504933,53.849101106458626,0.003696936,0.001535269,6.334531e-07,0.41,0.045,145.0,2.78
28.0,28.187066,1.98121251,55.84456777939566,0.003603999,0.001384907,5.470118e-07,0.42,0.036,145.0,2.84
