DUTY,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_DS_A,V_DS_B,MR_FREQ,V_MR_PP,V_SEC_PP
0.3,24.990884,1.42717034,35.66624841518056,44.23643,0.7168514,31.73044,60.0,59.0,13400000.0,113.0,10.3
0.31,24.989988,1.43241154,35.79594719566152,44.33751,0.718318,31.8487,59.0,59.0,13500000.0,114.0,10.3
0.32,24.989188,1.43653048,35.897730232450236,44.40279,0.719183,31.93932,59.0,58.0,13500000.0,114.0,10.3
0.33,24.992078,1.44330746,36.07125261830188,44.5137,0.7213626,32.09657,59.0,59.0,13500000.0,114.0,10.2
0.34,24.991249,1.44831263,36.19514156617487,44.58274,0.7222466,32.19835,60.0,59.0,13600000.0,114.0,10.3
0.35,24.990922,1.4506708,36.2536008104776,44.61266,0.7229584,32.25721,59.0,59.0,13500000.0,114.0,10.2
0.35000000000000003,24.991059,1.45081474,36.25739676540966,44.61866,0.7229924,32.25574,59.0,58.0,13600000.0,114.0,10.3
0.36000000000000004,24.991479,1.44799943,36.18764734685698,44.58276,0.7226012,32.21724,59.0,59.0,13500000.0,114.0,10.5
0.37000000000000005,24.991304,1.44275204,36.05625482826016,44.51155,0.7213103,32.09943,59.0,57.0,13500000.0,113.0,10.2
0.38000000000000006,24.991222,1.43793186,35.93567433413292,44.4411,0.7203003,32.01241,59.0,58.0,13500000.0,114.0,10.2
0.39000000000000007,24.991355,1.43558343,35.877175131247654,44.44029,0.719772,31.98541,59.0,57.0,13500000.0,114.0,10.3
0.4000000000000001,24.991281,1.43358978,35.82724503070818,44.4145,0.7197133,31.97438,59.0,58.0,13600000.0,113.0,10.5
