Time (s),VGS_A,VGS_B,VDS_A,VDS_B
0.0,4.9374993152,-0.1250001664,-2.4999956480000023,34.375000576
5e-10,4.8124993279999995,-0.1250001664,-1.8749957120000005,34.375000576
1e-09,4.8124993279999995,-0.1250001664,-1.8749957120000005,34.375000576
1.5000000000000002e-09,4.8749993216,-0.1250001664,-2.4999956480000023,34.375000576
2e-09,4.8124993279999995,-0.06250017280000009,-1.8749957120000005,34.375000576
2.5e-09,4.9374993152,-0.06250017280000009,-1.2499957760000058,35.000000512
3.0000000000000004e-09,4.8749993216,-0.06250017280000009,-1.8749957120000005,35.625000448
3.5000000000000003e-09,4.9999993088,-0.1250001664,-1.8749957120000005,35.000000512
4e-09,4.9374993152,-0.1250001664,-1.2499957760000058,35.000000512
4.500000000000001e-09,4.9999993088,-1.7920000017213056e-07,-1.8749957120000005,35.000000512
5e-09,4.9999993088,-0.06250017280000009,-1.8749957120000005,35.625000448
5.5000000000000004e-09,4.9999993088,-0.1250001664,-2.4999956480000023,35.625000448
6.000000000000001e-09,4.9374993152,-0.06250017280000009,-1.2499957760000058,35.625000448
6.5e-09,4.8749993216,-0.1250001664,-1.8749957120000005,36.250000384
7.000000000000001e-09,4.8749993216,-0.06250017280000009,-1.2499957760000058,35.625000448
7.500000000000001e-09,4.8749993216,-0.1250001664,-1.8749957120000005,36.250000384
8e-09,4.8749993216,-0.06250017280000009,-1.8749957120000005,36.250000384
8.5e-09,4.8124993279999995,-0.06250017280000009,-1.8749957120000005,36.250000384
9.000000000000001e-09,4.8749993216,-0.1250001664,-1.8749957120000005,37.500000256
9.5e-09,4.9374993152,-0.18750016000000014,-2.4999956480000023,36.87500032
1e-08,4.9374993152,-0.1250001664,-1.2499957760000058,36.87500032
1.0500000000000001e-08,4.9374993152,-0.06250017280000009,-1.2499957760000058,37.500000256
1.1000000000000001e-08,4.9999993088,-0.06250017280000009,-1.8749957120000005,36.87500032
1.15e-08,4.9999993088,-0.06250017280000009,-1.2499957760000058,38.125000192
1.2000000000000002e-08,4.9374993152,-0.06250017280000009,-1.2499957760000058,38.125000192
1.2500000000000001e-08,4.6874993408,-0.06250017280000009,-1.2499957760000058,37.500000256
1.3e-08,3.8124994304,-0.06250017280000009,-1.8749957120000005,36.87500032
1.35e-08,2.9374995200000003,-0.06250017280000009,-2.4999956480000023,36.87500032
1.4000000000000001e-08,2.5624995584,-0.1250001664,-0.624995840000004,36.87500032
1.45e-08,2.6249995520000002,-0.1250001664,-1.8749957120000005,36.87500032
1.5000000000000002e-08,2.4999995647999995,-0.06250017280000009,-1.8749957120000005,36.87500032
1.55e-08,1.8749996288,-0.06250017280000009,-1.2499957760000058,37.500000256
1.6e-08,1.2499996928,-1.7920000017213056e-07,-1.2499957760000058,37.500000256
1.6500000000000002e-08,0.4374997760000001,0.062499814399999964,-1.8749957120000005,36.87500032
1.7e-08,-0.31250014719999997,-0.06250017280000009,-1.8749957120000005,36.87500032
1.75e-08,-1.0000000768000001,-0.1250001664,-2.4999956480000023,36.87500032
1.8000000000000002e-08,-1.437500032,-0.1250001664,-1.2499957760000058,36.250000384
1.85e-08,-1.8124999936,-0.1250001664,-1.8749957120000005,36.250000384
1.9e-08,-1.9374999808,-0.1250001664,-2.4999956480000023,36.250000384
1.9500000000000003e-08,-1.8749999872,-0.18750016000000014,-1.8749957120000005,36.250000384
2e-08,-1.8124999936,-0.18750016000000014,-1.2499957760000058,36.250000384
2.05e-08,-1.5000000256,-0.06250017280000009,-1.8749957120000005,34.375000576
2.1000000000000003e-08,-1.1875000575999999,-0.1250001664,-1.8749957120000005,34.375000576
2.15e-08,-0.7500001024,-0.1250001664,-1.8749957120000005,33.750000639999996
2.2000000000000002e-08,-0.31250014719999997,-0.06250017280000009,-1.2499957760000058,33.125000704
2.2500000000000003e-08,0.12499980799999988,-0.1250001664,-3.124995584000004,33.125000704
2.3e-08,0.49999976960000003,-0.1250001664,-1.8749957120000005,32.500000768
2.3500000000000002e-08,0.6249997567999999,-0.18750016000000014,-1.8749957120000005,32.500000768
2.4000000000000003e-08,0.6249997567999999,-0.1250001664,-0.624995840000004,31.250000896
2.45e-08,0.4374997760000001,-0.06250017280000009,4.0959999978440464e-06,31.250000896
2.5000000000000002e-08,0.5624997632,-0.1250001664,1.2500039680000015,30.62500096
2.55e-08,0.7499997440000001,-0.06250017280000009,1.8750039039999962,30.000001024
2.6e-08,0.7499997440000001,-0.06250017280000009,4.375003647999996,28.750001152
2.6500000000000002e-08,0.5624997632,-0.06250017280000009,6.250003456000002,28.125001216
2.7e-08,0.31249978879999984,-0.06250017280000009,7.500003327999998,26.875001343999998
2.75e-08,0.062499814399999964,-0.06250017280000009,8.125003264,26.250001408
2.8000000000000003e-08,-0.18750016000000014,-0.06250017280000009,8.125003264,26.250001408
2.85e-08,-0.18750016000000014,-1.7920000017213056e-07,7.500003327999998,24.375001599999997
2.9e-08,-0.1250001664,-0.06250017280000009,8.125003264,23.750001664
2.9500000000000003e-08,-0.18750016000000014,-0.06250017280000009,9.375003135999997,22.500001792
3.0000000000000004e-08,-0.3750001408000001,-0.06250017280000009,12.500002815999999,21.875001855999997
3.05e-08,-0.5625001216000001,-0.1250001664,14.375002623999997,20.625001984
3.1e-08,-0.6250001152,-0.06250017280000009,15.625002496,20.000002048
3.1500000000000004e-08,-0.5000001279999999,-0.06250017280000009,15.000002559999999,18.750002176
3.2e-08,-0.25000015360000005,-0.1250001664,15.000002559999999,17.500002304
3.25e-08,-1.7920000017213056e-07,-0.1250001664,14.375002623999997,16.875002367999997
3.3000000000000004e-08,0.062499814399999964,-0.18750016000000014,16.875002367999997,15.625002496
3.35e-08,-0.1250001664,-0.1250001664,19.375002111999997,15.000002559999999
3.4e-08,-0.25000015360000005,-0.1250001664,22.500001792,13.125002752
3.4500000000000005e-08,-0.31250014719999997,-0.1250001664,23.750001664,12.500002815999999
3.5e-08,-1.7920000017213056e-07,-0.1250001664,21.875001855999997,11.250002943999998
3.55e-08,0.24999979519999993,-0.18750016000000014,21.25000192,10.625003008
3.6000000000000005e-08,0.31249978879999984,-0.1250001664,22.500001792,9.375003135999997
3.65e-08,0.18749980160000002,-0.06250017280000009,25.000001536,8.125003264
3.7e-08,-0.06250017280000009,-0.1250001664,27.50000128,8.125003264
3.7500000000000005e-08,-0.18750016000000014,-0.1250001664,28.750001152,6.875003391999996
3.8e-08,-0.1250001664,-0.18750016000000014,30.000001024,5.000003583999998
