Time (s),VIN,IIN,VOUT,IOUT,"[""CRTL_A"", ""IN_A"", ""CRTL_B"", ""IN_B"", ""nEN"", ""GATE_1"", ""GATE_2""]"
0.0,24.808875018240002,1.64482500672,30.312495872,0.31250007040000005,8960
5e-10,24.88700002304,1.6479500069119999,27.187495679999998,0.31250007040000005,8960
1e-09,25.01200003072,1.651075007104,27.187495679999998,0.2500000768,8960
1.5000000000000002e-09,25.10575003648,1.651075007104,25.624995584000004,0.2500000768,8960
2e-09,25.10575003648,1.6479500069119999,24.062495487999996,0.21875008000000007,8960
2.5e-09,25.02762503168,1.64482500672,24.062495487999996,0.1875000832,8960
3.0000000000000004e-09,24.96512502784,1.6479500069119999,24.062495487999996,0.1875000832,8960
3.5000000000000003e-09,24.94950002688,1.6526375072,20.93749529600001,0.09375009280000002,8960
4e-09,24.99637502976,1.654200007296,19.3749952,0.09375009280000002,8960
4.500000000000001e-09,25.01200003072,1.654200007296,17.812495104000007,0.06250009600000006,8960
5e-09,24.99637502976,1.651075007104,19.3749952,0.03125009919999999,8960
5.5000000000000004e-09,24.96512502784,1.6479500069119999,14.687494912000005,1.02400000034919e-07,8960
6.000000000000001e-09,24.96512502784,1.651075007104,14.687494912000005,1.02400000034919e-07,8704
6.5e-09,24.99637502976,1.6479500069119999,11.562494720000004,-0.031249894399999922,8704
7.000000000000001e-09,25.01200003072,1.6479500069119999,11.562494720000004,-0.06249989119999988,8192
7.500000000000001e-09,25.02762503168,1.6479500069119999,9.99999462400001,-0.06249989119999988,8192
8e-09,25.01200003072,1.6479500069119999,8.437494528000002,-0.12499988480000002,8192
8.5e-09,25.01200003072,1.6479500069119999,6.874994432000008,-0.15624988159999997,8192
9.000000000000001e-09,24.99637502976,1.651075007104,6.874994432000008,-0.18749987839999993,8192
9.5e-09,25.01200003072,1.6526375072,5.312494336,-0.2187498751999999,8192
1e-08,25.01200003072,1.654200007296,3.7499942400000066,-0.24999987200000007,8192
1.0500000000000001e-08,24.99637502976,1.6526375072,2.1874941439999986,-0.24999987200000007,8192
1.1000000000000001e-08,24.99637502976,1.6526375072,3.7499942400000066,-0.2812498688,8192
1.15e-08,25.01200003072,1.655762507392,-0.937506048000003,-0.3124998656,8192
1.2000000000000002e-08,25.04325003264,1.655762507392,-0.937506048000003,-0.34374986239999994,8192
1.2500000000000001e-08,25.0588750336,1.655762507392,-4.0625062399999905,-0.34374986239999994,8192
1.3e-08,25.07450003456,1.654200007296,-2.5000061439999968,-0.40624985599999985,8192
1.35e-08,25.09012503552,1.6526375072,-7.187506431999992,-0.40624985599999985,8192
1.4000000000000001e-08,25.10575003648,1.655762507392,-7.187506431999992,-0.43749985280000003,8192
1.45e-08,25.1370000384,1.655762507392,-8.750006528,-0.43749985280000003,8192
1.5000000000000002e-08,25.12137503744,1.655762507392,-8.750006528,-0.49999984639999995,8192
1.55e-08,25.12137503744,1.657325007488,-10.312506623999994,-0.49999984639999995,8192
1.6e-08,25.07450003456,1.655762507392,-11.875006720000002,-0.49999984639999995,8192
1.6500000000000002e-08,25.0588750336,1.655762507392,-13.437506815999996,-0.5312498431999999,8192
1.7e-08,25.04325003264,1.657325007488,-13.437506815999996,-0.5624998399999999,8192
1.75e-08,25.10575003648,1.657325007488,-16.562507007999997,-0.5937498368,8192
1.8000000000000002e-08,25.12137503744,1.658887507584,-18.12500710399999,-0.5937498368,8192
1.85e-08,25.15262503936,1.658887507584,-16.562507007999997,-0.6562498304,8192
1.9e-08,25.16825004032,1.655762507392,-18.12500710399999,-0.6562498304,8192
