ROUT,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_DS_A_pp,V_DS_B_pp,V_DS_A_max,V_DS_B_max,MR_FREQ,V_MR_PP,V_RECT_PP,V_RECT_RMS
58.0,25.017289,1.59966283,40.01922732066787,45.80728,0.7897049,36.17284,56.0,59.0,56.0,59.0,13600000.0,123.0,100.0,39.55
58.5,25.016299,1.61226299,40.33285302447401,46.20084,0.7894809,36.47493,56.0,59.0,56.0,59.0,13500000.0,125.0,102.0,39.89
59.0,25.015345,1.62481529,40.64531504062505,46.5958,0.7894008,36.78486,56.0,59.0,56.0,59.0,13700000.0,125.0,105.0,40.16
59.5,25.014055,1.63757453,40.96237936001915,46.99363,0.7894887,37.10262,56.0,59.0,56.0,59.0,13600000.0,125.0,103.0,40.57
60.0,25.013023,1.6490202,41.246980190064605,47.35329,0.7891792,37.36269,56.0,59.0,56.0,59.0,13600000.0,125.0,105.0,40.88
60.5,25.011768,1.6615274,41.5577378544432,47.74414,0.7888306,37.6693,56.0,59.0,56.0,59.0,13500000.0,123.0,105.0,41.22
61.0,25.010934,1.67324325,41.8493764916955,48.12745,0.7888302,37.95222,56.0,59.0,56.0,59.0,13700000.0,125.0,105.0,41.47
61.5,25.00966,1.68540243,42.1513417374738,48.50702,0.7885063,38.24115,56.0,59.0,56.0,59.0,13600000.0,127.0,106.0,41.67
61.68502750680849,25.00949,1.69052498,42.2791675820602,48.65852,0.7883759,38.36514,56.0,59.0,56.0,59.0,13600000.0,125.0,105.0,41.86
62.0,25.009226,1.6979411,42.464192704588605,48.89448,0.7885647,38.55179,56.0,59.0,56.0,59.0,13700000.0,125.0,106.0,42.05
62.5,25.00854,1.71032496,42.7727301751584,49.28766,0.7883393,38.85275,56.0,59.0,56.0,59.0,13600000.0,125.0,108.0,42.44
63.0,25.007979,1.72067127,43.03051098606333,49.61624,0.7878042,39.09481,56.0,59.0,56.0,59.0,13600000.0,125.0,108.0,42.61
63.5,25.007139,1.73291459,43.335236027258006,50.006,0.7875842,39.38241,56.0,59.0,56.0,58.0,13600000.0,125.0,108.0,42.94
64.0,25.006061,1.74538686,43.64525028975846,50.40304,0.7872251,39.67559,56.0,59.0,56.0,59.0,13600000.0,127.0,109.0,43.25
64.5,25.004092,1.75690674,43.92985776238008,50.7933,0.7869219,39.9726,55.0,59.0,57.0,59.0,13600000.0,127.0,111.0,43.62
65.0,25.003273,1.76865815,44.222242568124955,51.15334,0.7865189,40.23357,56.0,59.0,56.0,59.0,13500000.0,125.0,111.0,43.82
65.5,25.002391,1.77939325,44.48908577926075,51.50616,0.7861255,40.49074,55.0,58.0,55.0,58.0,13600000.0,125.0,111.0,44.19
66.0,25.001649,1.7899967,44.7528692045583,51.8573,0.7854538,40.73984,57.0,59.0,57.0,59.0,13700000.0,125.0,111.0,44.45
66.5,25.000766,1.80048739,45.01356392334074,52.22003,0.7849374,40.99309,56.0,59.0,56.0,58.0,13600000.0,127.0,114.0,44.79
67.0,24.99988,1.81091538,45.2726671901544,52.57339,0.7843046,41.2415,56.0,59.0,56.0,59.0,13700000.0,127.0,113.0,44.86
67.5,24.998746,1.820738,45.516166794548,52.92227,0.7837016,41.48227,56.0,58.0,56.0,59.0,13600000.0,128.0,114.0,45.19
68.0,24.99824,1.83159563,45.7866671416912,53.28136,0.783174,41.72668,56.0,58.0,56.0,58.0,13600000.0,127.0,116.0,45.45
68.5,24.996591,1.84179943,46.038707055743124,53.62286,0.7824716,41.96907,56.0,59.0,56.0,59.0,13600000.0,127.0,117.0,45.7
69.0,24.994894,1.85143367,46.27638832968098,53.95549,0.7817829,42.18075,56.0,58.0,56.0,57.0,13600000.0,127.0,116.0,45.98
69.5,24.993356,1.86111094,46.51540827891464,54.29409,0.7811267,42.41161,56.0,59.0,56.0,58.0,13600000.0,128.0,116.0,46.23
70.0,24.991733,1.87133237,46.76783894529721,54.64811,0.7805232,42.64784,57.0,58.0,56.0,58.0,13600000.0,128.0,117.0,46.62
70.5,24.990937,1.88155052,47.02171050763724,54.99401,0.7799571,42.89309,55.0,57.0,56.0,57.0,13600000.0,127.0,119.0,46.75
71.0,24.98956,1.89064725,47.24644289271,55.3085,0.7790792,43.09346,56.0,58.0,56.0,57.0,13600000.0,128.0,119.0,46.98
71.5,24.988224,1.9008494,47.4988505974656,55.65845,0.7782657,43.31202,56.0,57.0,56.0,57.0,13700000.0,127.0,119.0,47.31
72.0,24.988247,1.91083263,47.74835773409961,56.00201,0.7774017,43.53741,55.0,57.0,55.0,57.0,13500000.0,127.0,119.0,47.5
72.5,24.988252,1.92045773,47.98888171258796,56.33332,0.7768391,43.75962,56.0,58.0,56.0,57.0,13500000.0,127.0,119.0,47.66
73.0,24.98892,1.92828061,48.1856499008412,56.60446,0.775315,43.8839,57.0,56.0,56.0,57.0,13600000.0,128.0,120.0,47.96
73.5,24.989285,1.93520943,48.35949998095755,56.84958,0.7732088,43.95647,57.0,57.0,56.0,57.0,13600000.0,127.0,119.0,48.11
74.0,24.98937,1.94210803,48.5320561416411,57.08347,0.7712985,44.03076,56.0,56.0,56.0,56.0,13500000.0,127.0,122.0,48.43
74.5,24.989565,1.94942964,48.7153987017066,57.34057,0.7691966,44.10416,56.0,57.0,56.0,57.0,13500000.0,128.0,120.0,48.34
