Time (s),V_PRI,V_SEC,V_IN,V_OUT
0.0,-5.499907840000105,-249.62498176000003,25.03825001024,42.12837500416
5e-10,-5.499907840000105,-249.62498176000003,25.03200001088,42.1377500032
1e-09,-5.499907840000105,-265.24998272,25.03825001024,42.14400000256
1.5000000000000002e-09,-5.499907840000105,-233.9999808,25.03825001024,42.147125002239996
2e-09,-21.124908799999957,-265.24998272,25.0445000096,42.15025000192
2.5e-09,10.125093119999974,-265.24998272,25.03200001088,42.140875002879994
3.0000000000000004e-09,-5.499907840000105,-265.24998272,25.019500012159998,42.1377500032
3.5000000000000003e-09,10.125093119999974,-265.24998272,25.0132500128,42.131500003839996
4e-09,10.125093119999974,-265.24998272,25.0132500128,42.125250004479994
4.500000000000001e-09,-5.499907840000105,-265.24998272,25.00700001344,42.115875005439996
5e-09,-5.499907840000105,-249.62498176000003,25.000750014079998,42.100250007039996
5.5000000000000004e-09,10.125093119999974,-265.24998272,24.97575001664,42.094000007679995
6.000000000000001e-09,10.125093119999974,-265.24998272,24.969500017279998,42.090875008
6.5e-09,10.125093119999974,-280.87498368,24.969500017279998,42.10337500672
7.000000000000001e-09,25.750094080000054,-265.24998272,24.96325001792,42.109625006079995
7.500000000000001e-09,41.375095039999906,-249.62498176000003,24.96325001792,42.11900000512
8e-09,25.750094080000054,-249.62498176000003,24.93200002112,42.131500003839996
8.5e-09,25.750094080000054,-249.62498176000003,24.92575002176,42.14400000256
9.000000000000001e-09,25.750094080000054,-265.24998272,24.919500022399998,42.15962500096
9.5e-09,41.375095039999906,-233.9999808,24.91325002304,42.172124999679994
1e-08,41.375095039999906,-249.62498176000003,24.91325002304,42.1846249984
1.0500000000000001e-08,57.000095999999985,-265.24998272,24.91325002304,42.18149999872
1.1000000000000001e-08,41.375095039999906,-265.24998272,24.90700002368,42.18149999872
1.15e-08,57.000095999999985,-249.62498176000003,24.90700002368,42.18149999872
1.2000000000000002e-08,72.62509695999984,-249.62498176000003,24.91325002304,42.178374999039995
1.2500000000000001e-08,57.000095999999985,-233.9999808,24.93200002112,42.17524999936
1.3e-08,41.375095039999906,-233.9999808,24.9507500192,42.16587500032
1.35e-08,88.25009791999992,-218.37497984000004,24.9507500192,42.169
1.4000000000000001e-08,57.000095999999985,-233.9999808,24.95700001856,42.16587500032
1.45e-08,57.000095999999985,-233.9999808,24.969500017279998,42.1846249984
1.5000000000000002e-08,72.62509695999984,-202.74997888000001,24.982000016,42.19087499776
1.55e-08,88.25009791999992,-202.74997888000001,25.00700001344,42.19087499776
1.6e-08,72.62509695999984,-218.37497984000004,24.99450001472,42.19087499776
1.6500000000000002e-08,72.62509695999984,-187.12497792,24.982000016,42.17524999936
1.7e-08,72.62509695999984,-202.74997888000001,24.98825001536,42.172124999679994
1.75e-08,88.25009791999992,-171.49997696000003,24.98825001536,42.15962500096
1.8000000000000002e-08,88.25009791999992,-202.74997888000001,25.000750014079998,42.162750000639996
1.85e-08,103.87509888,-202.74997888000001,25.00700001344,42.15025000192
1.9e-08,103.87509888,-202.74997888000001,25.0132500128,42.15025000192
1.9500000000000003e-08,103.87509888,-171.49997696000003,25.0132500128,42.14400000256
2e-08,103.87509888,-155.874976,25.0132500128,42.1377500032
2.05e-08,103.87509888,-155.874976,25.019500012159998,42.13462500352
2.1000000000000003e-08,103.87509888,-155.874976,25.02575001152,42.131500003839996
2.15e-08,103.87509888,-155.874976,25.019500012159998,42.125250004479994
2.2000000000000002e-08,103.87509888,-155.874976,25.0132500128,42.11900000512
2.2500000000000003e-08,103.87509888,-155.874976,25.0132500128,42.125250004479994
2.3e-08,119.50009983999985,-155.874976,25.00700001344,42.125250004479994
2.3500000000000002e-08,135.12510079999993,-140.24997504000004,25.019500012159998,42.125250004479994
2.4000000000000003e-08,119.50009983999985,-140.24997504000004,25.0132500128,42.11900000512
2.45e-08,135.12510079999993,-124.62497408000002,25.0132500128,42.1065000064
2.5000000000000002e-08,103.87509888,-155.874976,25.03200001088,42.094000007679995
2.55e-08,119.50009983999985,-108.99997311999999,25.03825001024,42.08775000832
2.6e-08,135.12510079999993,-140.24997504000004,25.06950000704,42.084625008639996
2.6500000000000002e-08,166.37510271999986,-155.874976,25.08825000512,42.078375009279995
2.7e-08,135.12510079999993,-140.24997504000004,25.09450000448,42.078375009279995
2.75e-08,150.75010176,-140.24997504000004,25.08825000512,42.08150000896
2.8000000000000003e-08,135.12510079999993,-124.62497408000002,25.0757500064,42.08775000832
2.85e-08,150.75010176,-124.62497408000002,25.06325000768,42.100250007039996
2.9e-08,135.12510079999993,-124.62497408000002,25.06325000768,42.11275000576
2.9500000000000003e-08,150.75010176,-124.62497408000002,25.03825001024,42.131500003839996
3.0000000000000004e-08,150.75010176,-124.62497408000002,25.02575001152,42.147125002239996
3.05e-08,150.75010176,-124.62497408000002,25.00700001344,42.162750000639996
3.1e-08,150.75010176,-93.37497216000003,24.99450001472,42.17524999936
3.1500000000000004e-08,182.00010367999994,-108.99997311999999,25.000750014079998,42.1846249984
3.2e-08,166.37510271999986,-108.99997311999999,25.000750014079998,42.19087499776
3.25e-08,182.00010367999994,-93.37497216000003,25.00700001344,42.18149999872
3.3000000000000004e-08,150.75010176,-108.99997311999999,25.0132500128,42.169
3.35e-08,166.37510271999986,-77.7499712,24.99450001472,42.162750000639996
3.4e-08,166.37510271999986,-93.37497216000003,24.99450001472,42.15962500096
3.4500000000000005e-08,197.62510464000002,-108.99997311999999,24.97575001664,42.1533750016
3.5e-08,182.00010367999994,-93.37497216000003,24.982000016,42.15025000192
3.55e-08,182.00010367999994,-77.7499712,24.969500017279998,42.1377500032
3.6000000000000005e-08,197.62510464000002,-77.7499712,24.96325001792,42.12837500416
3.65e-08,182.00010367999994,-77.7499712,24.95700001856,42.11900000512
3.7e-08,182.00010367999994,-62.12497024000004,24.96325001792,42.109625006079995
3.7500000000000005e-08,213.25010559999987,-46.499969280000016,24.969500017279998,42.1065000064
3.8e-08,197.62510464000002,-62.12497024000004,24.98825001536,42.1065000064
3.85e-08,197.62510464000002,-62.12497024000004,24.99450001472,42.11275000576
3.9000000000000005e-08,213.25010559999987,-30.874968319999994,25.000750014079998,42.115875005439996
3.95e-08,213.25010559999987,-30.874968319999994,25.0132500128,42.11900000512
4e-08,197.62510464000002,-30.874968319999994,25.0132500128,42.125250004479994
4.0500000000000005e-08,213.25010559999987,-15.249967360000028,25.03200001088,42.12837500416
4.1e-08,182.00010367999994,-30.874968319999994,25.050750008959998,42.1221250048
