Time (s),VGS_A,VGS_B,VDS_A
0.0,4.9374993152,-1.7920000017213056e-07,-1.2499957760000058
5e-10,4.9374993152,-0.06250017280000009,-1.2499957760000058
1e-09,4.9374993152,-0.06250017280000009,-1.2499957760000058
1.5000000000000002e-09,4.9374993152,-0.1250001664,-1.2499957760000058
2e-09,4.9999993088,-0.1250001664,-1.2499957760000058
2.5e-09,4.9999993088,-0.06250017280000009,-1.8749957120000005
3.0000000000000004e-09,4.9999993088,-0.06250017280000009,-1.8749957120000005
3.5000000000000003e-09,4.8749993216,-0.1250001664,-2.4999956480000023
4e-09,4.8749993216,-0.1250001664,-1.2499957760000058
4.500000000000001e-09,4.9374993152,-0.06250017280000009,-1.8749957120000005
5e-09,4.9999993088,-0.06250017280000009,-1.2499957760000058
5.5000000000000004e-09,4.9999993088,-1.7920000017213056e-07,-1.8749957120000005
6.000000000000001e-09,4.8749993216,-1.7920000017213056e-07,-2.4999956480000023
6.5e-09,4.9374993152,-0.1250001664,-2.4999956480000023
7.000000000000001e-09,4.8749993216,-0.1250001664,-2.4999956480000023
7.500000000000001e-09,4.9374993152,-0.06250017280000009,-1.8749957120000005
8e-09,4.9374993152,-0.06250017280000009,-1.2499957760000058
8.5e-09,4.9374993152,-0.06250017280000009,-1.2499957760000058
9.000000000000001e-09,4.8749993216,-0.06250017280000009,-1.2499957760000058
9.5e-09,4.8749993216,-0.1250001664,-1.2499957760000058
1e-08,4.8749993216,-0.18750016000000014,-1.2499957760000058
1.0500000000000001e-08,4.8749993216,-0.18750016000000014,-2.4999956480000023
1.1000000000000001e-08,4.9374993152,-0.1250001664,-2.4999956480000023
1.15e-08,4.9374993152,-0.06250017280000009,-2.4999956480000023
1.2000000000000002e-08,4.9374993152,-0.1250001664,-1.2499957760000058
1.2500000000000001e-08,4.8124993279999995,-0.1250001664,-1.8749957120000005
1.3e-08,3.9999994112,-0.1250001664,-1.8749957120000005
1.35e-08,3.1249995007999996,-0.1250001664,-1.8749957120000005
1.4000000000000001e-08,2.6249995520000002,-0.06250017280000009,-1.8749957120000005
1.45e-08,2.7499995392,-0.06250017280000009,-1.8749957120000005
1.5000000000000002e-08,2.6249995520000002,-0.1250001664,-2.4999956480000023
1.55e-08,1.9999996159999998,-0.1250001664,-2.4999956480000023
1.6e-08,1.3124996863999998,-0.06250017280000009,-1.8749957120000005
1.6500000000000002e-08,0.5624997632,-0.06250017280000009,-1.8749957120000005
1.7e-08,-0.1250001664,-0.06250017280000009,-2.4999956480000023
1.75e-08,-0.8750000896000001,-0.1250001664,-1.8749957120000005
1.8000000000000002e-08,-1.3125000448000002,-0.1250001664,-1.2499957760000058
1.85e-08,-1.6875000064,-0.18750016000000014,-1.8749957120000005
1.9e-08,-1.75,-0.1250001664,-1.8749957120000005
1.9500000000000003e-08,-1.8124999936,-0.06250017280000009,-2.4999956480000023
2e-08,-1.8124999936,-1.7920000017213056e-07,-1.8749957120000005
2.05e-08,-1.6875000064,-0.06250017280000009,-2.4999956480000023
2.1000000000000003e-08,-1.437500032,-0.1250001664,-1.8749957120000005
2.15e-08,-0.8750000896000001,-0.1250001664,-2.4999956480000023
2.2000000000000002e-08,-0.3750001408000001,-0.06250017280000009,-2.4999956480000023
2.2500000000000003e-08,0.18749980160000002,-0.18750016000000014,-1.8749957120000005
2.3e-08,0.49999976960000003,-0.18750016000000014,-3.124995584000004
2.3500000000000002e-08,0.6249997567999999,-0.06250017280000009,-2.4999956480000023
2.4000000000000003e-08,0.5624997632,-0.1250001664,-0.624995840000004
2.45e-08,0.6249997567999999,-0.1250001664,0.6250040319999997
2.5000000000000002e-08,0.7499997440000001,-0.1250001664,1.8750039039999962
2.55e-08,0.7499997440000001,-0.1250001664,2.500003839999998
2.6e-08,0.8124997376,-0.06250017280000009,4.375003647999996
2.6500000000000002e-08,0.6249997567999999,-0.06250017280000009,6.875003391999996
2.7e-08,0.24999979519999993,-0.1250001664,9.375003135999997
2.75e-08,0.062499814399999964,-0.1250001664,10.000003071999998
2.8000000000000003e-08,0.062499814399999964,-0.1250001664,10.625003008
2.85e-08,0.062499814399999964,-0.06250017280000009,8.750003199999998
2.9e-08,-0.06250017280000009,-0.1250001664,9.375003135999997
2.9500000000000003e-08,-0.1250001664,-0.06250017280000009,13.125002752
3.0000000000000004e-08,-0.5000001279999999,-0.06250017280000009,18.12500224
3.05e-08,-0.6250001152,-0.1250001664,21.875001855999997
3.1e-08,-0.5000001279999999,-0.1250001664,21.875001855999997
3.1500000000000004e-08,-0.25000015360000005,-0.1250001664,19.375002111999997
3.2e-08,-0.1250001664,-0.18750016000000014,17.500002304
3.25e-08,-0.18750016000000014,-0.1250001664,18.12500224
3.3000000000000004e-08,-0.31250014719999997,-0.1250001664,21.25000192
3.35e-08,-0.31250014719999997,-0.1250001664,28.125001216
3.4e-08,-0.06250017280000009,-0.1250001664,32.500000768
3.4500000000000005e-08,0.18749980160000002,-0.1250001664,31.250000896
3.5e-08,0.31249978879999984,-0.1250001664,26.875001343999998
3.55e-08,0.12499980799999988,-0.18750016000000014,23.750001664
3.6000000000000005e-08,-1.7920000017213056e-07,-0.25000015360000005,26.250001408
3.65e-08,-0.06250017280000009,-0.1250001664,31.250000896
3.7e-08,0.12499980799999988,-0.25000015360000005,36.250000384
3.7500000000000005e-08,0.18749980160000002,-0.25000015360000005,36.87500032
3.8e-08,0.12499980799999988,-0.25000015360000005,34.375000576
3.85e-08,-0.1250001664,-0.25000015360000005,31.875000831999998
3.9000000000000005e-08,-0.25000015360000005,-0.25000015360000005,32.500000768
3.95e-08,-0.18750016000000014,-0.25000015360000005,36.250000384
4e-08,-1.7920000017213056e-07,-0.18750016000000014,40.0
4.0500000000000005e-08,0.12499980799999988,-0.25000015360000005,38.750000127999996
4.1e-08,0.062499814399999964,-0.25000015360000005,35.625000448
4.15e-08,-0.18750016000000014,-0.25000015360000005,35.000000512
4.2000000000000006e-08,-0.3750001408000001,-0.18750016000000014,38.125000192
4.2500000000000003e-08,-0.3750001408000001,-0.25000015360000005,41.249999872000004
4.3e-08,-0.1250001664,-0.1250001664,43.12499968
4.3500000000000006e-08,0.062499814399999964,-0.18750016000000014,40.624999936
4.4000000000000004e-08,-1.7920000017213056e-07,-0.1250001664,37.500000256
4.45e-08,-0.1250001664,-0.06250017280000009,36.250000384
4.5000000000000006e-08,-0.18750016000000014,-1.7920000017213056e-07,39.375000064
4.5500000000000004e-08,-0.06250017280000009,0.062499814399999964,42.499999744
4.6e-08,-1.7920000017213056e-07,0.12499980799999988,44.374999552
4.6500000000000006e-08,0.062499814399999964,0.12499980799999988,43.749999616
4.7000000000000004e-08,-0.06250017280000009,0.12499980799999988,40.624999936
4.75e-08,-0.06250017280000009,0.062499814399999964,38.750000127999996
4.8000000000000006e-08,-0.06250017280000009,-1.7920000017213056e-07,41.874999808
4.8500000000000004e-08,-0.06250017280000009,-1.7920000017213056e-07,43.12499968
4.9e-08,-1.7920000017213056e-07,-1.7920000017213056e-07,42.499999744
4.95e-08,-1.7920000017213056e-07,0.24999979519999993,41.874999808
5.0000000000000004e-08,-0.06250017280000009,0.5624997632,40.624999936
5.05e-08,-0.1250001664,0.9374997247999999,40.0
5.1e-08,-0.1250001664,1.4999996672,42.499999744
5.1500000000000005e-08,-0.06250017280000009,1.9999996159999998,43.749999616
5.2e-08,-0.1250001664,2.6249995520000002,42.499999744
5.25e-08,-0.06250017280000009,3.2499994880000003,39.375000064
5.3000000000000005e-08,-0.06250017280000009,3.6874994432,38.125000192
5.35e-08,-0.06250017280000009,3.9999994112,38.750000127999996
5.4e-08,-0.1250001664,4.2499993856,41.249999872000004
5.4500000000000005e-08,-0.06250017280000009,4.3749993728,42.499999744
5.5e-08,-0.06250017280000009,4.6249993472,43.12499968
5.55e-08,-1.7920000017213056e-07,4.9374993152,40.0
5.6000000000000005e-08,-0.06250017280000009,5.0624993024,39.375000064
5.65e-08,-0.06250017280000009,5.1874992896,38.750000127999996
5.7e-08,-0.1250001664,5.249999283199999,39.375000064
5.7500000000000005e-08,-1.7920000017213056e-07,5.4374992639999995,40.0
5.8e-08,-1.7920000017213056e-07,5.6249992448,40.0
5.85e-08,-0.06250017280000009,5.6249992448,39.375000064
5.9000000000000006e-08,-0.1250001664,5.6249992448,39.375000064
5.9500000000000003e-08,-0.1250001664,5.6249992448,38.750000127999996
6.000000000000001e-08,-0.1250001664,5.562499251199999,39.375000064
6.05e-08,-1.7920000017213056e-07,5.562499251199999,39.375000064
6.1e-08,-0.06250017280000009,5.4999992576,38.125000192
6.15e-08,-1.7920000017213056e-07,5.4374992639999995,37.500000256
6.2e-08,-0.1250001664,5.3124992768,37.500000256
6.250000000000001e-08,-0.18750016000000014,5.1874992896,38.750000127999996
