Time (s),VGS_A,VGS_B,VDS_A,VDS_B,"[""CRTL_A"", ""IN_A"", ""CRTL_B"", ""IN_B"", ""nEN"", ""GATE_1"", ""GATE_2""]"
0.0,4.890625407999999,-0.18749990400000005,-1.8749957120000005,35.000000512,8960
5e-10,4.890625407999999,-0.1093748992000001,-1.8749957120000005,35.625000448,8960
1e-09,4.8125004032,-0.031249894400000144,-0.624995840000004,35.000000512,8960
1.5000000000000002e-09,4.890625407999999,-0.031249894400000144,-1.8749957120000005,35.000000512,8960
2e-09,5.0468754176,-0.031249894400000144,-1.8749957120000005,36.250000384,8960
2.5e-09,4.890625407999999,-0.1093748992000001,-1.8749957120000005,36.87500032,8704
3.0000000000000004e-09,5.0468754176,-0.1093748992000001,-1.8749957120000005,37.500000256,8704
3.5000000000000003e-09,4.9687504127999995,-0.18749990400000005,-1.8749957120000005,37.500000256,8192
4e-09,5.0468754176,-0.1093748992000001,-1.8749957120000005,37.500000256,8192
4.500000000000001e-09,4.890625407999999,0.04687511039999981,-1.8749957120000005,37.500000256,8192
5e-09,4.890625407999999,0.04687511039999981,-1.2499957760000058,38.125000192,8192
5.5000000000000004e-09,4.890625407999999,-0.031249894400000144,-1.2499957760000058,38.125000192,8192
6.000000000000001e-09,4.8125004032,-0.18749990400000005,-1.8749957120000005,38.125000192,8192
6.5e-09,4.8125004032,-0.1093748992000001,-1.8749957120000005,39.375000064,8192
7.000000000000001e-09,4.8125004032,0.04687511039999981,-1.2499957760000058,38.750000127999996,8192
7.500000000000001e-09,4.890625407999999,-0.031249894400000144,-2.4999956480000023,39.375000064,8192
8e-09,4.8125004032,-0.1093748992000001,-2.4999956480000023,39.375000064,8192
8.5e-09,4.8125004032,-0.1093748992000001,-2.4999956480000023,40.0,8192
9.000000000000001e-09,4.890625407999999,-0.1093748992000001,-1.2499957760000058,39.375000064,8192
9.5e-09,4.890625407999999,-0.031249894400000144,-3.124995584000004,40.0,8192
1e-08,4.890625407999999,-0.1093748992000001,-2.4999956480000023,40.624999936,8192
1.0500000000000001e-08,4.8125004032,-0.1093748992000001,-2.4999956480000023,40.0,8192
1.1000000000000001e-08,4.8125004032,-0.18749990400000005,-2.4999956480000023,40.624999936,8192
1.15e-08,4.8125004032,-0.18749990400000005,-2.4999956480000023,40.624999936,8192
1.2000000000000002e-08,4.890625407999999,-0.1093748992000001,-1.8749957120000005,40.624999936,8192
1.2500000000000001e-08,4.8125004032,0.04687511039999981,-1.8749957120000005,40.624999936,8192
1.3e-08,4.8125004032,0.04687511039999981,-1.8749957120000005,40.0,8192
1.35e-08,4.8125004032,-0.031249894400000144,-1.8749957120000005,40.0,8192
1.4000000000000001e-08,4.890625407999999,-0.18749990400000005,-2.4999956480000023,40.0,8192
1.45e-08,4.890625407999999,-0.1093748992000001,-1.8749957120000005,40.624999936,8192
1.5000000000000002e-08,4.8125004032,-0.1093748992000001,-1.2499957760000058,39.375000064,8192
1.55e-08,4.9687504127999995,-0.031249894400000144,-2.4999956480000023,39.375000064,8192
1.6e-08,4.890625407999999,-0.1093748992000001,-2.4999956480000023,39.375000064,8192
1.6500000000000002e-08,4.9687504127999995,-0.1093748992000001,-2.4999956480000023,39.375000064,8192
1.7e-08,4.890625407999999,-0.1093748992000001,-0.624995840000004,38.750000127999996,8192
1.75e-08,4.8125004032,-0.1093748992000001,-2.4999956480000023,38.125000192,8192
1.8000000000000002e-08,4.890625407999999,-0.1093748992000001,-3.124995584000004,37.500000256,8192
1.85e-08,4.8125004032,-0.1093748992000001,-2.4999956480000023,36.87500032,8192
1.9e-08,4.8125004032,0.04687511039999981,-1.8749957120000005,37.500000256,8192
1.9500000000000003e-08,4.8125004032,-0.18749990400000005,-1.8749957120000005,38.125000192,8192
2e-08,4.6562503936,-0.2656249088,-2.4999956480000023,36.87500032,8192
2.05e-08,4.1875003648,-0.18749990400000005,-2.4999956480000023,36.250000384,8192
2.1000000000000003e-08,3.7187503359999994,-0.1093748992000001,-1.8749957120000005,35.000000512,8192
2.15e-08,3.2500003071999997,-0.1093748992000001,-1.2499957760000058,34.375000576,8192
2.2000000000000002e-08,2.8593752831999995,-0.1093748992000001,-1.8749957120000005,34.375000576,8192
2.2500000000000003e-08,2.5468752639999996,-0.1093748992000001,-1.8749957120000005,34.375000576,8192
2.3e-08,1.9218752255999996,-0.1093748992000001,-1.8749957120000005,32.500000768,8192
2.3500000000000002e-08,0.9062501631999997,-0.1093748992000001,-1.8749957120000005,31.875000831999998,8192
2.4000000000000003e-08,-0.18749990400000005,-0.1093748992000001,-0.624995840000004,30.62500096,8192
2.45e-08,-1.2031249663999999,-0.1093748992000001,4.0959999978440464e-06,30.000001024,0
2.5000000000000002e-08,-1.8281250048,-0.1093748992000001,2.500003839999998,28.125001216,0
2.55e-08,-2.140625024,-0.18749990400000005,3.7500037119999945,28.125001216,0
2.6e-08,-2.2968750336,-0.18749990400000005,6.875003391999996,27.50000128,0
2.6500000000000002e-08,-2.4531250432,-0.1093748992000001,8.750003199999998,26.875001343999998,0
2.7e-08,-2.2968750336,-0.1093748992000001,10.000003071999998,25.625001472,1024
2.75e-08,-2.0625000192,-0.18749990400000005,9.375003135999997,25.625001472,1024
2.8000000000000003e-08,-1.75,-0.1093748992000001,8.750003199999998,24.375001599999997,1024
2.85e-08,-1.359374976,-0.1093748992000001,8.750003199999998,23.125001728,1024
2.9e-08,-0.7343749376000002,-0.18749990400000005,13.125002752,22.500001792,3072
2.9500000000000003e-08,-0.1093748992000001,-0.18749990400000005,16.875002367999997,21.25000192,3072
3.0000000000000004e-08,0.4375001344,-0.18749990400000005,19.375002111999997,20.000002048,3072
3.05e-08,0.5937501439999999,-0.1093748992000001,21.25000192,19.375002111999997,3072
3.1e-08,0.5937501439999999,-0.1093748992000001,20.000002048,18.12500224,3072
3.1500000000000004e-08,0.5937501439999999,-0.1093748992000001,17.500002304,16.875002367999997,3072
3.2e-08,0.5937501439999999,-0.1093748992000001,16.875002367999997,16.250002432,3072
3.25e-08,0.7500001535999998,-0.18749990400000005,19.375002111999997,15.000002559999999,3072
3.3000000000000004e-08,0.7500001535999998,-0.18749990400000005,26.250001408,14.375002623999997,3072
3.35e-08,0.6718751487999999,-0.1093748992000001,30.000001024,13.750002687999999,3072
