Time (s),VGS_A,VGS_B,VDS_A,VDS_B
0.0,4.8124993279999995,-0.1250001664,-1.8749957120000005,45.624999424
5e-10,4.7499993344,-0.18750016000000014,-1.8749957120000005,45.624999424
1e-09,4.7499993344,-0.1250001664,-1.8749957120000005,44.374999552
1.5000000000000002e-09,4.8749993216,-1.7920000017213056e-07,-1.2499957760000058,45.624999424
2e-09,4.8749993216,0.062499814399999964,-1.2499957760000058,46.249999360000004
2.5e-09,4.8749993216,-1.7920000017213056e-07,-1.8749957120000005,46.249999360000004
3.0000000000000004e-09,4.7499993344,-0.18750016000000014,-1.8749957120000005,44.999999488
3.5000000000000003e-09,4.9374993152,-0.1250001664,-1.2499957760000058,45.624999424
4e-09,4.8749993216,-0.1250001664,4.0959999978440464e-06,46.249999360000004
4.500000000000001e-09,4.9374993152,-1.7920000017213056e-07,-1.2499957760000058,46.874999296
5e-09,4.9999993088,-1.7920000017213056e-07,-1.8749957120000005,47.499999232
5.5000000000000004e-09,4.8749993216,-0.1250001664,-1.2499957760000058,47.499999232
6.000000000000001e-09,4.8124993279999995,-0.1250001664,-1.8749957120000005,46.874999296
6.5e-09,4.7499993344,-0.06250017280000009,-1.8749957120000005,46.874999296
7.000000000000001e-09,4.7499993344,-0.06250017280000009,-1.8749957120000005,48.124999168
7.500000000000001e-09,4.8124993279999995,-0.06250017280000009,-1.8749957120000005,48.749999104
8e-09,4.8124993279999995,-0.06250017280000009,-1.2499957760000058,48.749999104
8.5e-09,4.8124993279999995,-0.18750016000000014,-1.2499957760000058,49.37499904
9.000000000000001e-09,4.8749993216,-0.18750016000000014,-2.4999956480000023,48.749999104
9.5e-09,4.9374993152,-0.06250017280000009,-1.8749957120000005,49.999998976
1e-08,4.9374993152,-1.7920000017213056e-07,-1.2499957760000058,49.999998976
1.0500000000000001e-08,4.9999993088,-0.1250001664,-2.4999956480000023,49.37499904
1.1000000000000001e-08,4.8749993216,-0.18750016000000014,-1.8749957120000005,49.37499904
1.15e-08,4.9374993152,-0.1250001664,-2.4999956480000023,49.37499904
1.2000000000000002e-08,4.8749993216,-1.7920000017213056e-07,-1.2499957760000058,49.37499904
1.2500000000000001e-08,4.8124993279999995,0.062499814399999964,-1.8749957120000005,50.624998912
1.3e-08,4.2499993856,0.062499814399999964,-1.8749957120000005,51.249998848000004
1.35e-08,3.2499994880000003,-0.1250001664,-2.4999956480000023,51.249998848000004
1.4000000000000001e-08,2.6874995455999997,-0.18750016000000014,-1.8749957120000005,50.624998912
1.45e-08,2.4999995647999995,-0.06250017280000009,-1.8749957120000005,50.624998912
1.5000000000000002e-08,2.6249995520000002,-1.7920000017213056e-07,-1.2499957760000058,49.999998976
1.55e-08,2.2499995904,-1.7920000017213056e-07,-1.8749957120000005,49.999998976
1.6e-08,1.5624996608,-0.06250017280000009,-1.2499957760000058,50.624998912
1.6500000000000002e-08,0.8124997376,-0.06250017280000009,-1.8749957120000005,50.624998912
1.7e-08,0.062499814399999964,-0.06250017280000009,-1.2499957760000058,49.999998976
1.75e-08,-0.6875001088000001,-0.06250017280000009,-1.2499957760000058,49.999998976
1.8000000000000002e-08,-1.1875000575999999,-1.7920000017213056e-07,-1.2499957760000058,49.37499904
1.85e-08,-1.6250000128,-0.06250017280000009,-1.8749957120000005,48.124999168
1.9e-08,-1.8124999936,-0.18750016000000014,-2.4999956480000023,48.124999168
1.9500000000000003e-08,-1.8749999872,-0.1250001664,-3.124995584000004,48.124999168
2e-08,-1.9999999744,-0.1250001664,-1.8749957120000005,47.499999232
2.05e-08,-1.75,-1.7920000017213056e-07,-2.4999956480000023,46.874999296
2.1000000000000003e-08,-1.5000000256,-1.7920000017213056e-07,-1.8749957120000005,46.874999296
2.15e-08,-1.0625000704,-0.06250017280000009,-1.8749957120000005,46.249999360000004
2.2000000000000002e-08,-0.5000001279999999,-0.06250017280000009,-2.4999956480000023,44.999999488
2.2500000000000003e-08,-1.7920000017213056e-07,-0.06250017280000009,-2.4999956480000023,43.749999616
2.3e-08,0.24999979519999993,-0.06250017280000009,-2.4999956480000023,43.749999616
2.3500000000000002e-08,0.37499978239999976,-0.1250001664,-2.4999956480000023,43.749999616
2.4000000000000003e-08,0.4374997760000001,-0.06250017280000009,-0.624995840000004,42.499999744
2.45e-08,0.49999976960000003,-0.1250001664,0.6250040319999997,41.249999872000004
2.5000000000000002e-08,0.7499997440000001,-0.1250001664,1.2500039680000015,39.375000064
2.55e-08,0.8749997312,-0.06250017280000009,3.7500037119999945,38.750000127999996
2.6e-08,0.9374997247999999,-0.06250017280000009,5.62500352,38.750000127999996
2.6500000000000002e-08,0.6874997503999998,-1.7920000017213056e-07,7.500003327999998,36.87500032
2.7e-08,0.18749980160000002,-0.1250001664,9.375003135999997,36.250000384
2.75e-08,-0.18750016000000014,-0.1250001664,10.000003071999998,35.000000512
2.8000000000000003e-08,-0.06250017280000009,-0.1250001664,9.375003135999997,33.125000704
2.85e-08,0.12499980799999988,-0.06250017280000009,8.750003199999998,31.875000831999998
2.9e-08,0.24999979519999993,-0.06250017280000009,10.625003008,30.62500096
2.9500000000000003e-08,-0.06250017280000009,-0.06250017280000009,13.750002687999999,30.000001024
3.0000000000000004e-08,-0.5000001279999999,-0.18750016000000014,18.750002176,28.125001216
3.05e-08,-0.8750000896000001,-0.1250001664,21.25000192,26.875001343999998
3.1e-08,-0.6875001088000001,-0.1250001664,21.875001855999997,25.625001472
3.1500000000000004e-08,-0.25000015360000005,-0.06250017280000009,19.375002111999997,23.750001664
3.2e-08,0.12499980799999988,-0.06250017280000009,19.375002111999997,21.875001855999997
3.25e-08,-1.7920000017213056e-07,-0.1250001664,21.25000192,21.25000192
3.3000000000000004e-08,-0.3750001408000001,-0.18750016000000014,25.625001472,20.000002048
3.35e-08,-0.5000001279999999,-0.18750016000000014,30.000001024,18.12500224
3.4e-08,-0.31250014719999997,-0.1250001664,31.875000831999998,16.875002367999997
3.4500000000000005e-08,0.12499980799999988,-0.1250001664,30.000001024,14.375002623999997
3.5e-08,0.31249978879999984,-0.18750016000000014,27.50000128,11.875002879999997
3.55e-08,0.12499980799999988,-0.1250001664,27.50000128,11.250002943999998
3.6000000000000005e-08,-0.18750016000000014,-0.1250001664,32.500000768,10.000003071999998
3.65e-08,-0.25000015360000005,-0.1250001664,36.87500032,10.000003071999998
3.7e-08,-1.7920000017213056e-07,-0.1250001664,40.0,8.125003264
3.7500000000000005e-08,0.31249978879999984,-0.25000015360000005,37.500000256,6.250003456000002
3.8e-08,0.24999979519999993,-0.25000015360000005,36.250000384,3.7500037119999945
3.85e-08,-0.18750016000000014,-0.25000015360000005,36.87500032,3.125003776
3.9000000000000005e-08,-0.4375001344,-0.18750016000000014,39.375000064,2.500003839999998
3.95e-08,-0.25000015360000005,-0.18750016000000014,42.499999744,2.500003839999998
4e-08,0.18749980160000002,-0.25000015360000005,44.374999552,0.6250040319999997
4.0500000000000005e-08,0.31249978879999984,-0.3750001408000001,42.499999744,-0.624995840000004
4.1e-08,0.062499814399999964,-0.3750001408000001,41.874999808,-2.4999956480000023
4.15e-08,-0.4375001344,-0.3750001408000001,42.499999744,-3.749995519999999
4.2000000000000006e-08,-0.5000001279999999,-0.4375001344,46.874999296,-3.749995519999999
4.2500000000000003e-08,-0.31250014719999997,-0.5000001279999999,48.124999168,-4.374995456000001
4.3e-08,0.12499980799999988,-0.5625001216000001,48.124999168,-4.999995392000002
4.3500000000000006e-08,0.24999979519999993,-0.5000001279999999,45.624999424,-5.624995328000004
4.4000000000000004e-08,-0.06250017280000009,-0.31250014719999997,45.624999424,-5.624995328000004
4.45e-08,-0.5000001279999999,-0.06250017280000009,46.874999296,-4.999995392000002
4.5000000000000006e-08,-0.3750001408000001,0.12499980799999988,49.999998976,-4.374995456000001
4.5500000000000004e-08,0.062499814399999964,0.12499980799999988,51.874998784,-3.749995519999999
4.6e-08,0.4374997760000001,0.12499980799999988,51.249998848000004,-3.749995519999999
4.6500000000000006e-08,0.18749980160000002,0.18749980160000002,49.37499904,-3.124995584000004
4.7000000000000004e-08,-0.18750016000000014,0.18749980160000002,49.37499904,-3.124995584000004
4.75e-08,-0.5000001279999999,0.31249978879999984,49.999998976,-2.4999956480000023
4.8000000000000006e-08,-0.25000015360000005,0.6249997567999999,52.49999872,-3.124995584000004
4.8500000000000004e-08,0.12499980799999988,0.8749997312,51.874998784,-2.4999956480000023
4.9e-08,0.31249978879999984,1.3124996863999998,51.249998848000004,-1.8749957120000005
4.95e-08,0.062499814399999964,1.7499996415999997,51.249998848000004,-1.2499957760000058
5.0000000000000004e-08,-0.3750001408000001,2.1249996032,51.874998784,-0.624995840000004
5.05e-08,-0.3750001408000001,2.312499584,51.249998848000004,-1.2499957760000058
5.1e-08,-0.06250017280000009,2.4999995647999995,51.874998784,-1.2499957760000058
5.1500000000000005e-08,0.24999979519999993,2.8124995327999995,51.249998848000004,-1.2499957760000058
5.2e-08,0.24999979519999993,3.1874994944,51.249998848000004,-1.8749957120000005
5.25e-08,-0.1250001664,3.5624994559999994,50.624998912,-1.2499957760000058
5.3000000000000005e-08,-0.3750001408000001,3.8124994304,51.874998784,-0.624995840000004
5.35e-08,-0.31250014719999997,3.8749994239999994,51.874998784,-1.2499957760000058
5.4e-08,0.062499814399999964,4.1249993984,51.874998784,-1.8749957120000005
5.4500000000000005e-08,0.18749980160000002,4.3749993728,51.874998784,-3.124995584000004
5.5e-08,0.12499980799999988,4.6249993472,50.624998912,-3.124995584000004
5.55e-08,-0.25000015360000005,4.8124993279999995,49.999998976,-2.4999956480000023
5.6000000000000005e-08,-0.25000015360000005,4.9374993152,50.624998912,-1.8749957120000005
5.65e-08,-0.06250017280000009,4.9374993152,50.624998912,-1.2499957760000058
5.7e-08,0.12499980799999988,4.9999993088,49.999998976,-1.2499957760000058
5.7500000000000005e-08,0.12499980799999988,5.0624993024,49.999998976,-1.2499957760000058
5.8e-08,-0.06250017280000009,5.249999283199999,50.624998912,-1.2499957760000058
5.85e-08,-0.18750016000000014,5.3749992704,49.999998976,-1.8749957120000005
5.9000000000000006e-08,-0.06250017280000009,5.4374992639999995,49.37499904,-1.2499957760000058
5.9500000000000003e-08,0.062499814399999964,5.3124992768,48.124999168,-1.8749957120000005
6.000000000000001e-08,0.062499814399999964,5.249999283199999,49.37499904,-3.124995584000004
6.05e-08,-1.7920000017213056e-07,5.1249992959999995,48.124999168,-2.4999956480000023
6.1e-08,-0.18750016000000014,5.1874992896,48.124999168,-2.4999956480000023
6.15e-08,-0.1250001664,5.1874992896,48.124999168,-1.8749957120000005
6.2e-08,0.12499980799999988,5.1874992896,48.124999168,-1.8749957120000005
6.250000000000001e-08,-1.7920000017213056e-07,5.1874992896,47.499999232,-1.8749957120000005
6.300000000000001e-08,-0.06250017280000009,5.0624993024,47.499999232,-1.2499957760000058
6.35e-08,-0.18750016000000014,5.0624993024,46.874999296,-0.624995840000004
6.4e-08,-0.1250001664,5.1249992959999995,47.499999232,-1.2499957760000058
6.45e-08,0.062499814399999964,5.0624993024,47.499999232,-1.2499957760000058
6.5e-08,0.12499980799999988,4.9999993088,46.874999296,-1.2499957760000058
6.55e-08,0.062499814399999964,4.7499993344,47.499999232,-1.2499957760000058
6.600000000000001e-08,-0.1250001664,4.7499993344,47.499999232,-1.2499957760000058
6.65e-08,-0.18750016000000014,4.7499993344,46.249999360000004,-1.2499957760000058
6.7e-08,-0.06250017280000009,4.7499993344,46.249999360000004,-1.2499957760000058
6.75e-08,-1.7920000017213056e-07,4.6874993408,46.249999360000004,-1.8749957120000005
6.8e-08,0.062499814399999964,4.5624993536,47.499999232,-2.4999956480000023
6.85e-08,-1.7920000017213056e-07,4.4999993599999994,46.249999360000004,-2.4999956480000023
6.900000000000001e-08,-0.06250017280000009,4.6874993408,46.249999360000004,-1.8749957120000005
6.950000000000001e-08,-0.06250017280000009,4.8749993216,46.874999296,-1.8749957120000005
7e-08,0.12499980799999988,4.8749993216,46.874999296,-1.2499957760000058
7.05e-08,-1.7920000017213056e-07,4.8124993279999995,47.499999232,-1.8749957120000005
7.1e-08,-1.7920000017213056e-07,4.6249993472,47.499999232,-1.8749957120000005
7.15e-08,-0.06250017280000009,4.4999993599999994,46.874999296,-1.8749957120000005
7.200000000000001e-08,-1.7920000017213056e-07,4.6874993408,46.874999296,-1.8749957120000005
7.250000000000001e-08,0.062499814399999964,4.8124993279999995,47.499999232,-1.8749957120000005
