Time (s),VDS_A,VDS_B,V_MR
0.0,-0.7812485120000012,44.531254272,87.812497408
5e-10,-0.7812485120000012,43.750004223999994,89.37499750399999
1e-09,1.5359999991915174e-06,42.968754176000004,87.812497408
1.5000000000000002e-09,-0.7812485120000012,43.750004223999994,89.37499750399999
2e-09,1.5359999991915174e-06,43.750004223999994,87.812497408
2.5e-09,-0.7812485120000012,42.968754176000004,86.249997312
3.0000000000000004e-09,-0.7812485120000012,44.531254272,84.687497216
3.5000000000000003e-09,-0.7812485120000012,43.750004223999994,86.249997312
4e-09,-0.7812485120000012,42.968754176000004,84.687497216
4.500000000000001e-09,-0.7812485120000012,42.187504128,83.12499712
5e-09,-0.7812485120000012,43.750004223999994,81.56249702400001
5.5000000000000004e-09,-0.7812485120000012,44.531254272,83.12499712
6.000000000000001e-09,-0.7812485120000012,43.750004223999994,79.999996928
6.5e-09,-0.7812485120000012,43.750004223999994,78.437496832
7.000000000000001e-09,-0.7812485120000012,42.968754176000004,75.31249664
7.500000000000001e-09,-1.5624985600000016,42.968754176000004,76.874996736
8e-09,-0.7812485120000012,43.750004223999994,72.187496448
8.5e-09,-1.5624985600000016,44.531254272,72.187496448
9.000000000000001e-09,1.5359999991915174e-06,46.09375436799999,69.062496256
9.5e-09,-0.7812485120000012,45.31250432,67.49999616
1e-08,-0.7812485120000012,45.31250432,65.937496064
1.0500000000000001e-08,-0.7812485120000012,45.31250432,61.249995776000006
1.1000000000000001e-08,-0.7812485120000012,46.875004415999996,59.68749568
1.15e-08,-0.7812485120000012,46.875004415999996,59.68749568
1.2000000000000002e-08,1.5359999991915174e-06,46.875004415999996,56.562495487999996
1.2500000000000001e-08,-1.5624985600000016,46.875004415999996,53.43749529600001
1.3e-08,-1.5624985600000016,47.656254464,50.31249510400001
1.35e-08,-0.7812485120000012,48.437504512000004,50.31249510400001
1.4000000000000001e-08,-1.5624985600000016,49.218754559999994,47.187494912000005
1.45e-08,-0.7812485120000012,49.218754559999994,42.49999462400001
1.5000000000000002e-08,-1.5624985600000016,48.437504512000004,40.937494528
1.55e-08,-1.5624985600000016,48.437504512000004,39.37499443200001
1.6e-08,-0.7812485120000012,49.218754559999994,34.687494144
1.6500000000000002e-08,-0.7812485120000012,50.781254656,33.124994048000005
