DUTY,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_DS_A_pp,V_DS_B_pp,V_DS_A_max,V_DS_B_max,MR_FREQ,V_MR_PP,V_RECT_PP,V_RECT_RMS
0.3,25.040405,1.72456852,43.1838941910506,0.003361127,0.001596431,1.833502e-07,59.0,59.0,59.0,59.0,13400000.0,128.0,123.0,43.01
0.31,25.077731,1.73813689,43.58852936859659,0.003417943,0.001702547,4.187002e-08,57.0,59.0,59.0,59.0,13600000.0,130.0,125.0,43.15
0.32,25.049837,1.74084574,43.60790202914438,0.003434427,0.001597955,3.19765e-07,56.0,60.0,57.0,60.0,13600000.0,131.0,125.0,43.1
0.33,25.05269,1.74834871,43.800838243529896,0.003330895,0.00145609,1.387791e-07,58.0,59.0,58.0,59.0,13500000.0,130.0,125.0,43.13
0.34,25.055109,1.75644336,44.00787983712625,0.003373887,0.001541951,4.997406e-08,58.0,59.0,58.0,59.0,13600000.0,130.0,125.0,43.48
0.35000000000000003,25.070697,1.75987388,44.12126480369436,0.003300642,0.001545719,1.917917e-07,58.0,59.0,57.0,59.0,13500000.0,130.0,125.0,43.4
0.36000000000000004,25.069321,1.75772755,44.06503618149355,0.003346673,0.001571107,1.543112e-07,57.0,59.0,57.0,59.0,13700000.0,130.0,125.0,43.31
0.37000000000000005,25.053416,1.7548741,43.9655908549256,0.003354723,0.001579308,4.713752e-07,57.0,60.0,57.0,60.0,13600000.0,130.0,125.0,43.33
0.38000000000000006,25.051354,1.75046271,43.851461012009345,0.003377884,0.001567746,-2.941034e-07,56.0,60.0,56.0,59.0,13600000.0,131.0,125.0,43.15
0.39000000000000007,25.051147,1.74690906,43.76207565769182,0.003473351,0.001606693,6.483106e-07,56.0,59.0,56.0,59.0,13600000.0,131.0,125.0,43.35
0.4000000000000001,25.04906,1.7451554,43.714502323924,0.003329756,0.001649768,3.734537e-07,56.0,59.0,56.0,58.0,13600000.0,131.0,127.0,43.32
