Time (s),VGS_A,VGS_B,VDS_A,VDS_B,"[""CRTL_A"", ""IN_A"", ""CRTL_B"", ""IN_B"", ""nEN""]"
0.0,4.8125004032,-0.2656249088,-1.8749957120000005,40.0,768
5e-10,4.8125004032,-0.18749990400000005,-1.2499957760000058,39.375000064,768
1e-09,4.890625407999999,-0.18749990400000005,-1.2499957760000058,40.0,768
1.5000000000000002e-09,4.890625407999999,-0.031249894400000144,-1.8749957120000005,40.0,768
2e-09,4.9687504127999995,0.12500011519999976,-1.8749957120000005,40.0,768
2.5e-09,4.9687504127999995,0.04687511039999981,-1.2499957760000058,40.624999936,768
3.0000000000000004e-09,4.890625407999999,-0.18749990400000005,-2.4999956480000023,40.624999936,768
3.5000000000000003e-09,4.890625407999999,-0.3437499136000002,-2.4999956480000023,41.249999872000004,768
4e-09,4.9687504127999995,-0.18749990400000005,-2.4999956480000023,41.249999872000004,768
4.500000000000001e-09,4.8125004032,-0.031249894400000144,-1.2499957760000058,41.874999808,768
5e-09,4.8125004032,-0.031249894400000144,-2.4999956480000023,41.249999872000004,768
5.5000000000000004e-09,4.8125004032,-0.1093748992000001,-1.8749957120000005,41.874999808,768
6.000000000000001e-09,4.890625407999999,-0.18749990400000005,-1.2499957760000058,42.499999744,768
6.5e-09,4.890625407999999,-0.18749990400000005,-1.2499957760000058,43.12499968,768
7.000000000000001e-09,4.9687504127999995,-0.031249894400000144,-1.2499957760000058,43.749999616,768
7.500000000000001e-09,4.8125004032,-0.031249894400000144,-1.8749957120000005,43.749999616,768
8e-09,4.890625407999999,-0.031249894400000144,-2.4999956480000023,44.374999552,768
8.5e-09,4.890625407999999,-0.1093748992000001,-1.2499957760000058,44.999999488,768
9.000000000000001e-09,4.8125004032,-0.1093748992000001,-1.2499957760000058,45.624999424,768
9.5e-09,4.8125004032,-0.18749990400000005,-1.8749957120000005,45.624999424,768
1e-08,4.734375398399999,-0.1093748992000001,-1.8749957120000005,46.249999360000004,768
1.0500000000000001e-08,4.734375398399999,-0.031249894400000144,-1.2499957760000058,46.249999360000004,768
1.1000000000000001e-08,4.6562503936,-0.1093748992000001,-1.2499957760000058,46.874999296,768
1.15e-08,4.8125004032,-0.18749990400000005,-1.8749957120000005,47.499999232,512
1.2000000000000002e-08,4.734375398399999,-0.1093748992000001,-2.4999956480000023,48.749999104,512
1.2500000000000001e-08,4.734375398399999,-0.031249894400000144,-1.2499957760000058,48.124999168,0
1.3e-08,4.734375398399999,-0.1093748992000001,-1.8749957120000005,48.749999104,0
1.35e-08,4.8125004032,-0.18749990400000005,-1.2499957760000058,49.37499904,0
1.4000000000000001e-08,4.890625407999999,-0.18749990400000005,-1.2499957760000058,49.999998976,0
1.45e-08,4.8125004032,-0.2656249088,-1.8749957120000005,50.624998912,0
1.5000000000000002e-08,4.8125004032,-0.1093748992000001,-1.8749957120000005,51.249998848000004,0
1.55e-08,4.8125004032,-0.031249894400000144,-2.4999956480000023,51.249998848000004,0
1.6e-08,4.8125004032,-0.1093748992000001,-2.4999956480000023,51.249998848000004,0
1.6500000000000002e-08,4.8125004032,-0.18749990400000005,-0.624995840000004,51.874998784,0
1.7e-08,4.8125004032,-0.18749990400000005,-1.2499957760000058,51.874998784,0
