Time (s),VDS_A,VDS_B,V_MR
0.0,25.000003072,35.156253696,-21.562509312000003
5e-10,24.218753024,36.718753792,-20.000009215999995
1e-09,22.656252928,36.718753792,-20.000009215999995
1.5000000000000002e-09,21.875002879999997,37.50000384,-13.750008831999992
2e-09,21.093752832,38.281253887999995,-13.750008831999992
2.5e-09,20.312502783999996,37.50000384,-10.625008640000004
3.0000000000000004e-09,19.531252736,39.062503936,-10.625008640000004
3.5000000000000003e-09,17.187502592,39.843753984,-7.5000084479999884
4e-09,17.187502592,39.062503936,-5.937508352000009
4.500000000000001e-09,14.843752447999996,39.843753984,-1.250008063999985
5e-09,14.843752447999996,40.62500403199999,-1.250008063999985
5.5000000000000004e-09,14.0625024,40.62500403199999,3.4374922240000103
6.000000000000001e-09,13.281252351999996,40.62500403199999,6.562492415999998
6.5e-09,11.718752256000002,39.843753984,6.562492415999998
7.000000000000001e-09,10.937502207999998,40.62500403199999,11.249992704000007
7.500000000000001e-09,10.156252160000001,41.40625408,12.812492800000001
8e-09,8.593752064,41.40625408,14.374992896000009
8.5e-09,7.031251967999999,42.187504128,17.499993087999997
9.000000000000001e-09,5.468751871999999,41.40625408,19.062493184000004
9.5e-09,3.125001728000001,41.40625408,25.312493568000008
1e-08,2.3437516800000004,41.40625408,25.312493568000008
1.0500000000000001e-08,0.7812515839999996,41.40625408,29.999993856000003
1.1000000000000001e-08,1.5359999991915174e-06,40.62500403199999,31.562493951999997
1.15e-08,-2.343748608000002,41.40625408,33.124994048000005
1.2000000000000002e-08,-1.5624985600000016,40.62500403199999,37.812494336
1.2500000000000001e-08,-1.5624985600000016,40.62500403199999,37.812494336
1.3e-08,-0.7812485120000012,41.40625408,39.37499443200001
1.35e-08,-1.5624985600000016,40.62500403199999,45.624994816
1.4000000000000001e-08,1.5359999991915174e-06,39.843753984,47.187494912000005
1.45e-08,1.5359999991915174e-06,39.843753984,47.187494912000005
1.5000000000000002e-08,0.7812515839999996,39.843753984,51.8749952
1.55e-08,1.562501632,39.062503936,54.999995392
1.6e-08,1.5359999991915174e-06,39.062503936,54.999995392
1.6500000000000002e-08,1.5359999991915174e-06,37.50000384,56.562495487999996
1.7e-08,-0.7812485120000012,38.281253887999995,56.562495487999996
1.75e-08,-0.7812485120000012,37.50000384,61.249995776000006
1.8000000000000002e-08,-0.7812485120000012,38.281253887999995,62.812495872
1.85e-08,-1.5624985600000016,37.50000384,65.937496064
