FET,LOAD,V_IN,I_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,V_IN_AVG,I_PRI_AVG,I_PRI_PP,I_PRI_RMS,V_OUT_PP,V_OUT_AVG,I_SEC_PP,I_SEC_AVG,I_SEC_RMS,V_PRI_PP,V_SEC_PP,V_TANK_IN_PP,V_TANK_OUT_PP
IGB110S101,STPS360AF,25.055397,1.22015016,40.64704,0.6585708,26.76789,0.288,25.1795,-0.062,2.38,0.78,0.125,40.793,2.56,-0.043,0.849,238.0,500.0,275.0,109.0
IGB110S101,STPS360AF,25.041027,1.22067281,40.64131,0.6583604,26.76418,0.275,25.1767,-0.063,2.38,0.783,0.125,40.7992,2.56,-0.042,0.852,244.0,480.0,269.0,113.0
IGB110S101,STPS360AF,25.046735,1.22008395,40.64353,0.6585476,26.75841,0.281,25.1677,-0.067,2.31,0.784,0.131,40.7833,2.5,-0.044,0.851,244.0,500.0,263.0,106.0
IGB110S101,STPS360AF,25.039357,1.21751103,40.58567,0.6578247,26.71468,0.281,25.146,-0.065,2.38,0.778,0.128,40.7633,2.5,-0.035,0.841,244.0,520.0,269.0,109.0
IGB110S101,STPS360AF,25.03158,1.21528582,40.53974,0.6570957,26.63314,0.294,25.1547,-0.062,2.31,0.782,0.131,40.6978,2.56,-0.036,0.842,238.0,520.0,269.0,106.0
IGB110S101,STPS360AF,25.029981,1.21456192,40.53967,0.6567067,26.62159,0.281,25.1544,-0.074,2.38,0.776,0.128,40.6934,2.5,-0.046,0.854,238.0,480.0,263.0,109.0
IGB110S101,STPS360AF,25.028651,1.21441144,40.53949,0.6564663,26.6145,0.294,25.1527,-0.065,2.31,0.781,0.128,40.6953,2.5,-0.04,0.848,244.0,500.0,269.0,109.0
IGB110S101,STPS360AF,25.030334,1.2158421,40.54046,0.6570172,26.63995,0.319,25.1585,-0.057,2.38,0.778,0.131,40.7054,2.56,-0.048,0.846,250.0,520.0,263.0,106.0
IGB110S101,STPS360AF,25.043767,1.22474083,40.68127,0.6587318,26.80003,0.38,25.1871,-0.07,2.38,0.783,0.128,40.8354,2.5,-0.039,0.8511,244.0,500.0,263.0,109.0
IGB110S101,STPS360AF,25.057578,1.23724833,40.79086,0.6611468,26.97419,0.41,25.1952,-0.061,2.38,0.79,0.141,40.9497,2.56,-0.042,0.8533,244.0,500.0,269.0,109.0
IGB110S101,STPS360AF,25.066932,1.25043333,40.91541,0.6629033,27.11538,0.44,25.2054,-0.063,2.38,0.791,0.153,41.054,2.56,-0.046,0.8544,250.0,480.0,269.0,106.0
