DUTY,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_GS_A_pp,V_GS_A_amp,V_GS_A_max,V_GS_A_top,V_GS_A_min,V_GS_A_bot,V_GS_B_pp,V_GS_B_amp,V_GS_B_max,V_GS_B_top,V_GS_B_min,V_GS_B_bot,V_DS_A_pp,V_DS_A_amp,V_DS_A_max,V_DS_A_top,V_DS_A_min,V_DS_A_bot,V_DS_B_pp
0.3,24.969925,1.57317273,39.282005080145254,46.9971,0.761387,35.78034,8.0,5.1,5.67,4.89,-2.3,-0.19,8.6,5.0,5.75,4.81,-2.92,-0.19,59.4,56.9,55.0,55.0,-4.4,-1.9,56.3
0.31,24.967795,1.57768427,39.39129742808465,47.0637,0.7632978,35.92178,8.0,5.0,5.59,4.81,-2.3,-0.19,8.7,5.0,5.75,4.89,-2.92,-0.11,58.8,56.9,55.0,55.0,-3.8,-1.9,56.3
0.32,24.966371,1.58367292,39.53856566337332,47.17099,0.7642587,36.05507,8.1,5.0,5.67,4.81,-2.38,-0.19,8.5,4.9,5.67,4.81,-2.84,-0.11,59.4,56.9,55.0,55.0,-4.4,-1.9,56.3
0.33,24.965169,1.5894493,39.680870391431704,47.27419,0.7659982,36.2094,8.1,5.1,5.75,4.81,-2.38,-0.19,8.7,5.2,5.75,4.89,-2.84,-0.11,58.1,56.3,54.4,54.4,-3.8,-1.9,56.3
0.34,24.966484,1.59164951,39.737892025022845,47.31427,0.7667181,36.27888,7.9,5.0,5.75,4.89,-2.3,-0.19,8.5,5.2,5.75,4.97,-2.84,-0.19,59.4,56.9,55.0,55.0,-4.4,-1.9,56.3
0.35000000000000003,24.969922,1.58953164,39.69048106733208,47.2853,0.7662998,36.22865,8.0,5.0,5.59,4.81,-2.3,-0.19,8.6,4.9,5.75,4.81,-2.84,-0.11,58.8,56.9,55.0,55.0,-3.8,-1.9,56.3
0.36000000000000004,24.971199,1.58594576,39.60296717616624,47.24137,0.7653135,36.15234,8.0,5.0,5.67,4.81,-2.38,-0.19,8.4,5.0,5.67,4.89,-2.84,-0.11,58.8,56.9,55.0,55.0,-3.8,-1.9,56.3
0.37000000000000005,24.972399,1.58283092,39.527085283777076,47.20528,0.7643979,36.08696,8.1,5.0,5.67,4.81,-2.38,-0.19,8.6,5.0,5.75,4.89,-2.77,-0.11,58.1,56.3,54.4,54.4,-3.8,-1.9,56.3
0.38000000000000006,24.969091,1.57896577,39.425339997015065,47.14257,0.7638121,35.9969,8.1,5.0,5.75,4.89,-2.3,-0.19,8.6,4.9,5.75,4.81,-2.92,-0.11,58.1,56.3,54.4,54.4,-3.8,-1.9,56.3
0.39000000000000007,24.968251,1.57811877,39.40286555717127,47.13515,0.7637668,35.9949,8.0,5.0,5.75,4.81,-2.3,-0.19,8.8,5.0,5.83,4.89,-2.84,-0.11,57.5,56.3,54.4,54.4,-3.1,-1.9,56.3
0.4000000000000001,24.972441,1.58164982,39.49765681261062,47.17286,0.7642206,36.05233,8.1,5.0,5.75,4.81,-2.38,-0.19,8.7,5.0,5.83,4.89,-2.92,-0.11,58.8,56.9,55.0,55.0,-3.8,-1.9,56.9
