FREQ,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
6700000.0,25.013758,1.69012272,42.27632070838176,48.51665,0.7860726,38.13302,0.98,0.027,0.27,0.03
6710000.0,25.01503,1.67804191,41.976268719907296,48.34054,0.7826177,37.83165,1.02,0.031,0.31,0.03
6720000.0,25.01623,1.66452824,41.6402212933352,48.11417,0.7795741,37.51686,0.97,0.028,0.3,0.03
6730000.0,25.017143,1.65163818,41.31926853331974,47.91363,0.7766132,37.201,0.89,0.031,0.31,0.028
6740000.0,25.017819,1.63856135,40.99323127469565,47.70534,0.7730801,36.87992,0.88,0.03,0.31,0.028
6750000.0,25.018413,1.62632018,40.687949933474336,47.5218,0.7699204,36.59083,0.91,0.028,0.28,0.028
6760000.0,25.019007,1.61449543,40.39307246463801,47.34721,0.7670041,36.31542,0.91,0.028,0.3,0.027
6770000.0,25.019961,1.60155878,40.070938214807576,47.14029,0.7640158,36.01692,0.89,0.028,0.28,0.033
6780000.0,25.021092,1.58963829,39.77448590081268,46.95373,0.7607154,35.7187,0.81,0.028,0.31,0.025
6790000.0,25.021827,1.5779373,39.4828741374471,46.77998,0.7575985,35.44476,0.81,0.028,0.33,0.023
6800000.0,25.022206,1.56532761,39.16794991490766,46.56767,0.7546744,35.14428,0.86,0.027,0.36,0.023
6810000.0,25.021642,1.55384417,38.87973254552714,46.38991,0.7516344,34.86543,0.95,0.034,0.31,0.025
6820000.0,25.022638,1.54233758,38.593354938136045,46.2477,0.7486953,34.62328,0.95,0.03,0.31,0.031
6830000.0,25.019566,1.53120423,38.31006529196418,46.02986,0.7458772,34.33371,0.98,0.027,0.3,0.03
6840000.0,25.018689,1.51912563,38.00653168889907,45.82347,0.7429652,34.03703,0.95,0.031,0.34,0.027
6850000.0,25.018277,1.50930774,37.76027911756398,45.6813,0.7400084,33.80026,0.94,0.031,0.3,0.027
6860000.0,25.018421,1.49869593,37.49500572772653,45.50195,0.7370681,33.53345,0.97,0.028,0.3,0.028
6870000.0,25.019364,1.48823841,37.23477849857124,45.32879,0.7345794,33.28885,0.89,0.031,0.31,0.028
6880000.0,25.020943,1.47865791,36.997415282609126,45.1838,0.7320622,33.07674,0.88,0.03,0.31,0.025
6890000.0,25.022735,1.46856267,36.747454522302455,45.00763,0.7290088,32.8059,0.86,0.031,0.3,0.023
6900000.0,25.02432,1.45820512,36.490591548518395,44.83019,0.7263303,32.56676,0.81,0.028,0.34,0.022
