VIN,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_GS_A_pp,V_GS_A_amp,V_GS_A_max,V_GS_A_top,V_GS_A_min,V_GS_A_bot,V_GS_B_pp,V_GS_B_amp,V_GS_B_max,V_GS_B_top,V_GS_B_min,V_GS_B_bot,V_DS_A_pp,V_DS_A_amp,V_DS_A_max,V_DS_A_top,V_DS_A_min,V_DS_A_bot,V_DS_B_pp
18.0,18.000032,1.12594789,20.26709805033248,33.73368,0.5463591,18.42986,8.3,5.1,5.67,4.89,-2.45,-0.19,8.7,5.0,5.75,4.89,-2.84,-0.11,42.5,40.6,38.8,38.8,-3.8,-1.9,40.0
18.5,18.497471,1.15657407,21.39369531917697,34.65446,0.561635,19.46667,8.1,5.1,5.75,4.89,-2.45,-0.19,8.6,4.9,5.75,4.81,-2.84,-0.11,43.8,41.9,40.0,40.0,-3.8,-1.9,41.3
19.0,18.995963,1.18650146,22.53873783360598,35.57922,0.576506,20.51227,8.1,5.1,5.75,4.81,-2.38,-0.19,8.6,5.1,5.83,4.89,-2.77,-0.11,44.4,43.1,41.3,41.3,-3.1,-1.9,41.9
19.5,19.493387,1.21641378,23.712024565672856,36.49823,0.5917056,21.59736,8.1,5.1,5.67,4.89,-2.38,-0.19,8.4,5.2,5.67,4.97,-2.84,-0.11,45.6,44.4,42.5,42.5,-3.1,-1.9,43.1
20.0,19.991205,1.24840482,24.9571166796081,37.46114,0.6069099,22.73145,8.1,5.0,5.67,4.89,-2.38,-0.19,8.7,4.9,5.75,4.97,-2.84,-0.11,46.9,45.0,43.1,43.1,-3.1,-1.9,44.4
20.5,20.491231,1.28295777,26.28938402831487,38.44878,0.6228359,23.94719,8.0,5.1,5.67,4.89,-2.45,-0.19,8.6,5.1,5.75,4.97,-2.77,-0.11,48.1,45.6,43.8,44.4,-3.8,-1.9,45.0
21.0,20.990731,1.31779605,27.66150239841255,39.44111,0.6387768,25.19197,8.0,5.1,5.75,4.89,-2.38,-0.19,8.6,4.9,5.75,4.81,-2.84,-0.11,49.4,47.5,45.6,45.6,-3.8,-1.9,46.3
21.5,21.496366,1.35253815,29.074655101362897,40.43422,0.6550263,26.48958,8.1,5.1,5.75,4.89,-2.38,-0.19,8.6,5.1,5.75,4.89,-2.84,-0.19,50.0,48.1,46.3,46.3,-3.8,-1.9,47.5
22.0,21.990635,1.38577637,30.474102344294952,41.39171,0.6707159,27.7605,8.1,5.0,5.75,4.81,-2.38,-0.19,8.5,4.9,5.75,4.81,-2.84,-0.11,51.9,50.0,48.1,48.1,-3.8,-1.9,48.8
22.5,22.490191,1.41982761,31.93219413597351,42.38092,0.6865704,29.10334,8.1,5.0,5.67,4.89,-2.38,-0.19,8.7,5.1,5.75,4.81,-2.84,-0.11,53.8,51.9,50.0,50.0,-3.8,-1.9,50.0
23.0,22.988479,1.45299384,33.40211837796936,43.34169,0.7021378,30.43416,8.0,5.0,5.75,4.81,-2.38,-0.19,8.6,4.9,5.75,4.81,-2.84,-0.11,54.4,52.5,50.6,50.6,-3.8,-1.9,51.3
23.5,23.486687,1.48591309,34.89917565403283,44.29823,0.7180904,31.80589,8.0,5.1,5.75,4.89,-2.3,-0.19,8.4,5.0,5.67,4.89,-2.84,-0.11,55.6,53.1,51.9,51.9,-3.8,-1.9,52.5
24.0,23.983947,1.51933518,36.43965443235546,45.28685,0.7335966,33.22498,8.0,5.1,5.67,4.89,-2.3,-0.19,8.7,5.1,5.83,4.97,-2.84,-0.11,57.5,55.0,53.1,53.1,-4.4,-1.9,53.1
24.5,24.48154,1.55156162,37.9846178624948,46.24736,0.7493084,34.65268,8.1,5.0,5.67,4.89,-2.3,-0.19,8.5,5.1,5.75,4.97,-2.77,-0.11,58.1,55.6,53.8,54.4,-4.4,-1.9,54.4
25.0,24.980564,1.58374026,39.562724924306636,47.20547,0.7649382,36.10195,8.0,5.1,5.75,4.89,-2.3,-0.19,8.6,5.0,5.75,4.89,-2.84,-0.11,58.8,56.9,55.0,55.0,-3.8,-1.9,56.3
25.5,25.479326,1.61571336,41.16728742199536,48.15751,0.7800694,37.57251,8.0,5.0,5.75,4.89,-2.3,-0.19,8.7,5.1,5.83,4.97,-2.84,-0.11,60.0,57.5,55.6,55.6,-4.4,-1.9,56.3
26.0,25.978878,1.64792339,42.81120070215643,49.11914,0.7957215,39.08874,8.0,5.1,5.75,4.89,-2.3,-0.19,8.8,5.1,5.83,4.89,-2.92,-0.19,61.9,59.4,57.5,57.5,-4.4,-1.9,58.1
26.5,26.477826,1.68115733,44.51339126236458,50.11233,0.8117954,40.67532,8.0,5.0,5.67,4.81,-2.3,-0.19,8.6,5.0,5.83,4.89,-2.84,-0.11,62.5,60.0,58.1,58.1,-4.4,-1.9,59.4
27.0,26.977165,1.71342482,46.2233440842353,51.07158,0.8274972,42.26236,8.0,5.0,5.75,4.89,-2.3,-0.19,8.7,5.1,5.75,4.89,-2.92,-0.19,63.8,61.9,60.0,60.6,-3.8,-1.9,60.6
27.5,27.475137,1.74562264,47.96122118430168,52.03094,0.8429744,43.86365,8.0,5.1,5.75,4.89,-2.38,-0.19,8.8,5.1,5.67,4.89,-2.92,-0.11,65.0,63.1,61.3,61.3,-3.8,-1.9,61.3
28.0,27.973069,1.77754924,49.723507541417554,52.97074,0.8582104,45.47573,8.2,5.1,5.75,4.81,-2.38,-0.19,8.7,5.1,5.75,4.89,-2.92,-0.11,66.9,64.4,61.9,61.9,-3.1,-1.9,62.5
