FREQ,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_DS_A_pp,V_DS_B_pp,V_DS_A_max,V_DS_B_max,MR_FREQ,V_MR_PP,V_RECT_PP,V_RECT_RMS
6000000.0,0.7334081,0.0462860398,0.03394655650624238,0.6190026,0.01021284,0.006209147,4.0,4.0,4.0,4.0,16900000.0,6.0,6.0,3.594
6100000.0,21.976598,1.29290738,28.41370574149324,36.30602,0.5883037,21.34036,54.0,58.0,54.0,58.0,12200000.0,50.0,81.0,33.06
6200000.0,23.568545,1.618045,38.134966394525,43.31767,0.7020758,30.42092,55.0,63.0,55.0,63.0,6230000.0,72.0,95.0,38.75
6300000.0,25.421916,1.88656195,47.960019421696195,49.51021,0.8022552,39.70298,59.0,63.0,59.0,63.0,12400000.0,83.0,109.0,43.54
6400000.0,25.212618,1.99077871,50.19274313776278,51.81171,0.8395591,43.50471,59.0,62.0,59.0,61.0,12600000.0,97.0,113.0,45.42
6500000.0,25.055648,2.01026587,50.36851402513376,52.52459,0.851119,44.70686,59.0,60.0,59.0,60.0,12800000.0,106.0,116.0,45.71
6600000.0,25.01082,1.9308246,48.291506522172,51.63698,0.8367479,43.20597,57.0,60.0,57.0,60.0,13200000.0,116.0,113.0,44.94
6700000.0,24.99657,1.79608217,44.895893688156896,49.75639,0.8061431,40.10442,56.0,60.0,56.0,59.0,13500000.0,122.0,109.0,43.33
6780000.0,24.971889,1.68266761,42.01938878081529,48.05615,0.7782287,37.39865,56.0,59.0,56.0,59.0,13600000.0,123.0,106.0,41.78
6800000.0,24.968162,1.65496055,41.3213231160091,47.63157,0.7715965,36.75422,55.0,59.0,56.0,58.0,13600000.0,125.0,106.0,41.4
6900000.0,24.940977,1.53118852,38.18933765998404,45.6814,0.7403501,33.82173,58.0,58.0,58.0,58.0,13900000.0,130.0,103.0,39.84
7000000.0,24.925465,1.44003779,35.89361153332235,44.15654,0.7157469,31.59838,58.0,60.0,58.0,60.0,14000000.0,134.0,98.0,38.48
7100000.0,24.874233,1.3559406,33.727982418559805,42.63205,0.6907775,29.44632,59.0,62.0,59.0,62.0,14200000.0,144.0,94.0,37.28
7200000.0,24.790488,1.25502073,31.11257634681624,40.65018,0.6586844,26.78101,60.0,64.0,61.0,65.0,14400000.0,155.0,91.0,35.71
7300000.0,24.63112,1.12778851,27.7786941244312,37.95905,0.6151857,23.3506,63.0,68.0,63.0,68.0,14600000.0,170.0,84.0,33.53
7400000.0,24.475106,0.953215539,23.330051357872133,34.08457,0.5521276,18.81535,66.0,70.0,66.0,70.0,14800000.0,9.9e+37,78.0,30.37
7500000.0,24.426081,0.734528699,17.94165749859862,28.91184,0.4689285,13.56008,67.0,73.0,66.0,73.0,15000000.0,9.9e+37,66.0,26.13
