VIN,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
18.0,17.993813,1.15448728,20.77362822719864,0.003323547,0.001470234,1.283114e-07,0.56,0.03,89.0,1.78
18.5,18.493151,1.18819568,21.97348212778768,0.003466306,0.001467195,-1.992199e-08,0.63,0.033,91.0,1.81
19.0,18.993708,1.22175183,23.205597507485642,0.003287852,0.001461051,1.252726e-07,0.63,0.031,94.0,1.91
19.5,19.492772,1.25503499,24.464110912092277,0.003350953,0.001493783,6.179197e-08,0.63,0.036,95.0,1.94
20.0,19.992103,1.28826406,25.75510777871818,0.003356606,0.001521907,2.535839e-07,0.64,0.034,98.0,1.97
20.5,20.492963,1.32160629,27.08362880153727,0.003331273,0.001425863,-2.768821e-08,0.61,0.033,102.0,2.0
21.0,20.992304,1.35492681,28.44303549327024,0.003370262,0.001450551,-2.009087e-07,0.67,0.033,103.0,2.06
21.5,21.492917,1.38851291,29.84319272805847,0.003361875,0.001491743,2.025974e-08,0.64,0.034,106.0,2.13
22.0,21.992577,1.42189552,31.271146709555044,0.003309826,0.001452322,5.63894e-08,0.69,0.038,108.0,2.19
22.5,22.492425,1.45551359,32.73803025955575,0.003388597,0.001458549,-4.794797e-08,0.7,0.038,111.0,2.19
23.0,22.991304,1.48898823,34.233781048351915,0.003388968,0.001435646,-1.262854e-07,0.7,0.036,113.0,2.25
23.5,23.492853,1.522636,35.771063720508,0.00335359,0.001423774,-7.766233e-09,0.7,0.036,114.0,2.28
24.0,23.992595,1.55609577,37.33477559082315,0.00335359,0.001418968,-1.094024e-07,0.7,0.039,119.0,2.31
24.5,24.493098,1.58957979,38.933733575289416,0.003341631,0.001450598,9.893483e-08,0.73,0.038,119.0,2.38
25.0,24.994425,1.623114,40.568801139449995,0.003332537,0.001460032,-4.051919e-09,0.72,0.041,122.0,2.44
25.5,25.495341,1.65662391,42.23619149420331,0.003336456,0.001461884,1.364153e-07,0.73,0.038,125.0,2.5
26.0,25.995638,1.69042129,43.943579922333015,0.003329248,0.001410697,3.748037e-08,0.7,0.045,127.0,2.56
26.5,26.495547,1.72428986,45.68600302725342,0.003307533,0.001451763,7.597401e-08,0.75,0.042,128.0,2.63
27.0,27.007253,1.76138115,47.570066347480946,0.003348181,0.001409211,1.354023e-07,0.86,0.039,131.0,2.63
27.5,27.509232,1.78818415,49.1915726410728,0.003407817,0.001453672,2.059735e-07,0.78,0.039,134.0,2.69
28.0,28.010326,1.82168623,51.02602517201098,0.003364259,0.00143706,2.751945e-07,0.78,0.042,134.0,2.72
