Time (s),V_TANK_IN,I_PRI,V_TANK_OUT
0.0,-39.062493184000004,-0.8125000192,24.999998464
5e-10,-39.062493184000004,-0.7812500224000001,26.56249856
1e-09,-37.499993088,-0.7812500224000001,23.437498368
1.5000000000000002e-09,-37.499993088,-0.8125000192,24.999998464
2e-09,-39.062493184000004,-0.7812500224000001,24.999998464
2.5e-09,-37.499993088,-0.7812500224000001,23.437498368
3.0000000000000004e-09,-39.062493184000004,-0.7812500224000001,23.437498368
3.5000000000000003e-09,-39.062493184000004,-0.7812500224000001,23.437498368
4e-09,-40.62499328,-0.7500000256,24.999998464
4.500000000000001e-09,-40.62499328,-0.7500000256,23.437498368
5e-09,-39.062493184000004,-0.7500000256,24.999998464
5.5000000000000004e-09,-40.62499328,-0.7812500224000001,24.999998464
6.000000000000001e-09,-37.499993088,-0.7500000256,23.437498368
6.5e-09,-40.62499328,-0.7187500287999999,24.999998464
7.000000000000001e-09,-39.062493184000004,-0.7812500224000001,23.437498368
7.500000000000001e-09,-40.62499328,-0.7500000256,21.874998272
8e-09,-39.062493184000004,-0.7500000256,23.437498368
8.5e-09,-40.62499328,-0.7187500287999999,21.874998272
9.000000000000001e-09,-39.062493184000004,-0.7187500287999999,20.312498176000002
9.5e-09,-39.062493184000004,-0.7187500287999999,20.312498176000002
1e-08,-40.62499328,-0.7500000256,18.74999808
1.0500000000000001e-08,-39.062493184000004,-0.7187500287999999,18.74999808
1.1000000000000001e-08,-39.062493184000004,-0.7187500287999999,17.187497984000004
1.15e-08,-39.062493184000004,-0.687500032,15.624997888000003
1.2000000000000002e-08,-39.062493184000004,-0.687500032,17.187497984000004
1.2500000000000001e-08,-39.062493184000004,-0.687500032,15.624997888000003
1.3e-08,-40.62499328,-0.6562500352,14.062497792000002
1.35e-08,-40.62499328,-0.687500032,14.062497792000002
1.4000000000000001e-08,-39.062493184000004,-0.6562500352,14.062497792000002
1.45e-08,-40.62499328,-0.6250000384000001,10.9374976
1.5000000000000002e-08,-39.062493184000004,-0.6562500352,9.374997504
1.55e-08,-40.62499328,-0.6250000384000001,7.812497407999999
1.6e-08,-39.062493184000004,-0.5937500416,7.812497407999999
1.6500000000000002e-08,-40.62499328,-0.5937500416,4.687497216000004
1.7e-08,-39.062493184000004,-0.5937500416,3.1249971200000033
1.75e-08,-39.062493184000004,-0.6250000384000001,1.5624970240000025
1.8000000000000002e-08,-40.62499328,-0.5937500416,1.5624970240000025
1.85e-08,-39.062493184000004,-0.531250048,-1.5625031679999992
1.9e-08,-39.062493184000004,-0.5937500416,-4.687503360000001
1.9500000000000003e-08,-39.062493184000004,-0.5625000448,-4.687503360000001
2e-08,-40.62499328,-0.5625000448,-4.687503360000001
2.05e-08,-39.062493184000004,-0.5625000448,-9.375003647999996
2.1000000000000003e-08,-39.062493184000004,-0.531250048,-10.937503743999997
2.15e-08,-39.062493184000004,-0.531250048,-12.500003839999998
2.2000000000000002e-08,-35.937492992,-0.46875005440000006,-14.062503935999999
2.2500000000000003e-08,-37.499993088,-0.46875005440000006,-15.625004031999993
2.3e-08,-37.499993088,-0.5000000512,-17.187504128
2.3500000000000002e-08,-35.937492992,-0.5000000512,-20.312504320000002
2.4000000000000003e-08,-34.37499289600001,-0.46875005440000006,-18.750004223999994
2.45e-08,-34.37499289600001,-0.46875005440000006,-21.875004415999996
2.5000000000000002e-08,-32.8124928,-0.46875005440000006,-23.437504512000004
2.55e-08,-31.249992704000007,-0.46875005440000006,-23.437504512000004
2.6e-08,-31.249992704000007,-0.40625006080000003,-25.000004607999998
