Time (s),V_PRI,V_SEC,V_IN
0.0,-206.62493184000004,-92.00000384,23.91437491456
5e-10,-222.24993280000012,-92.00000384,23.91437491456
1e-09,-190.99993087999997,-92.00000384,23.8987499136
1.5000000000000002e-09,-222.24993280000012,-92.00000384,23.92999991552
2e-09,-206.62493184000004,-76.37500288,23.92999991552
2.5e-09,-206.62493184000004,-76.37500288,23.91437491456
3.0000000000000004e-09,-222.24993280000012,-107.6250048,23.8987499136
3.5000000000000003e-09,-222.24993280000012,-107.6250048,23.8987499136
4e-09,-237.87493375999998,-107.6250048,23.88312491264
4.500000000000001e-09,-206.62493184000004,-123.25000576,23.86749991168
5e-09,-237.87493375999998,-138.87500672,23.83624990976
5.5000000000000004e-09,-222.24993280000012,-123.25000576,23.8206249088
6.000000000000001e-09,-222.24993280000012,-138.87500672,23.80499990784
6.5e-09,-237.87493375999998,-154.50000768,23.83624990976
7.000000000000001e-09,-253.49993472000006,-138.87500672,23.88312491264
7.500000000000001e-09,-237.87493375999998,-154.50000768,23.8987499136
8e-09,-237.87493375999998,-170.12500864,23.92999991552
8.5e-09,-253.49993472000006,-170.12500864,23.96124991744
9.000000000000001e-09,-237.87493375999998,-154.50000768,23.96124991744
9.5e-09,-222.24993280000012,-170.12500864,23.99249991936
1e-08,-253.49993472000006,-170.12500864,23.99249991936
1.0500000000000001e-08,-237.87493375999998,-170.12500864,23.94562491648
1.1000000000000001e-08,-269.12493568000014,-201.37501056,23.92999991552
1.15e-08,-253.49993472000006,-185.7500096,23.88312491264
1.2000000000000002e-08,-284.74993664,-201.37501056,23.85187491072
1.2500000000000001e-08,-253.49993472000006,-201.37501056,23.8206249088
1.3e-08,-284.74993664,-217.00001152,23.80499990784
1.35e-08,-269.12493568000014,-217.00001152,23.80499990784
1.4000000000000001e-08,-269.12493568000014,-201.37501056,23.8206249088
1.45e-08,-284.74993664,-217.00001152,23.83624990976
1.5000000000000002e-08,-284.74993664,-217.00001152,23.86749991168
1.55e-08,-269.12493568000014,-217.00001152,23.85187491072
1.6e-08,-269.12493568000014,-217.00001152,23.86749991168
1.6500000000000002e-08,-284.74993664,-232.62501247999998,23.88312491264
1.7e-08,-269.12493568000014,-217.00001152,23.88312491264
1.75e-08,-253.49993472000006,-232.62501247999998,23.91437491456
1.8000000000000002e-08,-269.12493568000014,-217.00001152,23.92999991552
1.85e-08,-269.12493568000014,-217.00001152,23.91437491456
1.9e-08,-284.74993664,-232.62501247999998,23.91437491456
1.9500000000000003e-08,-284.74993664,-232.62501247999998,23.94562491648
2e-08,-269.12493568000014,-248.25001344,23.94562491648
2.05e-08,-253.49993472000006,-248.25001344,23.94562491648
2.1000000000000003e-08,-269.12493568000014,-263.8750144,23.94562491648
2.15e-08,-269.12493568000014,-263.8750144,23.96124991744
2.2000000000000002e-08,-253.49993472000006,-248.25001344,23.99249991936
2.2500000000000003e-08,-269.12493568000014,-263.8750144,24.02374992128
2.3e-08,-269.12493568000014,-263.8750144,24.0549999232
2.3500000000000002e-08,-237.87493375999998,-248.25001344,24.0549999232
2.4000000000000003e-08,-253.49993472000006,-263.8750144,24.0549999232
2.45e-08,-269.12493568000014,-279.50001536,24.08624992512
2.5000000000000002e-08,-253.49993472000006,-248.25001344,24.07062492416
2.55e-08,-237.87493375999998,-279.50001536,24.07062492416
2.6e-08,-253.49993472000006,-263.8750144,24.02374992128
2.6500000000000002e-08,-237.87493375999998,-263.8750144,23.94562491648
2.7e-08,-253.49993472000006,-279.50001536,23.92999991552
2.75e-08,-253.49993472000006,-263.8750144,23.91437491456
2.8000000000000003e-08,-237.87493375999998,-279.50001536,23.8987499136
2.85e-08,-222.24993280000012,-279.50001536,23.88312491264
