Time (s),V_TANK_IN,I_PRI,V_TANK_OUT,I_SEC
0.0,-68.75002368,-1.2500000768000001,40.62500608,-0.7499993087999997
5e-10,-68.75002368,-1.1875000832,37.5000064,-0.7499993087999997
1e-09,-62.500024319999994,-1.2500000768000001,43.75000575999999,-0.7499993087999997
1.5000000000000002e-09,-65.625024,-1.2500000768000001,37.5000064,-0.7499993087999997
2e-09,-68.75002368,-1.3125000704,34.37500672,-0.6249993215999998
2.5e-09,-68.75002368,-1.2500000768000001,34.37500672,-0.6249993215999998
3.0000000000000004e-09,-65.625024,-1.2500000768000001,34.37500672,-0.7499993087999997
3.5000000000000003e-09,-65.625024,-1.2500000768000001,31.25000704,-0.6874993152000002
4e-09,-65.625024,-1.3125000704,31.25000704,-0.6249993215999998
4.500000000000001e-09,-68.75002368,-1.2500000768000001,28.125007359999998,-0.6249993215999998
5e-09,-68.75002368,-1.2500000768000001,28.125007359999998,-0.5624993279999995
5.5000000000000004e-09,-68.75002368,-1.1875000832,25.000007679999996,-0.4999993344
6.000000000000001e-09,-65.625024,-1.2500000768000001,28.125007359999998,-0.4999993344
6.5e-09,-65.625024,-1.2500000768000001,25.000007679999996,-0.4999993344
7.000000000000001e-09,-65.625024,-1.1875000832,25.000007679999996,-0.43749934079999964
7.500000000000001e-09,-65.625024,-1.1875000832,21.875007999999994,-0.37499934720000017
8e-09,-65.625024,-1.1875000832,18.750008319999992,-0.37499934720000017
8.5e-09,-65.625024,-1.1875000832,15.62500863999999,-0.37499934720000017
9.000000000000001e-09,-65.625024,-1.1875000832,21.875007999999994,-0.37499934720000017
9.5e-09,-65.625024,-1.1875000832,18.750008319999992,-0.3124993535999998
1e-08,-65.625024,-1.2500000768000001,15.62500863999999,-0.3124993535999998
1.0500000000000001e-08,-65.625024,-1.1875000832,12.500008960000002,-0.24999935999999945
1.1000000000000001e-08,-62.500024319999994,-1.1875000832,15.62500863999999,-0.24999935999999945
1.15e-08,-65.625024,-1.1875000832,12.500008960000002,-0.24999935999999945
1.2000000000000002e-08,-62.500024319999994,-1.1875000832,6.2500095999999985,-0.24999935999999945
1.2500000000000001e-08,-65.625024,-1.1875000832,9.37500928,-0.18749936639999998
1.3e-08,-68.75002368,-1.1250000896,9.37500928,-0.12499937279999962
1.35e-08,-62.500024319999994,-1.062500096,3.1250099199999966,-0.12499937279999962
1.4000000000000001e-08,-65.625024,-1.1250000896,6.2500095999999985,-0.06249937920000015
1.45e-08,-62.500024319999994,-1.062500096,3.1250099199999966,-0.06249937920000015
1.5000000000000002e-08,-65.625024,-1.062500096,1.0239999994610116e-05,-0.06249937920000015
