ROUT,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_DS_A_pp,V_DS_B_pp,V_DS_A_max,V_DS_B_max,MR_FREQ,V_MR_PP,V_RECT_PP,V_RECT_RMS
50.0,24.997435,1.73711184,43.4233403081304,0.003331399,0.001525856,6.469591e-07,57.0,59.0,57.0,59.0,13600000.0,131.0,125.0,43.18
50.5,25.010511,1.73764859,43.459479174329495,0.003498738,0.001522929,2.616879e-07,56.0,59.0,57.0,59.0,13500000.0,130.0,125.0,43.16
51.0,25.011966,1.7378661,43.4674478057526,0.003543384,0.001574633,1.215581e-07,56.0,59.0,56.0,59.0,13500000.0,130.0,125.0,43.03
51.5,25.012622,1.73798505,43.4715630973011,0.003327857,0.001587425,5.331677e-07,56.0,59.0,56.0,59.0,13500000.0,131.0,125.0,42.99
52.0,25.012942,1.73809586,43.47489093662012,0.003431236,0.001600536,-1.853764e-07,57.0,59.0,57.0,59.0,13500000.0,130.0,125.0,43.13
52.5,25.014275,1.73814436,43.478421010739,0.003351831,0.001461837,-3.309081e-08,57.0,59.0,56.0,59.0,13600000.0,130.0,125.0,43.09
53.0,25.013449,1.73815617,43.47728071233033,0.003364006,0.001540766,2.468305e-07,56.0,59.0,56.0,60.0,13600000.0,130.0,125.0,43.06
53.5,25.013728,1.73823788,43.47980952961664,0.003396793,0.001566149,3.454276e-07,56.0,59.0,56.0,59.0,13600000.0,130.0,123.0,43.16
54.0,25.013951,1.73826562,43.48089104366462,0.003523587,0.001575578,6.868039e-07,57.0,59.0,57.0,59.0,13600000.0,128.0,123.0,43.15
54.5,25.013895,1.73833032,43.4824120997964,0.003381001,0.001509188,2.488568e-07,57.0,59.0,57.0,59.0,13500000.0,131.0,125.0,43.06
55.0,25.01394,1.738344,43.48283251536,0.003356354,0.001506272,1.384404e-08,57.0,59.0,57.0,59.0,13600000.0,130.0,123.0,43.15
55.5,25.014118,1.73839368,43.48438464197424,0.003416834,0.001620024,5.439737e-07,56.0,59.0,57.0,59.0,13600000.0,130.0,123.0,43.15
56.0,25.014346,1.73848535,43.4870740608311,0.003350071,0.001580421,2.137398e-07,56.0,59.0,56.0,59.0,13600000.0,130.0,123.0,43.29
56.5,25.014187,1.73853766,43.488106133782416,0.003412639,0.001472303,2.957919e-07,56.0,59.0,56.0,59.0,13600000.0,131.0,123.0,43.08
