Time (s),VGS_A,VGS_B,VDS_A,VDS_B,"[""CRTL_A"", ""IN_A"", ""CRTL_B"", ""IN_B"", ""nEN""]"
0.0,4.890625407999999,-0.1093748992000001,-1.2499957760000058,47.499999232,768
5e-10,4.890625407999999,0.04687511039999981,-1.2499957760000058,48.124999168,768
1e-09,4.890625407999999,-0.1093748992000001,-1.8749957120000005,48.749999104,768
1.5000000000000002e-09,4.890625407999999,-0.18749990400000005,-1.8749957120000005,49.37499904,768
2e-09,4.890625407999999,-0.2656249088,-2.4999956480000023,50.624998912,512
2.5e-09,4.9687504127999995,-0.1093748992000001,-1.2499957760000058,51.249998848000004,512
3.0000000000000004e-09,5.0468754176,-0.031249894400000144,-1.2499957760000058,50.624998912,512
3.5000000000000003e-09,5.0468754176,-0.031249894400000144,-1.8749957120000005,50.624998912,0
4e-09,4.9687504127999995,-0.031249894400000144,-1.8749957120000005,51.249998848000004,0
4.500000000000001e-09,4.890625407999999,-0.1093748992000001,-1.2499957760000058,52.49999872,0
5e-09,4.890625407999999,-0.18749990400000005,-1.8749957120000005,53.124998656,0
5.5000000000000004e-09,4.890625407999999,-0.18749990400000005,-2.4999956480000023,53.749998592,0
6.000000000000001e-09,4.890625407999999,-0.1093748992000001,-2.4999956480000023,53.124998656,0
6.5e-09,4.890625407999999,-0.18749990400000005,-0.624995840000004,53.749998592,0
7.000000000000001e-09,4.9687504127999995,-0.2656249088,-1.8749957120000005,54.374998528,0
7.500000000000001e-09,4.9687504127999995,-0.2656249088,-1.2499957760000058,54.374998528,0
8e-09,4.890625407999999,-0.18749990400000005,-1.2499957760000058,54.999998464,0
8.5e-09,4.8125004032,-0.031249894400000144,-1.2499957760000058,54.999998464,0
9.000000000000001e-09,4.8125004032,-0.1093748992000001,-1.8749957120000005,55.6249984,0
9.5e-09,4.8125004032,-0.18749990400000005,-1.8749957120000005,56.249998336000004,0
1e-08,4.9687504127999995,-0.18749990400000005,-2.4999956480000023,56.249998336000004,0
1.0500000000000001e-08,4.8125004032,-0.1093748992000001,-1.2499957760000058,55.6249984,0
1.1000000000000001e-08,4.8125004032,-0.1093748992000001,-1.2499957760000058,55.6249984,0
1.15e-08,4.8125004032,-0.1093748992000001,-1.8749957120000005,54.999998464,0
1.2000000000000002e-08,4.734375398399999,-0.1093748992000001,-1.8749957120000005,55.6249984,0
1.2500000000000001e-08,4.8125004032,-0.18749990400000005,-1.2499957760000058,55.6249984,0
1.3e-08,4.8125004032,-0.18749990400000005,-2.4999956480000023,56.249998336000004,0
1.35e-08,4.9687504127999995,-0.18749990400000005,-1.8749957120000005,56.874998272,0
1.4000000000000001e-08,4.8125004032,-0.1093748992000001,-2.4999956480000023,55.6249984,0
1.45e-08,4.8125004032,-0.1093748992000001,-1.8749957120000005,54.999998464,0
1.5000000000000002e-08,4.8125004032,-0.18749990400000005,-2.4999956480000023,55.6249984,0
1.55e-08,4.9687504127999995,-0.1093748992000001,-1.8749957120000005,54.999998464,0
1.6e-08,5.0468754176,-0.031249894400000144,-1.8749957120000005,54.374998528,0
1.6500000000000002e-08,4.890625407999999,0.04687511039999981,-1.8749957120000005,54.374998528,0
1.7e-08,4.8125004032,-0.18749990400000005,-2.4999956480000023,54.374998528,0
1.75e-08,4.734375398399999,-0.2656249088,-2.4999956480000023,53.124998656,0
1.8000000000000002e-08,4.8125004032,-0.18749990400000005,-2.4999956480000023,53.124998656,0
1.85e-08,4.8125004032,-0.1093748992000001,-1.2499957760000058,52.49999872,0
1.9e-08,4.8125004032,-0.1093748992000001,-0.624995840000004,51.249998848000004,0
1.9500000000000003e-08,4.8125004032,-0.18749990400000005,-1.8749957120000005,50.624998912,0
2e-08,4.8125004032,-0.1093748992000001,-1.8749957120000005,50.624998912,0
2.05e-08,4.6562503936,-0.18749990400000005,-1.2499957760000058,49.37499904,0
2.1000000000000003e-08,4.10937536,-0.18749990400000005,-2.4999956480000023,48.124999168,0
2.15e-08,3.4843753216,-0.18749990400000005,-3.124995584000004,47.499999232,0
2.2000000000000002e-08,3.0937502975999998,-0.1093748992000001,-2.4999956480000023,45.624999424,0
2.2500000000000003e-08,2.7812502784,-0.18749990400000005,-1.2499957760000058,44.999999488,0
2.3e-08,2.3125002495999993,-0.18749990400000005,-2.4999956480000023,44.374999552,0
2.3500000000000002e-08,1.375000192,-0.18749990400000005,-0.624995840000004,43.749999616,0
2.4000000000000003e-08,0.4375001344,-0.2656249088,0.6250040319999997,42.499999744,0
2.45e-08,-0.6562499328,-0.1093748992000001,3.125003776,41.874999808,0
2.5000000000000002e-08,-1.4374999808,-0.2656249088,6.250003456000002,40.0,0
2.55e-08,-1.9062500096,-0.2656249088,8.750003199999998,38.750000127999996,0
2.6e-08,-2.0625000192,-0.18749990400000005,11.875002879999997,37.500000256,0
2.6500000000000002e-08,-2.2187500287999997,-0.1093748992000001,14.375002623999997,35.625000448,0
