Time (s),V_PRI
0.0,-35.33749606400001
5e-10,-32.212495872000005
1e-09,-32.212495872000005
1.5000000000000002e-09,-30.64999577600001
2e-09,-27.52499558400001
2.5e-09,-27.52499558400001
3.0000000000000004e-09,-25.962495488000002
3.5000000000000003e-09,-22.837495296000014
4e-09,-22.837495296000014
4.500000000000001e-09,-22.837495296000014
5e-09,-19.712495104000013
5.5000000000000004e-09,-19.712495104000013
6.000000000000001e-09,-16.58749491200001
6.5e-09,-16.58749491200001
7.000000000000001e-09,-15.024994816000003
7.500000000000001e-09,-13.46249472000001
8e-09,-11.899994624000016
8.5e-09,-8.774994432000014
9.000000000000001e-09,-10.337494528000008
9.5e-09,-7.212494336000006
1e-08,-7.212494336000006
1.0500000000000001e-08,-5.649994240000012
1.1000000000000001e-08,-5.649994240000012
1.15e-08,-2.5249940480000106
1.2000000000000002e-08,-0.9624939520000027
1.2500000000000001e-08,-2.5249940480000106
1.3e-08,2.162506239999985
1.35e-08,0.6000061439999911
1.4000000000000001e-08,2.162506239999985
1.45e-08,3.7250063359999928
1.5000000000000002e-08,5.2875064319999865
1.55e-08,5.2875064319999865
1.6e-08,5.2875064319999865
1.6500000000000002e-08,9.975006719999996
1.7e-08,6.850006527999994
1.75e-08,8.412506623999988
1.8000000000000002e-08,9.975006719999996
1.85e-08,9.975006719999996
1.9e-08,9.975006719999996
1.9500000000000003e-08,11.53750681599999
2e-08,9.975006719999996
2.05e-08,11.53750681599999
2.1000000000000003e-08,13.100006911999998
2.15e-08,14.662507007999992
2.2000000000000002e-08,14.662507007999992
2.2500000000000003e-08,14.662507007999992
2.3e-08,14.662507007999992
2.3500000000000002e-08,16.225007103999985
2.4000000000000003e-08,16.225007103999985
2.45e-08,17.787507199999993
2.5000000000000002e-08,14.662507007999992
2.55e-08,17.787507199999993
2.6e-08,17.787507199999993
2.6500000000000002e-08,16.225007103999985
2.7e-08,16.225007103999985
2.75e-08,17.787507199999993
2.8000000000000003e-08,17.787507199999993
2.85e-08,16.225007103999985
2.9e-08,17.787507199999993
2.9500000000000003e-08,17.787507199999993
3.0000000000000004e-08,17.787507199999993
3.05e-08,17.787507199999993
3.1e-08,16.225007103999985
3.1500000000000004e-08,17.787507199999993
3.2e-08,17.787507199999993
3.25e-08,19.350007295999987
3.3000000000000004e-08,17.787507199999993
3.35e-08,19.350007295999987
3.4e-08,19.350007295999987
3.4500000000000005e-08,19.350007295999987
3.5e-08,19.350007295999987
3.55e-08,19.350007295999987
3.6000000000000005e-08,20.912507391999995
3.65e-08,17.787507199999993
3.7e-08,19.350007295999987
3.7500000000000005e-08,19.350007295999987
3.8e-08,20.912507391999995
3.85e-08,20.912507391999995
3.9000000000000005e-08,22.47500748799999
3.95e-08,22.47500748799999
4e-08,22.47500748799999
4.0500000000000005e-08,24.037507583999997
4.1e-08,24.037507583999997
4.15e-08,24.037507583999997
4.2000000000000006e-08,25.60000767999999
4.2500000000000003e-08,27.162507775999984
4.3e-08,25.60000767999999
4.3500000000000006e-08,27.162507775999984
4.4000000000000004e-08,28.725007871999992
4.45e-08,27.162507775999984
4.5000000000000006e-08,28.725007871999992
4.5500000000000004e-08,30.287507968
4.6e-08,30.287507968
4.6500000000000006e-08,30.287507968
4.7000000000000004e-08,31.85000806399998
4.75e-08,33.41250815999999
4.8000000000000006e-08,33.41250815999999
