Time (s),VGS_A,VGS_B,VDS_A,VDS_B,"[""CRTL_A"", ""IN_A"", ""CRTL_B"", ""IN_B"", ""nEN"", ""GATE_1"", ""GATE_2""]"
0.0,4.9687504127999995,-0.031249894400000144,-1.8749957120000005,46.249999360000004,8960
5e-10,4.890625407999999,-0.1093748992000001,-1.8749957120000005,46.874999296,8704
1e-09,4.9687504127999995,-0.18749990400000005,-1.8749957120000005,47.499999232,8704
1.5000000000000002e-09,4.890625407999999,-0.2656249088,-1.2499957760000058,48.124999168,8704
2e-09,4.9687504127999995,-0.1093748992000001,-1.8749957120000005,46.874999296,8704
2.5e-09,4.9687504127999995,-0.031249894400000144,-1.8749957120000005,47.499999232,8192
3.0000000000000004e-09,4.890625407999999,-0.1093748992000001,-2.4999956480000023,48.124999168,8192
3.5000000000000003e-09,4.8125004032,-0.18749990400000005,-1.8749957120000005,48.749999104,8192
4e-09,4.8125004032,-0.2656249088,-2.4999956480000023,49.37499904,8192
4.500000000000001e-09,4.734375398399999,-0.1093748992000001,-1.8749957120000005,49.999998976,8192
5e-09,4.8125004032,-0.1093748992000001,-1.8749957120000005,49.999998976,8192
5.5000000000000004e-09,4.734375398399999,-0.1093748992000001,-1.8749957120000005,49.999998976,8192
6.000000000000001e-09,4.890625407999999,-0.1093748992000001,-2.4999956480000023,49.999998976,8192
6.5e-09,4.890625407999999,-0.1093748992000001,-1.2499957760000058,50.624998912,8192
7.000000000000001e-09,4.9687504127999995,-0.18749990400000005,-1.8749957120000005,50.624998912,8192
7.500000000000001e-09,4.890625407999999,-0.031249894400000144,-1.2499957760000058,51.249998848000004,8192
8e-09,4.890625407999999,-0.031249894400000144,-1.2499957760000058,52.49999872,8192
8.5e-09,4.890625407999999,-0.031249894400000144,-1.8749957120000005,51.874998784,8192
9.000000000000001e-09,4.734375398399999,-0.1093748992000001,-1.2499957760000058,51.249998848000004,8192
9.5e-09,4.8125004032,-0.031249894400000144,-1.2499957760000058,52.49999872,8192
1e-08,4.890625407999999,-0.031249894400000144,-2.4999956480000023,51.874998784,8192
1.0500000000000001e-08,4.8125004032,-0.031249894400000144,-1.8749957120000005,51.874998784,8192
1.1000000000000001e-08,4.8125004032,0.04687511039999981,-2.4999956480000023,52.49999872,8192
1.15e-08,4.8125004032,-0.031249894400000144,-1.8749957120000005,51.249998848000004,8192
1.2000000000000002e-08,4.8125004032,-0.031249894400000144,-2.4999956480000023,51.874998784,8192
1.2500000000000001e-08,4.890625407999999,-0.031249894400000144,-1.8749957120000005,52.49999872,8192
1.3e-08,4.890625407999999,-0.1093748992000001,-1.8749957120000005,52.49999872,8192
1.35e-08,4.890625407999999,-0.1093748992000001,-2.4999956480000023,52.49999872,8192
