ROUT,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_DS_A,V_DS_B,MR_FREQ,V_MR_PP,V_SEC_PP
50.0,24.991103,1.20395266,30.088104933183978,36.24602,0.7248518,26.27287,59.0,59.0,13300000.0,114.0,8.4
50.5,24.991077,1.21488183,30.361205359430908,36.60879,0.7248252,26.53533,60.0,59.0,13500000.0,114.0,8.4
51.0,24.990842,1.22570113,30.631303279051462,36.9701,0.7248557,26.79709,60.0,59.0,13500000.0,114.0,8.6
51.5,24.9908,1.23647847,30.900586148076002,37.3326,0.7247686,27.05612,60.0,59.0,13500000.0,114.0,8.8
52.0,24.990563,1.24722566,31.168871431446583,37.69553,0.7244908,27.31104,61.0,59.0,13500000.0,114.0,8.8
52.5,24.990469,1.25804541,31.439144819197292,38.05807,0.7245482,27.5721,60.0,59.0,13300000.0,116.0,8.8
53.0,24.990399,1.26878812,31.70752136525988,38.42403,0.7246535,27.83899,60.0,59.0,13400000.0,113.0,8.8
53.5,24.990382,1.27947153,31.974482292824458,38.78425,0.7248056,28.11084,59.0,59.0,13500000.0,114.0,9.1
54.0,24.990207,1.2901718,32.2416603475626,39.14893,0.7244269,28.36469,61.0,59.0,13500000.0,114.0,9.2
54.5,24.990134,1.30084262,32.50823138671108,39.50993,0.7243524,28.62186,60.0,59.0,13500000.0,114.0,9.2
55.0,24.990447,1.31148035,32.77448017821645,39.87095,0.7243564,28.88209,59.0,59.0,13500000.0,114.0,9.2
55.5,24.990378,1.32219306,33.04210435837668,40.23404,0.7243549,29.14245,60.0,59.0,13500000.0,114.0,9.4
56.0,24.990263,1.33291402,33.30987191618726,40.59965,0.7241727,29.4058,60.0,59.0,13500000.0,114.0,9.4
56.5,24.99018,1.34256466,33.5509325150388,40.9254,0.7242586,29.63684,59.0,59.0,13500000.0,114.0,9.5
57.0,24.990063,1.35280471,33.80667492959673,41.27936,0.7239009,29.87773,59.0,59.0,13500000.0,114.0,9.4
57.5,24.989975,1.36328221,34.06838834584475,41.63358,0.7237335,30.14316,60.0,59.0,13500000.0,114.0,9.7
58.0,24.989924,1.3731922,34.3159687153928,41.98256,0.7237671,30.38809,60.0,59.0,13700000.0,114.0,9.7
58.5,24.989961,1.38394763,34.58479729974243,42.33736,0.723612,30.63806,60.0,59.0,13500000.0,114.0,9.8
59.0,24.989957,1.39408573,34.83814244701361,42.69841,0.7235333,30.89356,59.0,59.0,13500000.0,114.0,9.8
59.5,24.989894,1.40449056,35.098070218400636,43.05388,0.7233765,31.14412,59.0,59.0,13500000.0,114.0,9.8
60.0,24.989938,1.41488946,35.35799988225347,43.41882,0.7232826,31.41323,60.0,59.0,13500000.0,114.0,10.0
60.5,24.989944,1.42536544,35.61980252513536,43.7574,0.7231876,31.65351,59.0,59.0,13500000.0,113.0,10.0
