Time (s),V_PRI,V_SEC,V_IN,V_OUT
0.0,-22.350051839999992,-199.94998272,21.74875004928,-0.002824978880000023
5e-10,-22.350051839999992,-199.94998272,21.75500004864,-0.005949978560000013
1e-09,-22.350051839999992,-212.44998144,21.74250004992,-0.009074978240000003
1.5000000000000002e-09,-16.100052480000045,-212.44998144,21.74250004992,-0.002824978880000023
2e-09,-16.100052480000045,-212.44998144,21.74250004992,-0.002824978880000023
2.5e-09,-16.100052480000045,-212.44998144,21.74875004928,-0.009074978240000003
3.0000000000000004e-09,-3.600053760000037,-206.19998207999998,21.75500004864,-0.005949978560000013
3.5000000000000003e-09,-3.600053760000037,-212.44998144,21.75500004864,-0.002824978880000023
4e-09,-16.100052480000045,-206.19998207999998,21.75500004864,-0.005949978560000013
4.500000000000001e-09,-3.600053760000037,-199.94998272,21.75500004864,-0.005949978560000013
5e-09,2.6499456000000237,-206.19998207999998,21.74875004928,-0.005949978560000013
5.5000000000000004e-09,2.6499456000000237,-212.44998144,21.7300000512,-0.009074978240000003
6.000000000000001e-09,8.89994495999997,-206.19998207999998,21.717500052480002,-0.005949978560000013
6.5e-09,15.149944320000031,-206.19998207999998,21.69250005504,-0.005949978560000013
7.000000000000001e-09,15.149944320000031,-199.94998272,21.6987500544,-0.012199977920000021
7.500000000000001e-09,15.149944320000031,-206.19998207999998,21.70500005376,-0.005949978560000013
8e-09,15.149944320000031,-206.19998207999998,21.6987500544,-0.002824978880000023
8.5e-09,21.39994367999998,-199.94998272,21.6987500544,-0.005949978560000013
9.000000000000001e-09,27.64994304000004,-212.44998144,21.68625005568,-0.009074978240000003
9.5e-09,40.14994176000005,-206.19998207999998,21.69250005504,0.00030002079999999487
1e-08,33.899942399999986,-206.19998207999998,21.68000005632,-0.005949978560000013
1.0500000000000001e-08,40.14994176000005,-199.94998272,21.68000005632,-0.005949978560000013
1.1000000000000001e-08,46.399941119999994,-199.94998272,21.68000005632,-0.005949978560000013
1.15e-08,40.14994176000005,-206.19998207999998,21.67375005696,-0.005949978560000013
1.2000000000000002e-08,40.14994176000005,-199.94998272,21.66125005824,-0.002824978880000023
