VIN,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_GS_A_pp,V_GS_A_amp,V_GS_A_max,V_GS_A_top,V_GS_A_min,V_GS_A_bot,V_GS_B_pp,V_GS_B_amp,V_GS_B_max,V_GS_B_top,V_GS_B_min,V_GS_B_bot,V_DS_A_pp,V_DS_A_amp,V_DS_A_max,V_DS_A_top,V_DS_A_min,V_DS_A_bot,V_DS_B_pp
18.0,17.983419,0.0907260986,1.6315654453591135,0.03417579,0.001602605,2.045956e-05,7.5,4.94,5.44,4.88,-2.0,-0.06,7.25,4.88,5.63,4.88,-1.63,-0.06,41.9,36.3,36.9,35.0,-5.0,-1.9,35.0
18.5,18.482468,0.09265145,1.7124274597786,0.03504241,0.001551179,2.179265e-05,7.5,4.88,5.44,4.88,-2.06,-0.06,7.31,4.94,5.56,4.88,-1.63,-0.06,42.5,38.1,38.1,35.6,-5.0,-1.9,41.3
19.0,18.981547,0.0946899392,1.7973615313519424,0.03584676,0.001574161,2.341071e-05,7.44,4.88,5.44,4.88,-2.0,-0.06,7.25,4.94,5.56,4.88,-1.63,-0.06,43.8,39.4,39.4,35.6,-5.0,-1.9,42.5
19.5,19.478909,0.0967670014,1.8849156144734727,0.03691228,0.001585718,2.301128e-05,7.5,4.88,5.5,4.94,-2.0,0.0,7.25,4.94,5.63,4.88,-1.63,-0.06,45.0,40.0,40.6,36.9,-5.0,-1.9,43.8
20.0,19.976666,0.0988406571,1.974506794107229,0.03821624,0.001554357,2.440484e-05,7.5,4.94,5.44,4.88,-2.0,0.0,7.19,4.94,5.56,4.88,-1.63,-0.06,46.9,41.3,41.3,39.4,-5.0,-1.9,45.0
20.5,20.475316,0.100973559,2.067465528169644,0.03882708,0.00159236,2.392398e-05,7.5,4.88,5.5,4.88,-2.0,-0.06,7.19,4.88,5.56,4.88,-1.63,-0.13,47.5,40.6,42.5,39.4,-5.0,-1.9,45.6
21.0,20.972185,0.103099614,2.16222417823659,0.04005743,0.001568004,2.514802e-05,7.44,4.88,5.5,4.88,-2.0,-0.06,7.25,5.0,5.63,4.81,-1.63,-0.06,48.8,43.8,43.8,41.9,-5.0,-1.9,41.3
21.5,21.469968,0.105257271,2.259870240137328,0.04084348,0.001589766,2.494035e-05,7.44,4.88,5.5,4.88,-2.0,0.0,7.25,4.88,5.56,4.88,-1.69,-0.06,50.0,46.3,44.4,44.4,-5.0,-1.9,48.1
22.0,21.966141,0.107354453,2.358163051575873,0.04257262,0.00155083,2.76386e-05,7.56,4.88,5.5,4.88,-2.06,-0.06,7.25,4.88,5.56,5.0,-1.63,-0.06,50.6,47.5,45.6,43.1,-5.0,-1.9,49.4
22.5,22.462644,0.109471728,2.459024454128832,0.04365028,0.001556445,2.702745e-05,7.5,4.94,5.5,4.94,-1.94,0.0,7.19,5.0,5.56,4.88,-1.63,-0.06,52.5,48.8,46.9,44.4,-5.0,-1.9,50.0
23.0,22.957691,0.111582111,2.561667625465701,0.04489486,0.001569558,2.852395e-05,7.5,4.88,5.5,4.88,-2.0,0.0,7.19,5.0,5.63,4.81,-1.69,-0.06,53.1,47.5,48.1,45.6,-5.0,-1.9,51.3
23.5,23.452702,0.113771967,2.668260038004834,0.0459262,0.001561867,2.763897e-05,7.5,4.88,5.5,4.88,-2.0,0.0,7.19,4.94,5.56,4.88,-1.63,-0.06,53.8,48.8,48.8,46.9,-5.0,-1.9,52.5
24.0,23.94691,0.115933686,2.7762535446102596,0.04675283,0.00159376,3.052326e-05,7.44,4.88,5.56,4.88,-1.94,0.0,7.19,5.0,5.56,4.88,-1.63,-0.13,55.0,50.0,49.4,48.1,-5.6,-1.9,53.8
24.5,24.438496,0.118137923,2.887113158683808,0.0482656,0.001580464,3.060941e-05,7.5,4.94,5.5,4.88,-2.0,0.0,7.25,5.0,5.56,4.88,-1.75,-0.13,55.6,51.3,50.6,49.4,-5.0,-1.9,55.0
25.0,24.932106,0.12038338,3.00141119079828,0.04936988,0.001555185,3.12182e-05,7.5,4.88,5.5,4.88,-2.0,0.0,7.19,5.0,5.5,4.94,-1.69,-0.13,57.5,52.5,51.9,51.9,-5.0,-1.9,56.3
25.5,25.422478,0.12263716,3.11774050208248,0.05070112,0.001576051,3.199414e-05,7.44,4.88,5.44,4.88,-2.0,0.0,7.13,4.94,5.5,4.94,-1.63,-0.13,58.8,53.1,52.5,51.3,-5.6,-1.9,57.5
26.0,25.913402,0.124887957,3.236271834699714,0.05159047,0.001553139,3.299054e-05,7.63,4.88,5.5,4.88,-2.0,0.06,7.13,5.06,5.56,4.88,-1.63,-0.06,60.0,54.4,53.8,52.5,-6.3,-1.9,58.8
26.5,26.403003,0.127154505,3.357260776978515,0.052585,0.001592232,3.173787e-05,7.5,4.88,5.5,4.88,-2.06,0.0,7.13,5.0,5.5,4.88,-1.63,-0.13,60.6,55.0,55.0,53.1,-5.6,-1.9,60.0
27.0,26.892223,0.129425357,3.480535562298611,0.05388345,0.001713556,3.051108e-05,7.5,4.88,5.5,4.88,-1.94,0.0,7.06,5.0,5.44,4.88,-1.63,-0.13,61.3,56.3,56.3,54.4,-6.3,-1.9,61.3
27.5,27.379089,0.131646042,3.6043487004157377,0.0553148,0.001481964,-2.908684e-05,7.44,4.88,5.5,4.88,-1.94,0.0,7.13,4.94,5.44,4.88,-1.69,-0.06,63.8,57.5,57.5,55.6,-6.3,-1.9,61.9
28.0,27.865474,0.133950957,3.7326069095586183,0.05640187,0.001505238,-2.384665e-05,7.38,4.88,5.5,4.88,-2.0,0.0,7.06,4.94,5.44,4.88,-1.69,-0.06,64.4,58.1,58.1,56.3,-5.6,-1.9,56.3
