ROUT,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_GS_A_pp,V_GS_A_amp,V_GS_B_pp,V_GS_B_amp,V_DS_A_pp,V_DS_B_pp
61.5,25.002218,1.46660268,36.66831992474424,44.97077,0.7308946,32.86476,7.88,5.0,8.44,5.0,60.6,57.5
61.68502750680849,25.001309,1.47081822,36.77238080104998,45.11311,0.7307941,32.97032,7.88,5.0,8.44,5.0,61.3,57.5
62.0,25.001626,1.47695988,36.92639853676488,45.33226,0.7305802,33.12421,7.81,5.0,8.44,5.0,61.3,58.8
62.5,25.00161,1.48644866,37.163609682342596,45.6679,0.7305712,33.35822,7.81,5.0,8.44,4.94,61.3,57.5
63.0,25.001628,1.49603824,37.403391550254725,46.01627,0.7301343,33.60074,7.88,5.0,8.5,5.0,60.6,57.5
63.5,25.001633,1.50583853,37.64842228431949,46.35947,0.7299595,33.84008,7.88,5.0,8.5,5.0,60.0,57.5
64.0,25.001569,1.51592366,37.90046998422254,46.72836,0.7298566,34.10552,7.88,5.0,8.44,5.0,60.6,58.1
64.5,25.001575,1.52596583,38.15154914618225,47.08371,0.7297381,34.34878,7.81,5.0,8.5,5.0,60.6,57.5
65.0,25.00176,1.53521674,38.383120481462406,47.41772,0.7290848,34.57985,7.81,5.0,8.44,5.0,60.0,56.9
65.5,25.001771,1.54510958,38.63047588906618,47.77888,0.7289036,34.82686,7.88,5.0,8.44,5.0,61.3,56.9
66.0,25.003059,1.55421351,38.86009208912709,48.10941,0.7287122,35.05905,7.88,5.0,8.56,5.06,60.0,58.1
66.5,25.003161,1.56326318,39.08652097491198,48.43778,0.7280653,35.27351,7.88,5.0,8.44,5.06,60.0,56.9
67.0,25.003588,1.57088156,39.27767532303728,48.72607,0.7278845,35.46265,7.81,5.0,8.44,5.0,60.0,56.9
67.5,25.003435,1.5806657,39.5220720866795,49.08896,0.7270793,35.69254,7.88,5.0,8.44,5.0,60.0,56.9
68.0,25.003516,1.58942055,39.7411021526538,49.41508,0.7263938,35.90498,7.88,5.0,8.5,5.0,59.4,56.9
68.5,25.003442,1.5981156,39.9583907138952,49.73897,0.7260097,36.1119,7.88,5.06,8.56,5.0,59.4,56.3
69.0,25.003508,1.6054889,40.142854555061206,50.0224,0.7256436,36.30341,7.88,5.0,8.44,5.0,60.0,56.3
69.5,25.003537,1.61494996,40.37946107800852,50.38054,0.7249565,36.52509,7.88,5.0,8.5,5.06,59.4,56.9
70.0,25.003448,1.62443685,40.616522308258794,50.74325,0.7244869,36.7562,7.81,5.0,8.5,5.06,59.4,56.3
70.5,25.003711,1.63265006,40.82231026437266,51.06524,0.7240161,36.98481,7.81,5.0,8.5,5.06,58.8,56.9
71.0,25.003836,1.64026631,41.01294981156516,51.36327,0.723253,37.14006,7.88,5.0,8.5,5.0,58.8,56.9
71.5,25.004013,1.64776969,41.20085474976597,51.66691,0.7225735,37.33458,7.94,5.0,8.5,5.06,59.4,56.9
72.0,25.004059,1.65569882,41.39919098151038,51.98896,0.7217436,37.53192,7.81,5.0,8.5,5.06,59.4,56.3
72.5,25.004182,1.6613787,41.5414153857234,52.21501,0.7211701,37.66595,7.81,5.0,8.5,5.06,58.1,56.9
73.0,25.004675,1.67009233,41.760115931642744,52.57757,0.7202184,37.87026,7.81,5.0,8.56,5.0,58.8,56.3
73.5,25.004745,1.67772512,41.951088805694404,52.89427,0.719536,38.05939,7.81,5.0,8.56,5.0,58.1,56.3
74.0,25.005036,1.68521373,42.138829986344284,53.20958,0.718769,38.24564,7.81,5.0,8.5,5.06,58.1,56.9
74.5,25.0051,1.69171102,42.301403226202,53.48973,0.7179826,38.40336,7.81,5.0,8.63,5.06,57.5,56.3
