Time (s),VGS_A,VGS_B,VDS_A
0.0,4.8749993216,-0.1250001664,-0.624995840000004
5e-10,4.8749993216,-0.25000015360000005,-1.2499957760000058
1e-09,4.8124993279999995,-0.18750016000000014,-0.624995840000004
1.5000000000000002e-09,4.7499993344,-0.1250001664,-0.624995840000004
2e-09,4.6874993408,0.062499814399999964,-1.2499957760000058
2.5e-09,4.7499993344,-0.06250017280000009,-1.2499957760000058
3.0000000000000004e-09,4.6874993408,-0.1250001664,-1.2499957760000058
3.5000000000000003e-09,4.7499993344,-0.18750016000000014,-1.8749957120000005
4e-09,4.8124993279999995,-0.1250001664,-0.624995840000004
4.500000000000001e-09,4.8749993216,-0.18750016000000014,-0.624995840000004
5e-09,4.8749993216,-0.1250001664,-1.2499957760000058
5.5000000000000004e-09,4.9374993152,-0.1250001664,-0.624995840000004
6.000000000000001e-09,4.9999993088,-0.1250001664,-1.2499957760000058
6.5e-09,4.9374993152,-0.18750016000000014,-1.8749957120000005
7.000000000000001e-09,4.9999993088,-0.1250001664,-1.8749957120000005
7.500000000000001e-09,4.9999993088,-0.1250001664,-1.2499957760000058
8e-09,4.9374993152,-1.7920000017213056e-07,4.0959999978440464e-06
8.5e-09,4.8749993216,0.062499814399999964,-1.8749957120000005
9.000000000000001e-09,4.8749993216,-0.1250001664,-1.2499957760000058
9.5e-09,4.8124993279999995,-0.18750016000000014,-1.8749957120000005
1e-08,4.8124993279999995,-0.1250001664,-1.8749957120000005
1.0500000000000001e-08,4.9374993152,-0.1250001664,-1.8749957120000005
1.1000000000000001e-08,4.9374993152,-1.7920000017213056e-07,-1.8749957120000005
1.15e-08,4.9999993088,-1.7920000017213056e-07,-1.8749957120000005
1.2000000000000002e-08,4.9999993088,-0.06250017280000009,-1.2499957760000058
1.2500000000000001e-08,5.0624993024,-0.18750016000000014,-1.2499957760000058
1.3e-08,4.9999993088,-0.18750016000000014,-0.624995840000004
1.35e-08,4.9999993088,-0.06250017280000009,-0.624995840000004
1.4000000000000001e-08,4.9999993088,-1.7920000017213056e-07,-1.2499957760000058
1.45e-08,4.8749993216,-1.7920000017213056e-07,-1.8749957120000005
1.5000000000000002e-08,4.8749993216,-0.1250001664,-1.8749957120000005
1.55e-08,4.8749993216,-0.25000015360000005,-1.8749957120000005
1.6e-08,4.9374993152,-0.18750016000000014,-0.624995840000004
1.6500000000000002e-08,4.8749993216,-0.06250017280000009,-1.8749957120000005
1.7e-08,4.8749993216,-0.06250017280000009,-1.8749957120000005
1.75e-08,4.8749993216,-0.06250017280000009,-2.4999956480000023
1.8000000000000002e-08,4.9374993152,-0.18750016000000014,-2.4999956480000023
1.85e-08,5.0624993024,-0.18750016000000014,-2.4999956480000023
1.9e-08,5.0624993024,-0.06250017280000009,-2.4999956480000023
1.9500000000000003e-08,4.9374993152,-1.7920000017213056e-07,-3.124995584000004
2e-08,4.8749993216,-1.7920000017213056e-07,-1.8749957120000005
2.05e-08,4.9374993152,-0.06250017280000009,-1.8749957120000005
2.1000000000000003e-08,4.9374993152,-0.18750016000000014,-1.8749957120000005
2.15e-08,4.9374993152,-0.1250001664,-1.8749957120000005
2.2000000000000002e-08,4.8749993216,0.062499814399999964,-1.2499957760000058
2.2500000000000003e-08,4.8124993279999995,-0.06250017280000009,-1.8749957120000005
2.3e-08,4.8124993279999995,-0.1250001664,-1.8749957120000005
2.3500000000000002e-08,4.8749993216,-0.18750016000000014,-1.8749957120000005
2.4000000000000003e-08,4.7499993344,-0.18750016000000014,-1.2499957760000058
2.45e-08,4.1249993984,-0.06250017280000009,-1.8749957120000005
2.5000000000000002e-08,3.1249995007999996,-0.06250017280000009,-1.8749957120000005
2.55e-08,2.8124995327999995,-0.06250017280000009,-2.4999956480000023
2.6e-08,2.8124995327999995,-0.1250001664,-2.4999956480000023
2.6500000000000002e-08,2.6874995455999997,-0.18750016000000014,-1.8749957120000005
2.7e-08,2.0624996095999997,-0.1250001664,-1.8749957120000005
2.75e-08,1.2499996928,-1.7920000017213056e-07,-1.8749957120000005
2.8000000000000003e-08,0.49999976960000003,-1.7920000017213056e-07,-1.2499957760000058
2.85e-08,-0.18750016000000014,-0.1250001664,-1.8749957120000005
2.9e-08,-0.7500001024,-0.18750016000000014,-2.4999956480000023
2.9500000000000003e-08,-1.1875000575999999,-0.1250001664,-1.8749957120000005
3.0000000000000004e-08,-1.5000000256,-1.7920000017213056e-07,-1.2499957760000058
3.05e-08,-1.6875000064,-0.06250017280000009,-2.4999956480000023
3.1e-08,-1.8124999936,-0.1250001664,-3.124995584000004
3.1500000000000004e-08,-1.9999999744,-0.1250001664,-3.124995584000004
3.2e-08,-1.8124999936,-0.18750016000000014,-1.2499957760000058
3.25e-08,-1.5000000256,-0.06250017280000009,-1.8749957120000005
3.3000000000000004e-08,-0.9375000832,-0.06250017280000009,-1.8749957120000005
3.35e-08,-0.31250014719999997,-0.1250001664,-1.8749957120000005
3.4e-08,0.12499980799999988,-0.06250017280000009,-2.4999956480000023
3.4500000000000005e-08,0.37499978239999976,-0.18750016000000014,-1.8749957120000005
3.5e-08,0.49999976960000003,-0.06250017280000009,-2.4999956480000023
3.55e-08,0.6249997567999999,-0.06250017280000009,-1.8749957120000005
3.6000000000000005e-08,0.6874997503999998,-0.1250001664,0.6250040319999997
3.65e-08,0.8124997376,-0.06250017280000009,2.500003839999998
3.7e-08,0.7499997440000001,-0.18750016000000014,5.000003583999998
3.7500000000000005e-08,0.5624997632,-0.1250001664,7.500003327999998
3.8e-08,0.37499978239999976,-1.7920000017213056e-07,10.625003008
3.85e-08,0.31249978879999984,-0.06250017280000009,11.875002879999997
3.9000000000000005e-08,0.31249978879999984,-0.1250001664,11.250002943999998
3.95e-08,0.37499978239999976,-0.18750016000000014,11.250002943999998
4e-08,0.12499980799999988,-0.1250001664,12.500002815999999
4.0500000000000005e-08,-0.25000015360000005,-1.7920000017213056e-07,15.625002496
4.1e-08,-0.6875001088000001,-1.7920000017213056e-07,21.875001855999997
4.15e-08,-0.6250001152,-0.06250017280000009,26.250001408
4.2000000000000006e-08,-0.3750001408000001,-0.18750016000000014,28.125001216
4.2500000000000003e-08,-1.7920000017213056e-07,-0.18750016000000014,25.000001536
4.3e-08,-0.1250001664,-0.1250001664,20.625001984
4.3500000000000006e-08,-0.31250014719999997,-0.06250017280000009,20.625001984
4.4000000000000004e-08,-0.5000001279999999,-0.06250017280000009,28.125001216
4.45e-08,-0.31250014719999997,-0.06250017280000009,35.625000448
4.5000000000000006e-08,-0.06250017280000009,-0.18750016000000014,40.0
4.5500000000000004e-08,0.12499980799999988,-0.18750016000000014,39.375000064
4.6e-08,0.24999979519999993,-0.1250001664,34.375000576
4.6500000000000006e-08,-1.7920000017213056e-07,-0.06250017280000009,31.250000896
4.7000000000000004e-08,-0.06250017280000009,-0.06250017280000009,34.375000576
4.75e-08,0.062499814399999964,-0.1250001664,39.375000064
4.8000000000000006e-08,0.18749980160000002,-0.18750016000000014,43.749999616
4.8500000000000004e-08,0.31249978879999984,-0.25000015360000005,41.874999808
4.9e-08,0.062499814399999964,-0.18750016000000014,41.249999872000004
4.95e-08,-0.18750016000000014,-0.18750016000000014,41.874999808
5.0000000000000004e-08,-0.25000015360000005,-0.1250001664,44.999999488
5.05e-08,-1.7920000017213056e-07,-0.18750016000000014,47.499999232
5.1e-08,0.18749980160000002,-0.25000015360000005,45.624999424
5.1500000000000005e-08,0.12499980799999988,-0.25000015360000005,41.874999808
5.2e-08,-0.18750016000000014,-0.25000015360000005,41.249999872000004
5.25e-08,-0.3750001408000001,-0.25000015360000005,44.374999552
5.3000000000000005e-08,-0.3750001408000001,-0.31250014719999997,49.37499904
5.35e-08,-0.18750016000000014,-0.31250014719999997,53.124998656
5.4e-08,0.062499814399999964,-0.3750001408000001,50.624998912
5.4500000000000005e-08,-1.7920000017213056e-07,-0.3750001408000001,44.374999552
5.5e-08,-0.06250017280000009,-0.31250014719999997,42.499999744
5.55e-08,-0.1250001664,-0.31250014719999997,43.12499968
5.6000000000000005e-08,-0.1250001664,-0.31250014719999997,48.124999168
5.65e-08,-1.7920000017213056e-07,-0.3750001408000001,49.37499904
5.7e-08,-0.06250017280000009,-0.3750001408000001,48.749999104
5.7500000000000005e-08,-0.06250017280000009,-0.3750001408000001,46.874999296
5.8e-08,-1.7920000017213056e-07,-0.31250014719999997,45.624999424
5.85e-08,0.062499814399999964,-0.31250014719999997,46.249999360000004
5.9000000000000006e-08,0.062499814399999964,-0.18750016000000014,45.624999424
5.9500000000000003e-08,0.062499814399999964,-0.06250017280000009,43.12499968
6.000000000000001e-08,-0.06250017280000009,0.24999979519999993,43.12499968
6.05e-08,-0.18750016000000014,0.5624997632,42.499999744
6.1e-08,-0.18750016000000014,0.9999997183999998,43.749999616
6.15e-08,-0.1250001664,1.5624996608,47.499999232
6.2e-08,-1.7920000017213056e-07,2.1874995968,47.499999232
6.250000000000001e-08,-1.7920000017213056e-07,2.8749995264,43.749999616
6.300000000000001e-08,-1.7920000017213056e-07,3.4999994624,40.624999936
6.35e-08,-0.06250017280000009,3.8749994239999994,38.125000192
6.4e-08,-1.7920000017213056e-07,4.187499391999999,40.624999936
6.45e-08,-1.7920000017213056e-07,4.2499993856,41.249999872000004
6.5e-08,-0.1250001664,4.3124993792,43.12499968
6.55e-08,-0.18750016000000014,4.5624993536,41.874999808
6.600000000000001e-08,-0.18750016000000014,4.8749993216,40.0
6.65e-08,-0.06250017280000009,5.0624993024,39.375000064
6.7e-08,-0.06250017280000009,5.1249992959999995,37.500000256
6.75e-08,-1.7920000017213056e-07,5.249999283199999,36.87500032
6.8e-08,-1.7920000017213056e-07,5.3749992704,37.500000256
6.85e-08,0.062499814399999964,5.562499251199999,37.500000256
6.900000000000001e-08,-0.1250001664,5.6874992384,37.500000256
6.950000000000001e-08,-0.1250001664,5.8124992256,38.750000127999996
7e-08,-0.18750016000000014,5.7499992319999995,38.750000127999996
7.05e-08,-0.06250017280000009,5.6249992448,37.500000256
7.1e-08,-1.7920000017213056e-07,5.562499251199999,35.625000448
7.15e-08,0.062499814399999964,5.4999992576,34.375000576
7.200000000000001e-08,-0.06250017280000009,5.3749992704,34.375000576
7.250000000000001e-08,-0.1250001664,5.1874992896,34.375000576
7.3e-08,-0.18750016000000014,5.0624993024,36.250000384
7.35e-08,-0.06250017280000009,4.9999993088,36.250000384
7.4e-08,-1.7920000017213056e-07,5.0624993024,36.250000384
7.45e-08,-1.7920000017213056e-07,5.0624993024,35.625000448
7.500000000000001e-08,-0.06250017280000009,4.9999993088,34.375000576
7.550000000000001e-08,-0.1250001664,4.8749993216,33.750000639999996
7.6e-08,-0.1250001664,4.8124993279999995,35.000000512
7.65e-08,-1.7920000017213056e-07,4.8124993279999995,35.625000448
7.7e-08,0.062499814399999964,4.7499993344,35.000000512
7.75e-08,-0.06250017280000009,4.6874993408,36.250000384
7.800000000000001e-08,-0.06250017280000009,4.6249993472,37.500000256
7.850000000000001e-08,-0.25000015360000005,4.4999993599999994,37.500000256
7.9e-08,-0.06250017280000009,4.4999993599999994,36.250000384
7.95e-08,-1.7920000017213056e-07,4.4999993599999994,36.250000384
8e-08,-1.7920000017213056e-07,4.6249993472,37.500000256
8.05e-08,-1.7920000017213056e-07,4.6874993408,36.250000384
8.100000000000001e-08,-0.18750016000000014,4.6874993408,37.500000256
8.150000000000001e-08,-0.06250017280000009,4.6874993408,38.125000192
8.2e-08,-0.06250017280000009,4.8749993216,40.0
8.25e-08,-0.06250017280000009,4.8124993279999995,40.624999936
8.3e-08,-0.06250017280000009,4.7499993344,40.0
