ROUT,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_DS_A_pp,V_DS_B_pp,V_DS_A_max,V_DS_B_max,MR_FREQ,V_MR_PP,V_RECT_PP,V_RECT_RMS
50.0,24.921396,1.30104134,32.42376644651064,38.02835,0.7600339,28.90078,60.0,59.0,59.0,60.0,13600000.0,123.0,84.0,34.13
50.5,24.918872,1.31304115,32.719504347582806,38.40862,0.7600198,29.19456,59.0,60.0,59.0,60.0,13600000.0,122.0,84.0,34.38
51.0,24.916372,1.32484838,33.01041507967736,38.78582,0.7600035,29.47897,59.0,59.0,60.0,59.0,13700000.0,123.0,84.0,34.72
51.5,24.915007,1.33674379,33.30498088505653,39.16721,0.7600011,29.77022,59.0,59.0,59.0,59.0,13600000.0,122.0,88.0,35.0
52.0,24.912252,1.34868833,33.59886354641916,39.54923,0.7600355,30.06141,59.0,59.0,59.0,60.0,13600000.0,123.0,86.0,35.39
52.5,24.910003,1.35982769,33.87331183738307,39.927,0.7598726,30.32112,59.0,59.0,60.0,59.0,13600000.0,123.0,88.0,35.55
53.0,24.907811,1.37144773,34.159760855219034,40.28072,0.7597253,30.60597,60.0,59.0,60.0,59.0,13600000.0,122.0,89.0,35.85
53.5,24.905875,1.38315954,34.4487986082975,40.65327,0.7594472,30.84702,59.0,59.0,59.0,59.0,13500000.0,122.0,89.0,36.15
54.0,24.904714,1.39423439,34.72300873191446,41.01142,0.7592615,31.13806,59.0,59.0,59.0,59.0,13500000.0,123.0,89.0,36.51
54.5,24.902528,1.40610054,35.01545806816512,41.409,0.7591869,31.42176,60.0,59.0,60.0,58.0,13700000.0,123.0,91.0,36.73
55.0,24.900641,1.41767489,35.30101349060449,41.76754,0.7591186,31.71532,59.0,59.0,60.0,59.0,13600000.0,123.0,91.0,37.05
55.5,24.898766,1.4294956,35.5926764424296,42.14449,0.7590337,31.98855,59.0,58.0,59.0,58.0,13600000.0,123.0,92.0,37.33
56.0,24.896961,1.43945002,35.83793100938922,42.466,0.7588593,32.22182,60.0,59.0,60.0,59.0,13600000.0,123.0,92.0,37.56
56.5,24.894289,1.45214497,36.15011655307633,42.87368,0.7588039,32.52282,59.0,59.0,59.0,59.0,13600000.0,123.0,94.0,37.97
57.0,24.889769,1.46394613,36.437281004143976,43.24483,0.7579652,32.78943,59.0,59.0,59.0,58.0,13600000.0,123.0,94.0,38.22
57.5,24.886701,1.4746772,36.699850547917194,43.59465,0.7583022,33.05731,59.0,59.0,59.0,59.0,13500000.0,123.0,95.0,38.4
58.0,24.888243,1.48750082,37.021281870859255,44.00955,0.7586355,33.38563,59.0,58.0,59.0,58.0,13600000.0,123.0,95.0,38.88
58.5,24.890578,1.49832939,37.29428455148742,44.35234,0.7582726,33.63431,59.0,59.0,59.0,59.0,13600000.0,123.0,97.0,39.04
59.0,24.874633,1.50994872,37.559420258819756,44.73097,0.757744,33.89455,59.0,58.0,59.0,58.0,13600000.0,123.0,98.0,39.41
59.5,24.881644,1.52191016,37.86762680110304,45.11296,0.7578619,34.18869,59.0,58.0,59.0,58.0,13500000.0,125.0,98.0,39.75
60.0,24.878373,1.53366455,38.155078731777145,45.49075,0.7577902,34.46755,59.0,58.0,59.0,59.0,13500000.0,123.0,98.0,39.83
60.5,24.875375,1.54424911,38.41377570466625,45.8376,0.7574815,34.72562,59.0,58.0,59.0,58.0,13600000.0,123.0,97.0,40.24
61.0,24.873043,1.55618614,38.70708477622402,46.21706,0.7573453,35.00457,59.0,59.0,59.0,59.0,13600000.0,125.0,102.0,40.63
61.5,24.86903,1.56706503,38.9713872430209,46.58247,0.7571032,35.25243,60.0,58.0,59.0,58.0,13500000.0,125.0,100.0,40.82
61.68502750680849,24.867986,1.57131757,39.075503332314014,46.71209,0.7567644,35.35469,59.0,58.0,59.0,58.0,13600000.0,125.0,103.0,40.91
62.0,24.866599,1.57710705,39.21728859242295,46.90033,0.7569212,35.49526,59.0,59.0,59.0,59.0,13600000.0,125.0,102.0,41.08
62.5,24.863932,1.58890791,39.50649822850212,47.28056,0.7565383,35.77253,59.0,58.0,59.0,58.0,13700000.0,125.0,103.0,41.49
63.0,24.860796,1.60059224,39.79199715782304,47.65987,0.756327,36.05343,59.0,59.0,59.0,59.0,13500000.0,123.0,103.0,41.72
63.5,24.857984,1.61216532,40.07517972991487,48.03546,0.7559705,36.31139,60.0,58.0,60.0,58.0,13600000.0,125.0,103.0,42.06
64.0,24.854498,1.62362976,40.35450262266048,48.41672,0.755823,36.59809,59.0,58.0,59.0,58.0,13600000.0,125.0,105.0,42.47
64.5,24.852033,1.63438378,40.617759635224736,48.75774,0.755656,36.85279,59.0,59.0,58.0,58.0,13600000.0,123.0,105.0,42.72
65.0,24.849753,1.64603666,40.903604429944984,49.13648,0.7556373,37.12565,59.0,59.0,59.0,59.0,13500000.0,125.0,106.0,42.99
65.5,24.846994,1.65642347,41.157144020549175,49.47883,0.7550905,37.3657,59.0,58.0,59.0,58.0,13600000.0,127.0,106.0,43.19
66.0,24.846928,1.66806262,41.446231818631354,49.85398,0.7550421,37.64865,59.0,59.0,59.0,58.0,13600000.0,125.0,106.0,43.47
66.5,24.845683,1.67909354,41.71822582218782,50.23014,0.7547935,37.89099,59.0,58.0,59.0,58.0,13700000.0,125.0,108.0,43.85
67.0,24.842244,1.69018303,41.98793923591932,50.57478,0.7546301,38.15532,59.0,58.0,59.0,58.0,13600000.0,125.0,109.0,44.11
67.5,24.839124,1.70176339,42.270311862870365,50.95088,0.7543635,38.43547,59.0,58.0,59.0,58.0,13600000.0,127.0,109.0,44.37
68.0,24.837455,1.7120901,42.5239608146955,51.2888,0.7540194,38.67982,59.0,58.0,59.0,58.0,13700000.0,127.0,111.0,44.61
68.5,24.833588,1.72356366,42.802269824212075,51.66448,0.7537532,38.94707,59.0,59.0,59.0,59.0,13500000.0,127.0,109.0,44.92
69.0,24.827662,1.73400256,43.05122946681472,52.00736,0.7534341,39.17968,60.0,58.0,59.0,57.0,13600000.0,127.0,111.0,45.31
69.5,24.826052,1.7445819,43.3110809676588,52.37374,0.7531171,39.44725,59.0,58.0,59.0,57.0,13600000.0,127.0,113.0,45.46
70.0,24.824842,1.75542018,43.57802861211156,52.71914,0.7528337,39.69199,59.0,58.0,59.0,58.0,13600000.0,127.0,113.0,45.78
70.5,24.821735,1.76564393,43.82634573481855,53.05719,0.7523562,39.89943,59.0,59.0,59.0,59.0,13600000.0,127.0,114.0,45.96
71.0,24.818322,1.77704378,44.10324474013716,53.43156,0.7522393,40.18535,59.0,58.0,59.0,58.0,13600000.0,127.0,113.0,46.23
71.5,24.815428,1.78700583,44.34531450994524,53.76256,0.751762,40.42113,59.0,59.0,59.0,59.0,13600000.0,127.0,114.0,46.59
72.0,24.811824,1.79830259,44.61916736182416,54.13806,0.751478,40.68434,59.0,57.0,59.0,57.0,13500000.0,128.0,116.0,46.96
72.5,24.808515,1.80933516,44.8869184568874,54.50531,0.751307,40.94414,59.0,58.0,59.0,57.0,13500000.0,127.0,117.0,47.12
73.0,24.804673,1.81823513,45.10072783676249,54.8047,0.7506403,41.14499,59.0,58.0,59.0,58.0,13500000.0,127.0,119.0,47.41
73.5,24.801197,1.82909102,45.363646717950935,55.17355,0.7503344,41.40315,59.0,59.0,59.0,59.0,13700000.0,127.0,117.0,47.66
74.0,24.799368,1.83904723,45.60720902615064,55.50794,0.7497675,41.6178,59.0,58.0,59.0,58.0,13700000.0,127.0,119.0,47.91
74.5,24.796238,1.84893163,45.84654874320794,55.84449,0.7494788,41.86272,59.0,58.0,59.0,58.0,13500000.0,127.0,119.0,48.21
75.0,24.791608,1.85910233,46.09013619724664,56.20945,0.7491674,42.1176,58.0,57.0,59.0,57.0,13500000.0,127.0,119.0,48.44
