DUTY,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
0.3,25.144537,1.75214659,44.056914761678826,0.003696594,0.001418204,2.897133e-07,0.44,0.036,130.0,2.5
0.31,25.144126,1.76242706,44.31468806244956,0.003442027,0.001465903,3.920248e-07,0.41,0.031,130.0,2.5
0.32,25.143986,1.76543904,44.390174505613444,0.003575942,0.001417442,5.834789e-07,0.41,0.031,131.0,2.56
0.33,25.144356,1.77098258,44.53021646131848,0.003744845,0.001467426,4.490902e-07,0.41,0.033,131.0,2.53
0.34,25.14519,1.77750479,44.695695670460104,0.003489452,0.001425625,2.40415e-07,0.36,0.033,131.0,2.53
0.35000000000000003,25.144157,1.77983035,44.752333753764944,0.003769634,0.001454835,7.003106e-07,0.39,0.036,131.0,2.53
0.36000000000000004,25.14359,1.78153928,44.7942932252152,0.003561652,0.001497627,6.665441e-07,0.44,0.036,131.0,2.56
0.37000000000000005,25.142417,1.77957555,44.74283056110434,0.00339878,0.001450271,4.855571e-07,0.42,0.031,131.0,2.53
0.38000000000000006,25.142553,1.77487488,44.62488573876864,0.003438353,0.001501415,1.985449e-07,0.41,0.033,131.0,2.53
0.39000000000000007,25.144009,1.77264916,44.571506432882444,0.003483164,0.001460542,2.586489e-07,0.39,0.034,131.0,2.53
0.4000000000000001,25.145779,1.77274154,44.57696698895966,0.003470317,0.001541995,1.890906e-07,0.36,0.033,131.0,2.53
