Time (s),V_MR
0.0,1.12500001344
5e-10,1.15625001536
1e-09,1.18750001728
1.5000000000000002e-09,1.20312501824
2e-09,1.23437502016
2.5e-09,1.2187500192
3.0000000000000004e-09,1.25000002112
3.5000000000000003e-09,1.26562502208
4e-09,1.2812500230400001
4.500000000000001e-09,1.31250002496
5e-09,1.32812502592
5.5000000000000004e-09,1.34375002688
6.000000000000001e-09,1.35937502784
6.5e-09,1.35937502784
7.000000000000001e-09,1.35937502784
7.500000000000001e-09,1.39062502976
8e-09,1.4062500307199999
8.5e-09,1.43750003264
9.000000000000001e-09,1.46875003456
9.5e-09,1.46875003456
1e-08,1.50000003648
1.0500000000000001e-08,1.50000003648
1.1000000000000001e-08,1.50000003648
1.15e-08,1.50000003648
1.2000000000000002e-08,1.51562503744
1.2500000000000001e-08,1.5312500384
1.3e-08,1.5312500384
1.35e-08,1.56250004032
1.4000000000000001e-08,1.59375004224
1.45e-08,1.62500004416
1.5000000000000002e-08,1.64062504512
1.55e-08,1.62500004416
1.6e-08,1.6093750432
1.6500000000000002e-08,1.62500004416
1.7e-08,1.64062504512
1.75e-08,1.65625004608
1.8000000000000002e-08,1.687500048
1.85e-08,1.687500048
1.9e-08,1.70312504896
1.9500000000000003e-08,1.7187500499200001
2e-08,1.73437505088
2.05e-08,1.7187500499200001
2.1000000000000003e-08,1.70312504896
2.15e-08,1.70312504896
2.2000000000000002e-08,1.73437505088
2.2500000000000003e-08,1.73437505088
2.3e-08,1.73437505088
2.3500000000000002e-08,1.7500000518399998
2.4000000000000003e-08,1.7656250528
2.45e-08,1.79687505472
2.5000000000000002e-08,1.7656250528
2.55e-08,1.7500000518399998
2.6e-08,1.7500000518399998
2.6500000000000002e-08,1.78125005376
2.7e-08,1.78125005376
2.75e-08,1.7656250528
2.8000000000000003e-08,1.7656250528
2.85e-08,1.73437505088
2.9e-08,1.7656250528
2.9500000000000003e-08,1.79687505472
3.0000000000000004e-08,1.8437500575999999
3.05e-08,1.85937505856
3.1e-08,1.82812505664
3.1500000000000004e-08,1.73437505088
3.2e-08,1.67187504704
3.25e-08,1.65625004608
3.3000000000000004e-08,1.67187504704
3.35e-08,1.70312504896
3.4e-08,1.70312504896
3.4500000000000005e-08,1.687500048
3.5e-08,1.65625004608
3.55e-08,1.65625004608
3.6000000000000005e-08,1.65625004608
3.65e-08,1.67187504704
3.7e-08,1.67187504704
3.7500000000000005e-08,1.6093750432
3.8e-08,1.56250004032
3.85e-08,1.50000003648
3.9000000000000005e-08,1.43750003264
3.95e-08,1.43750003264
4e-08,1.46875003456
4.0500000000000005e-08,1.51562503744
4.1e-08,1.5312500384
4.15e-08,1.4843750355199998
4.2000000000000006e-08,1.42187503168
4.2500000000000003e-08,1.3750000288
4.3e-08,1.39062502976
4.3500000000000006e-08,1.3750000288
4.4000000000000004e-08,1.34375002688
4.45e-08,1.31250002496
4.5000000000000006e-08,1.25000002112
4.5500000000000004e-08,1.25000002112
4.6e-08,1.26562502208
