time	V(n_load)	V(ng)	V(nsw)
0.000000000000000e+00	5.444825772023022e+00	0.000000000000000e+00	-6.999800843746961e-01
1.421533833202958e-10	5.381495137909535e+00	7.107669165986389e-01	-6.977426276171877e-01
2.843067666405917e-10	5.318113068261180e+00	1.421533833198703e+00	-6.933672930673133e-01
4.264601499608875e-10	5.254679563077958e+00	2.132300749800192e+00	-6.868540807250725e-01
5.686135332811833e-10	5.191194622359870e+00	2.843067666403105e+00	-6.782029905904655e-01
7.107669166014792e-10	5.127658246106913e+00	3.553834583007444e+00	-6.674140226634924e-01
8.529202999217750e-10	5.064070434319090e+00	4.264601499613208e+00	-6.544871769441528e-01
9.950736832420705e-10	5.000431186996400e+00	4.975368416220395e+00	-6.394224534324472e-01
1.142566308614244e-09	4.934375490705078e+00	5.000000000000000e+00	-6.215746044249061e-01
1.480955345332806e-09	4.782563701818293e+00	5.000000000000000e+00	-5.719583152785062e-01
1.819344382051369e-09	4.630768800327446e+00	5.000000000000000e+00	-5.103009568926694e-01
2.157733418769932e-09	4.478990786232536e+00	5.000000000000000e+00	-4.366025292673958e-01
2.496122455488495e-09	4.327229659533563e+00	5.000000000000000e+00	-3.508630324026853e-01
2.834511492207057e-09	4.175485420230527e+00	5.000000000000000e+00	-2.530824662985381e-01
3.172900528925620e-09	4.023758068323429e+00	5.000000000000000e+00	-1.432608309549538e-01
3.511289565644182e-09	3.872047603812267e+00	5.000000000000000e+00	-2.139812637193293e-02
3.519283572078715e-09	3.868468926741155e+00	5.000000000000000e+00	-1.839435932513702e-02
3.527277578513249e-09	3.864890340898250e+00	5.000000000000000e+00	-1.538529269110416e-02
3.535271584947783e-09	3.861311846283555e+00	5.000000000000000e+00	-1.237092646983467e-02
3.543265591382316e-09	3.857733442897067e+00	5.000000000000000e+00	-9.351260661328390e-03
3.551259597816850e-09	3.854155130738787e+00	5.000000000000000e+00	-6.326295265585324e-03
3.559253604251384e-09	3.850576909808716e+00	5.000000000000000e+00	-3.296030282605309e-03
3.567247610685917e-09	3.846998780106853e+00	5.000000000000000e+00	-2.604657123885801e-04
3.568846703092530e-09	3.846283037078898e+00	5.000000000000000e+00	3.475081228292431e-04
