FREQ,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_DS_A,V_DS_B,MR_FREQ,V_MR_PP,V_SEC_PP
6000000.0,25.01809,1.59329441,39.8611829458769,44.03521,0.7135048,31.42106,59.0,56.0,12100000.0,36.0,102.0
6100000.0,25.028815,1.81818011,45.50689360986965,48.55753,0.7869697,38.2135,59.0,59.0,12000000.0,50.0,111.0
6200000.0,25.038328,1.92883344,48.29476432808832,51.1727,0.8289353,42.42216,60.0,60.0,12300000.0,64.0,116.0
6300000.0,25.053229,1.92543109,48.238266021489615,51.75868,0.8386888,43.41,62.0,60.0,12500000.0,78.0,116.0
6400000.0,25.071993,1.83326596,45.96363131625828,50.78111,0.8226235,41.77525,60.0,59.0,12700000.0,86.0,117.0
6500000.0,25.08159,1.70710517,42.8169119608203,49.01438,0.79466,38.95123,59.0,58.0,12900000.0,86.0,111.0
6600000.0,25.123379,1.58123152,39.72587876370608,47.17076,0.7645186,36.06105,58.0,56.0,13000000.0,92.0,108.0
6700000.0,25.125344,1.45657247,36.59688436967968,45.18185,0.7320478,33.08251,56.0,57.0,13300000.0,95.0,105.0
6780000.0,25.067226,1.3625065,34.154258361969006,43.55735,0.7059067,30.74647,55.0,56.0,13500000.0,95.0,100.0
6800000.0,25.058729,1.34188149,33.62584460802621,43.1992,0.6998926,30.24186,55.0,56.0,13500000.0,95.0,98.0
6900000.0,25.105022,1.25621889,31.53740287026558,41.70947,0.6758108,28.18568,55.0,55.0,13800000.0,97.0,95.0
7000000.0,25.066957,1.18931491,29.81250570842887,40.39798,0.6541274,26.42713,55.0,54.0,13900000.0,100.0,94.0
7100000.0,25.017535,1.13947584,28.5068767088544,39.2997,0.6364629,25.01178,55.0,55.0,14100000.0,103.0,89.0
7200000.0,25.002252,1.09577044,27.396728675030875,38.23716,0.6194979,23.69484,55.0,56.0,14300000.0,108.0,89.0
7300000.0,24.987704,1.0479948,26.186983855939197,36.9249,0.5987711,22.1064,56.0,58.0,14500000.0,119.0,88.0
7400000.0,24.974366,0.99659412,24.88930630632792,35.25816,0.5709548,20.13102,59.0,59.0,14700000.0,133.0,83.0
7500000.0,24.948653,0.902256544,22.510085433235233,32.24646,0.5226621,16.8506,63.0,60.0,15000000.0,152.0,77.0
