Time (s),V_PRI,V_SEC,V_IN
0.0,33.899942399999986,176.84997888,24.307750052480003
5e-10,33.899942399999986,176.84997888,24.289000054400002
1e-09,27.64994304000004,176.84997888,24.28275005504
1.5000000000000002e-09,21.39994367999998,170.59997952,24.276500055680003
2e-09,21.39994367999998,176.84997888,24.276500055680003
2.5e-09,15.149944320000031,176.84997888,24.289000054400002
3.0000000000000004e-09,21.39994367999998,170.59997952,24.307750052480003
3.5000000000000003e-09,8.89994495999997,164.34998016,24.32650005056
4e-09,8.89994495999997,170.59997952,24.32650005056
4.500000000000001e-09,2.6499456000000237,170.59997952,24.320250051200002
5e-09,-3.600053760000037,170.59997952,24.31400005184
5.5000000000000004e-09,-9.850053119999984,164.34998016,24.320250051200002
6.000000000000001e-09,-3.600053760000037,164.34998016,24.30150005312
6.5e-09,-3.600053760000037,164.34998016,24.307750052480003
7.000000000000001e-09,-16.100052480000045,164.34998016,24.30150005312
7.500000000000001e-09,-16.100052480000045,164.34998016,24.29525005376
8e-09,-16.100052480000045,164.34998016,24.29525005376
8.5e-09,-16.100052480000045,164.34998016,24.276500055680003
9.000000000000001e-09,-22.350051839999992,164.34998016,24.276500055680003
9.5e-09,-28.600051199999996,151.84998144,24.276500055680003
1e-08,-28.600051199999996,164.34998016,24.270250056320002
1.0500000000000001e-08,-34.85005056,158.0999808,24.276500055680003
1.1000000000000001e-08,-34.85005056,145.59998208,24.26400005696
1.15e-08,-41.100049920000004,139.34998272,24.26400005696
1.2000000000000002e-08,-41.100049920000004,145.59998208,24.239000059520002
1.2500000000000001e-08,-41.100049920000004,151.84998144,24.23275006016
1.3e-08,-47.35004928000001,145.59998208,24.23275006016
1.35e-08,-53.60004864000001,145.59998208,24.239000059520002
1.4000000000000001e-08,-47.35004928000001,145.59998208,24.257750057600003
1.45e-08,-53.60004864000001,139.34998272,24.270250056320002
1.5000000000000002e-08,-66.10004736000002,133.09998336,24.270250056320002
1.55e-08,-53.60004864000001,133.09998336,24.257750057600003
1.6e-08,-59.850048000000015,126.849984,24.257750057600003
1.6500000000000002e-08,-59.850048000000015,126.849984,24.24525005888
1.7e-08,-66.10004736000002,133.09998336,24.25150005824
1.75e-08,-72.35004672000002,126.849984,24.26400005696
1.8000000000000002e-08,-72.35004672000002,126.849984,24.257750057600003
1.85e-08,-66.10004736000002,114.34998528,24.270250056320002
1.9e-08,-78.60004607999997,114.34998528,24.276500055680003
1.9500000000000003e-08,-78.60004607999997,101.84998655999999,24.289000054400002
2e-08,-78.60004607999997,108.09998592,24.29525005376
2.05e-08,-84.85004543999997,101.84998655999999,24.289000054400002
2.1000000000000003e-08,-91.10004479999998,101.84998655999999,24.289000054400002
2.15e-08,-97.35004415999998,101.84998655999999,24.28275005504
2.2000000000000002e-08,-91.10004479999998,95.59998720000002,24.270250056320002
2.2500000000000003e-08,-97.35004415999998,89.34998784000001,24.257750057600003
2.3e-08,-103.60004351999999,83.09998848000001,24.257750057600003
2.3500000000000002e-08,-97.35004415999998,83.09998848000001,24.25150005824
2.4000000000000003e-08,-97.35004415999998,83.09998848000001,24.25150005824
2.45e-08,-103.60004351999999,83.09998848000001,24.25150005824
2.5000000000000002e-08,-109.85004287999999,83.09998848000001,24.270250056320002
2.55e-08,-109.85004287999999,70.59998976,24.289000054400002
2.6e-08,-116.10004224,83.09998848000001,24.289000054400002
2.6500000000000002e-08,-122.3500416,64.3499904,24.289000054400002
2.7e-08,-109.85004287999999,58.09999104,24.289000054400002
2.75e-08,-122.3500416,51.84999168000001,24.29525005376
2.8000000000000003e-08,-122.3500416,51.84999168000001,24.29525005376
2.85e-08,-122.3500416,51.84999168000001,24.289000054400002
2.9e-08,-128.60004096,45.599992320000005,24.289000054400002
2.9500000000000003e-08,-134.85004032,39.34999296,24.29525005376
3.0000000000000004e-08,-128.60004096,39.34999296,24.29525005376
3.05e-08,-134.85004032,33.099993600000005,24.307750052480003
3.1e-08,-141.10003968,26.849994240000008,24.30150005312
3.1500000000000004e-08,-141.10003968,20.599994880000004,24.28275005504
3.2e-08,-141.10003968,20.599994880000004,24.26400005696
3.25e-08,-153.60003840000002,20.599994880000004,24.239000059520002
3.3000000000000004e-08,-153.60003840000002,14.34999552,24.23275006016
3.35e-08,-153.60003840000002,1.849996800000003,24.239000059520002
3.4e-08,-159.85003776000002,8.099996160000003,24.24525005888
3.4500000000000005e-08,-166.10003712000002,1.849996800000003,24.24525005888
3.5e-08,-166.10003712000002,-10.650001919999998,24.25150005824
3.55e-08,-172.35003648000003,-10.650001919999998,24.270250056320002
3.6000000000000005e-08,-166.10003712000002,-10.650001919999998,24.270250056320002
3.65e-08,-172.35003648000003,-16.900001279999998,24.28275005504
3.7e-08,-178.60003584000003,-16.900001279999998,24.276500055680003
3.7500000000000005e-08,-184.85003519999998,-29.4,24.270250056320002
3.8e-08,-178.60003584000003,-16.900001279999998,24.25150005824
3.85e-08,-184.85003519999998,-35.649999359999995,24.25150005824
3.9000000000000005e-08,-191.10003455999998,-41.89999872,24.24525005888
3.95e-08,-184.85003519999998,-29.4,24.24525005888
4e-08,-191.10003455999998,-35.649999359999995,24.25150005824
4.0500000000000005e-08,-191.10003455999998,-35.649999359999995,24.25150005824
4.1e-08,-191.10003455999998,-41.89999872,24.257750057600003
4.15e-08,-197.35003392,-48.14999808,24.276500055680003
4.2000000000000006e-08,-197.35003392,-48.14999808,24.276500055680003
4.2500000000000003e-08,-191.10003455999998,-60.6499968,24.276500055680003
4.3e-08,-191.10003455999998,-66.89999616,24.270250056320002
4.3500000000000006e-08,-197.35003392,-73.14999552,24.270250056320002
4.4000000000000004e-08,-197.35003392,-79.39999488000001,24.26400005696
4.45e-08,-191.10003455999998,-79.39999488000001,24.276500055680003
4.5000000000000006e-08,-197.35003392,-85.64999424000001,24.30150005312
4.5500000000000004e-08,-197.35003392,-85.64999424000001,24.32650005056
4.6e-08,-191.10003455999998,-85.64999424000001,24.339000049280003
4.6500000000000006e-08,-191.10003455999998,-98.14999295999999,24.351500048000002
4.7000000000000004e-08,-197.35003392,-98.14999295999999,24.35775004736
4.75e-08,-191.10003455999998,-104.39999232,24.34525004864
4.8000000000000006e-08,-184.85003519999998,-110.64999168,24.34525004864
4.8500000000000004e-08,-191.10003455999998,-110.64999168,24.32650005056
4.9e-08,-191.10003455999998,-110.64999168,24.31400005184
4.95e-08,-191.10003455999998,-123.14999040000001,24.307750052480003
5.0000000000000004e-08,-178.60003584000003,-123.14999040000001,24.307750052480003
5.05e-08,-191.10003455999998,-129.39998976,24.320250051200002
5.1e-08,-178.60003584000003,-129.39998976,24.320250051200002
5.1500000000000005e-08,-178.60003584000003,-135.64998912000001,24.31400005184
5.2e-08,-178.60003584000003,-141.89998848000002,24.289000054400002
5.25e-08,-172.35003648000003,-141.89998848000002,24.26400005696
5.3000000000000005e-08,-172.35003648000003,-141.89998848000002,24.257750057600003
5.35e-08,-178.60003584000003,-141.89998848000002,24.26400005696
5.4e-08,-166.10003712000002,-148.14998784,24.24525005888
5.4500000000000005e-08,-172.35003648000003,-160.64998656,24.257750057600003
5.5e-08,-166.10003712000002,-160.64998656,24.257750057600003
5.55e-08,-153.60003840000002,-160.64998656,24.26400005696
5.6000000000000005e-08,-153.60003840000002,-154.3999872,24.289000054400002
5.65e-08,-147.35003904,-166.89998592,24.30150005312
5.7e-08,-153.60003840000002,-160.64998656,24.31400005184
5.7500000000000005e-08,-141.10003968,-173.14998528,24.31400005184
5.8e-08,-141.10003968,-173.14998528,24.320250051200002
5.85e-08,-141.10003968,-179.39998464,24.33275004992
5.9000000000000006e-08,-128.60004096,-185.64998400000002,24.351500048000002
5.9500000000000003e-08,-134.85004032,-179.39998464,24.37650004544
6.000000000000001e-08,-128.60004096,-185.64998400000002,24.3827500448
6.05e-08,-122.3500416,-185.64998400000002,24.39525004352
6.1e-08,-116.10004224,-191.89998336000002,24.39525004352
6.15e-08,-122.3500416,-191.89998336000002,24.39525004352
6.2e-08,-109.85004287999999,-191.89998336000002,24.3827500448
6.250000000000001e-08,-109.85004287999999,-198.14998272000003,24.36400004672
6.300000000000001e-08,-109.85004287999999,-204.39998208,24.34525004864
6.35e-08,-97.35004415999998,-198.14998272000003,24.31400005184
6.4e-08,-91.10004479999998,-204.39998208,24.307750052480003
6.45e-08,-97.35004415999998,-204.39998208,24.307750052480003
6.5e-08,-91.10004479999998,-204.39998208,24.339000049280003
6.55e-08,-91.10004479999998,-216.8999808,24.35775004736
6.600000000000001e-08,-84.85004543999997,-204.39998208,24.36400004672
6.65e-08,-78.60004607999997,-210.64998144,24.370250046080002
6.7e-08,-72.35004672000002,-216.8999808,24.370250046080002
