Time (s),V_TANK_IN,I_PRI,V_TANK_OUT,I_SEC,"[""CRTL_A"", ""IN_A"", ""CRTL_B"", ""IN_B"", ""nEN"", ""GATE_1"", ""GATE_2""]"
0.0,-93.99991167999997,-1.3130001152000002,40.62500224,-0.8119994112000004,8960
5e-10,-93.99991167999997,-1.3130001152000002,37.50000256,-0.7494994176,8960
1e-09,-78.37491072000012,-1.2505001216000002,37.50000256,-0.6869994239999997,8960
1.5000000000000002e-09,-93.99991167999997,-1.3130001152000002,40.62500224,-0.6869994239999997,8960
2e-09,-78.37491072000012,-1.3130001152000002,37.50000256,-0.6244994304000002,8960
2.5e-09,-78.37491072000012,-1.2505001216000002,43.75000192,-0.6244994304000002,8704
3.0000000000000004e-09,-78.37491072000012,-1.2505001216000002,43.75000192,-0.6244994304000002,8704
3.5000000000000003e-09,-62.74990976000004,-1.2505001216000002,40.62500224,-0.5619994367999999,8192
4e-09,-93.99991167999997,-1.3130001152000002,40.62500224,-0.5619994367999999,8192
4.500000000000001e-09,-78.37491072000012,-1.3130001152000002,40.62500224,-0.4994994432000004,8192
5e-09,-78.37491072000012,-1.2505001216000002,37.50000256,-0.4994994432000004,8192
5.5000000000000004e-09,-62.74990976000004,-1.3130001152000002,37.50000256,-0.4994994432000004,8192
6.000000000000001e-09,-62.74990976000004,-1.2505001216000002,37.50000256,-0.43699944960000003,8192
6.5e-09,-78.37491072000012,-1.2505001216000002,40.62500224,-0.4994994432000004,8192
7.000000000000001e-09,-78.37491072000012,-1.2505001216000002,34.37500288,-0.43699944960000003,8192
7.500000000000001e-09,-62.74990976000004,-1.2505001216000002,37.50000256,-0.3744994559999997,8192
8e-09,-47.12490879999996,-1.3130001152000002,31.2500032,-0.3744994559999997,8192
8.5e-09,-62.74990976000004,-1.2505001216000002,28.12500352,-0.3744994559999997,8192
9.000000000000001e-09,-47.12490879999996,-1.188000128,28.12500352,-0.3119994624000002,8192
9.5e-09,-62.74990976000004,-1.2505001216000002,28.12500352,-0.24949946879999985,8192
1e-08,-62.74990976000004,-1.2505001216000002,25.000003839999998,-0.24949946879999985,8192
1.0500000000000001e-08,-47.12490879999996,-1.188000128,25.000003839999998,-0.24949946879999985,8192
1.1000000000000001e-08,-47.12490879999996,-1.188000128,21.875004159999996,-0.18699947520000038,8192
1.15e-08,-47.12490879999996,-1.188000128,18.75000448,-0.18699947520000038,8192
1.2000000000000002e-08,-47.12490879999996,-1.188000128,18.75000448,-0.12449948160000002,8192
1.2500000000000001e-08,-31.499907840000105,-1.2505001216000002,18.75000448,-0.18699947520000038,8192
1.3e-08,-47.12490879999996,-1.188000128,12.500005119999997,-0.12449948160000002,8192
1.35e-08,-31.499907840000105,-1.188000128,9.375005439999995,-0.12449948160000002,8192
1.4000000000000001e-08,-31.499907840000105,-1.1255001344000002,6.250005759999993,-0.06199948800000055,8192
1.45e-08,-47.12490879999996,-1.1255001344000002,6.250005759999993,-0.06199948800000055,8192
1.5000000000000002e-08,-31.499907840000105,-1.0630001408000003,6.3999999966313226e-06,0.000500505599999812,8192
1.55e-08,-31.499907840000105,-1.0630001408000003,6.3999999966313226e-06,0.000500505599999812,8192
1.6e-08,-15.874906880000026,-1.0630001408000003,-3.124993279999998,0.06300049920000017,8192
1.6500000000000002e-08,-47.12490879999996,-1.1255001344000002,-6.24999296,0.06300049920000017,8192
1.7e-08,-15.874906880000026,-1.0005001472000001,-12.499992320000004,0.06300049920000017,8192
1.75e-08,-31.499907840000105,-1.0630001408000003,-15.624992000000006,0.12550049279999964,8192
1.8000000000000002e-08,-31.499907840000105,-1.0005001472000001,-21.87499136000001,0.1880004864,8192
1.85e-08,-31.499907840000105,-1.0005001472000001,-21.87499136000001,0.1880004864,8192
1.9e-08,-31.499907840000105,-1.0005001472000001,-24.999991039999998,0.1880004864,8192
1.9500000000000003e-08,-31.499907840000105,-1.0005001472000001,-31.2499904,0.1880004864,8192
2e-08,-31.499907840000105,-1.0005001472000001,-34.37499008,0.25050047999999947,8192
2.05e-08,-15.874906880000026,-0.9380001536000002,-34.37499008,0.31300047359999983,8192
2.1000000000000003e-08,-31.499907840000105,-0.8755001600000003,-43.74998912000001,0.25050047999999947,8192
2.15e-08,-15.874906880000026,-0.9380001536000002,-46.87498880000001,0.31300047359999983,8192
2.2000000000000002e-08,-15.874906880000026,-0.8755001600000003,-53.12498816,0.31300047359999983,8192
2.2500000000000003e-08,-15.874906880000026,-0.8755001600000003,-49.99998848000001,0.31300047359999983,8192
2.3e-08,-15.874906880000026,-0.8130001664000002,-56.24998784,0.3755004672000002,8192
2.3500000000000002e-08,-31.499907840000105,-0.7505001728000003,-56.24998784,0.3755004672000002,8192
2.4000000000000003e-08,-15.874906880000026,-0.8130001664000002,-56.24998784,0.3755004672000002,8192
2.45e-08,-31.499907840000105,-0.8130001664000002,-56.24998784,0.43800046079999966,8192
2.5000000000000002e-08,-15.874906880000026,-0.7505001728000003,-59.374987520000005,0.5005004544,8192
2.55e-08,-15.874906880000026,-0.7505001728000003,-59.374987520000005,0.5005004544,0
2.6e-08,-0.2499059199999465,-0.7505001728000003,-59.374987520000005,0.5630004479999995,1024
2.6500000000000002e-08,-15.874906880000026,-0.6880001792000003,-59.374987520000005,0.5005004544,1024
2.7e-08,15.375095039999906,-0.6880001792000003,-56.24998784,0.5630004479999995,1024
