Time (s),VIN,IIN,VOUT
0.0,27.64012499712,1.993700006912,22.499995392000002
5e-10,27.59324999424,1.9921375068159999,24.062495487999996
1e-09,27.5307499904,1.9921375068159999,19.3749952
1.5000000000000002e-09,27.51512498944,1.9905750067199999,17.812495104000007
2e-09,27.5307499904,1.9921375068159999,17.812495104000007
2.5e-09,27.6088749952,1.993700006912,17.812495104000007
3.0000000000000004e-09,27.59324999424,1.995262507008,14.687494912000005
3.5000000000000003e-09,27.54637499136,1.993700006912,13.124994815999997
4e-09,27.51512498944,1.9921375068159999,9.99999462400001
4.500000000000001e-09,27.57762499328,1.993700006912,11.562494720000004
5e-09,27.64012499712,2.001512507392,6.874994432000008
5.5000000000000004e-09,27.62449999616,2.001512507392,8.437494528000002
6.000000000000001e-09,27.56199999232,1.999950007296,5.312494336
6.5e-09,27.48387498752,1.996825007104,3.7499942400000066
7.000000000000001e-09,27.54637499136,1.995262507008,3.7499942400000066
7.500000000000001e-09,27.59324999424,1.993700006912,0.6249940480000049
8e-09,27.6088749952,1.996825007104,-0.937506048000003
8.5e-09,27.54637499136,1.996825007104,-0.937506048000003
9.000000000000001e-09,27.54637499136,1.995262507008,-2.5000061439999968
9.5e-09,27.5307499904,1.995262507008,-7.187506431999992
1e-08,27.57762499328,1.9983875072,-5.625006335999998
1.0500000000000001e-08,27.67137499904,2.001512507392,-5.625006335999998
1.1000000000000001e-08,27.67137499904,1.9983875072,-8.750006528
1.15e-08,27.65574999808,1.996825007104,-11.875006720000002
1.2000000000000002e-08,27.64012499712,1.996825007104,-13.437506815999996
1.2500000000000001e-08,27.65574999808,1.999950007296,-13.437506815999996
1.3e-08,27.65574999808,2.003075007488,-16.562507007999997
1.35e-08,27.62449999616,2.003075007488,-16.562507007999997
1.4000000000000001e-08,27.6088749952,1.9983875072,-21.250007295999993
1.45e-08,27.57762499328,1.995262507008,-21.250007295999993
1.5000000000000002e-08,27.62449999616,1.995262507008,-22.812507392
1.55e-08,27.62449999616,2.001512507392,-24.375007487999994
1.6e-08,27.62449999616,2.004637507584,-25.937507584000002
1.6500000000000002e-08,27.6088749952,2.001512507392,-24.375007487999994
1.7e-08,27.59324999424,1.9983875072,-27.500007679999996
1.75e-08,27.59324999424,1.996825007104,-29.06250777599999
1.8000000000000002e-08,27.59324999424,1.999950007296,-30.625007871999998
1.85e-08,27.65574999808,2.003075007488,-30.625007871999998
1.9e-08,27.67137499904,2.001512507392,-33.750008063999985
1.9500000000000003e-08,27.64012499712,1.999950007296,-35.31250815999999
2e-08,27.57762499328,1.999950007296,-36.875008256
2.05e-08,27.56199999232,2.001512507392,-35.31250815999999
2.1000000000000003e-08,27.62449999616,2.004637507584,-38.43750835200001
2.15e-08,27.687,2.004637507584,-38.43750835200001
2.2000000000000002e-08,27.687,2.003075007488,-41.562508543999996
2.2500000000000003e-08,27.62449999616,1.999950007296,-43.125008640000004
2.3e-08,27.6088749952,1.999950007296,-44.687508735999984
2.3500000000000002e-08,27.6088749952,1.999950007296,-44.687508735999984
2.4000000000000003e-08,27.65574999808,2.001512507392,-46.25000883199999
2.45e-08,27.64012499712,1.999950007296,-46.25000883199999
2.5000000000000002e-08,27.64012499712,1.9983875072,-47.812508928
2.55e-08,27.64012499712,1.9983875072,-49.37500902400001
2.6e-08,27.6088749952,2.003075007488,-50.93750911999999
2.6500000000000002e-08,27.59324999424,2.001512507392,-50.93750911999999
2.7e-08,27.64012499712,1.9983875072,-52.500009215999995
2.75e-08,27.71825000192,1.9983875072,-54.062509312
2.8000000000000003e-08,27.70262500096,1.9983875072,-55.62500940799998
2.85e-08,27.64012499712,2.001512507392,-52.500009215999995
2.9e-08,27.62449999616,2.009325007872,-55.62500940799998
2.9500000000000003e-08,27.54637499136,2.004637507584,-55.62500940799998
3.0000000000000004e-08,27.5307499904,1.999950007296,-58.7500096
3.05e-08,27.51512498944,1.9983875072,-57.18750950399999
3.1e-08,27.57762499328,2.001512507392,-58.7500096
3.1500000000000004e-08,27.57762499328,2.00620000768,-60.312509696000006
3.2e-08,27.59324999424,2.007762507776,-61.875009791999986
3.25e-08,27.51512498944,2.004637507584,-60.312509696000006
3.3000000000000004e-08,27.43699998464,2.001512507392,-61.875009791999986
3.35e-08,27.43699998464,2.001512507392,-65.000009984
3.4e-08,27.49949998848,2.003075007488,-63.437509887999994
3.4500000000000005e-08,27.64012499712,2.004637507584,-65.000009984
3.5e-08,27.67137499904,2.003075007488,-66.56251007999998
3.55e-08,27.64012499712,2.001512507392,-65.000009984
3.6000000000000005e-08,27.56199999232,2.003075007488,-68.12501017599999
3.65e-08,27.5307499904,2.007762507776,-65.000009984
3.7e-08,27.54637499136,2.010887507968,-68.12501017599999
3.7500000000000005e-08,27.59324999424,2.003075007488,-68.12501017599999
3.8e-08,27.59324999424,1.9983875072,-69.687510272
3.85e-08,27.56199999232,1.9983875072,-68.12501017599999
3.9000000000000005e-08,27.59324999424,2.00620000768,-69.687510272
3.95e-08,27.57762499328,2.01401250816,-69.687510272
4e-08,27.5307499904,2.017137508352,-71.250010368
4.0500000000000005e-08,27.46824998656,2.012450008064,-68.12501017599999
4.1e-08,27.4526249856,2.007762507776,-69.687510272
4.15e-08,27.48387498752,2.007762507776,-71.250010368
4.2000000000000006e-08,27.6088749952,2.012450008064,-69.687510272
4.2500000000000003e-08,27.70262500096,2.015575008256,-71.250010368
4.3e-08,27.6088749952,2.015575008256,-71.250010368
4.3500000000000006e-08,27.48387498752,2.01401250816,-71.250010368
