ROUT,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
50.0,24.676937,1.20313786,29.68975717353482,36.13179,0.7209404,25.83304,0.52,0.023,0.319,0.034
50.5,24.744897,1.21781384,30.13467803597448,36.60873,0.7243591,26.51546,0.48,0.022,0.309,0.031
51.0,24.743757,1.22858175,30.39972827663475,36.96903,0.724398,26.77437,0.48,0.022,0.3,0.036
51.5,24.742184,1.23943244,30.666265486048964,37.33282,0.7239757,27.03249,0.5,0.022,0.297,0.036
52.0,24.740741,1.2491723,30.905448338674297,37.66864,0.7240444,27.27239,0.52,0.022,0.297,0.034
52.5,24.739029,1.25993507,31.16957023484703,38.02462,0.7238678,27.52184,0.5,0.023,0.294,0.038
53.0,24.737046,1.27049852,31.428380332171923,38.37345,0.7237298,27.76106,0.5,0.023,0.294,0.038
53.5,24.734971,1.28038012,31.67016513717652,38.71702,0.7235765,28.02231,0.52,0.023,0.291,0.036
54.0,24.733044,1.29023853,31.91152633298532,39.05914,0.7231653,28.25233,0.53,0.023,0.284,0.039
54.5,24.730859,1.30074347,32.16850335174073,39.41888,0.7229456,28.49784,0.53,0.022,0.3,0.033
55.0,24.728757,1.31130859,32.427031474122636,39.77821,0.7227736,28.75316,0.52,0.022,0.319,0.038
55.5,24.726675,1.32190708,32.686366747358996,40.13585,0.722835,29.01273,0.53,0.022,0.316,0.036
56.0,24.724693,1.33175675,32.92727679442775,40.47141,0.7224881,29.24257,0.53,0.025,0.328,0.038
56.5,24.722786,1.34212058,33.18095988553588,40.82368,0.7223712,29.48366,0.55,0.023,0.334,0.034
57.0,24.720955,1.35273922,33.4410053843551,41.18366,0.7222772,29.75001,0.58,0.023,0.341,0.036
57.5,24.71893,1.36343144,33.702566325159204,41.54497,0.7220752,29.99698,0.56,0.027,0.347,0.038
58.0,24.717272,1.37408005,33.963510345623604,41.90755,0.7220121,30.25452,0.56,0.025,0.338,0.039
58.5,24.715636,1.38352945,34.1948102814802,42.23217,0.7216137,30.46359,0.58,0.023,0.334,0.038
59.0,24.714335,1.39396757,34.45098150411595,42.56826,0.7214382,30.70597,0.58,0.022,0.319,0.038
59.5,24.713227,1.4040764,34.6992587985428,42.92748,0.7213474,30.96969,0.59,0.027,0.328,0.041
60.0,24.712103,1.41430598,34.95047505127594,43.28344,0.7209932,31.2077,0.59,0.023,0.309,0.036
60.5,24.710668,1.42484249,35.20880972268332,43.64281,0.7210773,31.46851,0.58,0.023,0.309,0.036
61.0,24.709754,1.43436827,35.44288709710558,43.97412,0.7206836,31.69377,0.58,0.025,0.303,0.038
61.5,24.708575,1.44458649,35.69367363215175,44.33365,0.7203547,31.93991,0.53,0.025,0.306,0.038
61.68502750680849,24.708273,1.44778789,35.77233843221397,44.44033,0.720621,32.0243,0.58,0.025,0.306,0.038
62.0,24.707411,1.45504465,35.95038619090115,44.68557,0.720448,32.20228,0.59,0.023,0.309,0.038
62.5,24.706465,1.46525444,36.2012575379546,45.04551,0.7203006,32.44059,0.59,0.025,0.322,0.038
63.0,24.705605,1.4746596,36.432357587058,45.37997,0.7198655,32.67521,0.59,0.023,0.325,0.036
63.5,24.704825,1.48473789,36.68018974331925,45.73674,0.7197021,32.91744,0.52,0.023,0.328,0.038
64.0,24.703863,1.4940728,36.9093697632264,46.0652,0.7195531,33.14985,0.55,0.023,0.331,0.036
64.5,24.703083,1.50378284,37.14807231049572,46.42239,0.7194661,33.3912,0.52,0.022,0.328,0.038
65.0,24.70151,1.51307587,37.3752587335637,46.74974,0.71907,33.61804,0.5,0.023,0.334,0.041
65.5,24.700565,1.52290019,37.61649513160735,47.10251,0.718828,33.8647,0.48,0.025,0.344,0.034
66.0,24.699507,1.53067037,37.80680351850759,47.38902,0.7183688,34.0495,0.5,0.023,0.363,0.039
66.5,24.67161,1.53934708,37.9781708123988,47.71717,0.7172737,34.22487,0.47,0.023,0.328,0.034
67.0,24.670717,1.54806262,38.191814796298544,48.03428,0.7168233,34.44239,0.45,0.023,0.334,0.034
67.5,24.669502,1.55784164,38.43117745366328,48.39104,0.7165767,34.66961,0.45,0.022,0.334,0.034
68.0,24.668477,1.5655567,38.619899446145894,48.6709,0.7161632,34.84958,0.45,0.023,0.328,0.033
68.5,24.667571,1.57509195,38.85369250815345,49.02662,0.7157284,35.089,0.41,0.023,0.334,0.036
69.0,24.666383,1.58472268,39.08937657366644,49.38795,0.7149105,35.31557,0.45,0.023,0.338,0.034
69.5,24.665322,1.59217419,39.27148907643918,49.66698,0.7144131,35.48783,0.42,0.023,0.341,0.036
70.0,24.664486,1.59934209,39.44695058801574,49.94025,0.7138805,35.64968,0.45,0.023,0.347,0.036
