Time (s),V_DSA-V_DSB
0.0,-5.625000345599999
5e-10,-5.625000345599999
1e-09,-5.468750335999999
1.5000000000000002e-09,-5.625000345599999
2e-09,-5.468750335999999
2.5e-09,-5.468750335999999
3.0000000000000004e-09,-5.468750335999999
3.5000000000000003e-09,-5.468750335999999
4e-09,-5.468750335999999
4.500000000000001e-09,-5.468750335999999
5e-09,-5.468750335999999
5.5000000000000004e-09,-5.468750335999999
6.000000000000001e-09,-5.3125003263999995
6.5e-09,-5.468750335999999
7.000000000000001e-09,-5.3125003263999995
7.500000000000001e-09,-5.1562503168
8e-09,-5.3125003263999995
8.5e-09,-5.3125003263999995
9.000000000000001e-09,-5.1562503168
9.5e-09,-5.1562503168
1e-08,-5.1562503168
1.0500000000000001e-08,-5.3125003263999995
1.1000000000000001e-08,-5.1562503168
1.15e-08,-5.0000003072
1.2000000000000002e-08,-5.0000003072
1.2500000000000001e-08,-4.8437502976
1.3e-08,-4.687500288
1.35e-08,-4.687500288
1.4000000000000001e-08,-4.687500288
1.45e-08,-4.687500288
1.5000000000000002e-08,-4.8437502976
1.55e-08,-4.8437502976
1.6e-08,-5.0000003072
1.6500000000000002e-08,-5.0000003072
1.7e-08,-4.687500288
1.75e-08,-4.8437502976
1.8000000000000002e-08,-5.0000003072
1.85e-08,-4.8437502976
1.9e-08,-5.0000003072
1.9500000000000003e-08,-5.0000003072
2e-08,-5.1562503168
2.05e-08,-5.0000003072
2.1000000000000003e-08,-5.1562503168
2.15e-08,-5.3125003263999995
2.2000000000000002e-08,-5.3125003263999995
2.2500000000000003e-08,-5.3125003263999995
2.3e-08,-5.1562503168
2.3500000000000002e-08,-5.3125003263999995
2.4000000000000003e-08,-5.468750335999999
2.45e-08,-5.468750335999999
2.5000000000000002e-08,-5.468750335999999
2.55e-08,-5.468750335999999
2.6e-08,-5.625000345599999
2.6500000000000002e-08,-5.625000345599999
2.7e-08,-5.468750335999999
2.75e-08,-5.468750335999999
2.8000000000000003e-08,-5.625000345599999
2.85e-08,-5.625000345599999
2.9e-08,-5.625000345599999
2.9500000000000003e-08,-5.625000345599999
3.0000000000000004e-08,-5.468750335999999
3.05e-08,-5.468750335999999
3.1e-08,-5.468750335999999
3.1500000000000004e-08,-5.468750335999999
3.2e-08,-5.625000345599999
3.25e-08,-5.625000345599999
3.3000000000000004e-08,-5.468750335999999
3.35e-08,-5.3125003263999995
3.4e-08,-5.1562503168
3.4500000000000005e-08,-5.3125003263999995
3.5e-08,-5.1562503168
3.55e-08,-5.1562503168
3.6000000000000005e-08,-5.0000003072
3.65e-08,-5.0000003072
3.7e-08,-5.0000003072
3.7500000000000005e-08,-4.8437502976
3.8e-08,-4.687500288
3.85e-08,-4.687500288
3.9000000000000005e-08,-4.687500288
3.95e-08,-4.5312502784
4e-08,-4.5312502784
4.0500000000000005e-08,-4.687500288
4.1e-08,-4.3750002688
4.15e-08,-4.2187502592
4.2000000000000006e-08,-4.062500249599999
4.2500000000000003e-08,-3.90625024
4.3e-08,-3.90625024
4.3500000000000006e-08,-3.4375002111999997
4.4000000000000004e-08,-3.4375002111999997
4.45e-08,-3.2812502016
4.5000000000000006e-08,-2.9687501824
4.5500000000000004e-08,-2.8125001727999996
4.6e-08,-2.6562501631999997
4.6500000000000006e-08,-2.343750144
4.7000000000000004e-08,-2.0312501247999997
4.75e-08,-1.7187501055999999
4.8000000000000006e-08,-1.7187501055999999
4.8500000000000004e-08,-1.4062500863999998
4.9e-08,-1.2500000768
4.95e-08,-0.9375000575999999
5.0000000000000004e-08,-0.9375000575999999
5.05e-08,-0.6250000384
5.1e-08,-0.46875002879999994
5.1500000000000005e-08,-0.3125000192
5.2e-08,0.0
5.25e-08,0.0
5.3000000000000005e-08,0.1562500096
5.35e-08,0.46875002879999994
5.4e-08,0.6250000384
5.4500000000000005e-08,0.9375000575999999
5.5e-08,0.9375000575999999
5.55e-08,1.2500000768
5.6000000000000005e-08,1.2500000768
5.65e-08,1.4062500863999998
5.7e-08,1.7187501055999999
5.7500000000000005e-08,1.8750001151999998
5.8e-08,2.0312501247999997
5.85e-08,2.0312501247999997
5.9000000000000006e-08,2.1875001344
5.9500000000000003e-08,2.343750144
6.000000000000001e-08,2.5000001536
6.05e-08,2.6562501631999997
6.1e-08,2.8125001727999996
6.15e-08,2.9687501824
6.2e-08,3.125000192
6.250000000000001e-08,3.125000192
6.300000000000001e-08,3.4375002111999997
6.35e-08,3.4375002111999997
6.4e-08,3.5937502207999996
6.45e-08,3.5937502207999996
6.5e-08,3.7500002303999995
6.55e-08,4.062500249599999
6.600000000000001e-08,4.2187502592
6.65e-08,4.2187502592
6.7e-08,4.3750002688
6.75e-08,4.3750002688
6.8e-08,4.3750002688
6.85e-08,4.5312502784
6.900000000000001e-08,4.687500288
6.950000000000001e-08,4.8437502976
7e-08,4.8437502976
7.05e-08,5.0000003072
7.1e-08,5.0000003072
7.15e-08,5.0000003072
7.200000000000001e-08,5.0000003072
7.250000000000001e-08,5.1562503168
7.3e-08,5.3125003263999995
7.35e-08,5.1562503168
7.4e-08,5.1562503168
7.45e-08,5.1562503168
7.500000000000001e-08,5.1562503168
7.550000000000001e-08,5.1562503168
7.6e-08,5.3125003263999995
7.65e-08,5.3125003263999995
7.7e-08,5.0000003072
7.75e-08,5.0000003072
7.800000000000001e-08,5.0000003072
7.850000000000001e-08,5.0000003072
7.9e-08,5.0000003072
7.95e-08,5.0000003072
8e-08,4.8437502976
8.05e-08,4.687500288
8.100000000000001e-08,4.8437502976
8.150000000000001e-08,4.8437502976
8.2e-08,4.8437502976
8.25e-08,4.687500288
8.3e-08,4.5312502784
8.35e-08,4.5312502784
8.400000000000001e-08,4.687500288
8.450000000000001e-08,4.687500288
8.500000000000001e-08,4.687500288
8.55e-08,4.5312502784
8.6e-08,4.5312502784
